ward,precinct,total,NICHOLAS SPOSATO,NICHOLAS SPOSATO Percent,JOHN A. RICE,JOHN A. RICE Percent,precinct_id
36,1,150,74,49.33,76,50.67,36001
36,2,164,97,59.15,67,40.85,36002
36,3,272,110,40.44,162,59.56,36003
36,4,65,44,67.69,21,32.31,36004
36,5,184,74,40.22,110,59.78,36005
36,6,138,83,60.14,55,39.86,36006
36,7,152,105,69.08,47,30.92,36007
36,8,194,119,61.34,75,38.66,36008
36,9,162,94,58.02,68,41.98,36009
36,10,115,72,62.61,43,37.39,36010
36,11,268,109,40.67,159,59.33,36011
36,12,151,69,45.7,82,54.3,36012
36,13,283,138,48.76,145,51.24,36013
36,14,229,80,34.93,149,65.07,36014
36,15,166,122,73.49,44,26.51,36015
36,16,307,173,56.35,134,43.65,36016
36,17,213,153,71.83,60,28.17,36017
36,18,234,157,67.09,77,32.91,36018
36,19,151,95,62.91,56,37.09,36019
36,20,272,91,33.46,181,66.54,36020
36,21,313,183,58.47,130,41.53,36021
36,22,269,191,71.0,78,29.0,36022
36,23,83,35,42.17,48,57.83,36023
36,24,115,60,52.17,55,47.83,36024
36,25,135,91,67.41,44,32.59,36025
36,26,160,109,68.13,51,31.88,36026
36,27,107,63,58.88,44,41.12,36027
36,28,151,87,57.62,64,42.38,36028
36,29,160,108,67.5,52,32.5,36029
36,30,271,143,52.77,128,47.23,36030
36,31,267,117,43.82,150,56.18,36031
36,32,147,85,57.82,62,42.18,36032
36,33,134,94,70.15,40,29.85,36033
36,34,161,77,47.83,84,52.17,36034
36,35,224,88,39.29,136,60.71,36035
36,36,138,79,57.25,59,42.75,36036
36,37,159,98,61.64,61,38.36,36037
36,38,111,64,57.66,47,42.34,36038
36,39,181,118,65.19,63,34.81,36039
36,40,230,147,63.91,83,36.09,36040
36,41,128,92,71.88,36,28.13,36041
36,42,140,84,60.0,56,40.0,36042
36,43,145,82,56.55,63,43.45,36043
36,44,176,128,72.73,48,27.27,36044
36,45,196,121,61.73,75,38.27,36045
36,46,195,137,70.26,58,29.74,36046
36,47,194,65,33.51,129,66.49,36047
36,48,144,89,61.81,55,38.19,36048
36,49,289,138,47.75,151,52.25,36049
36,50,157,85,54.14,72,45.86,36050
36,51,176,97,55.11,79,44.89,36051
36,52,170,92,54.12,78,45.88,36052
36,53,103,61,59.22,42,40.78,36053
36,54,206,135,65.53,71,34.47,36054
36,55,269,149,55.39,120,44.61,36055
