ward,precinct,total,TIM EGAN,TIM EGAN Percent,MICHELE SMITH,MICHELE SMITH Percent,precinct_id
43,1,227,104,45.81,123,54.19,43001
43,2,182,94,51.65,88,48.35,43002
43,3,196,90,45.92,106,54.08,43003
43,4,248,134,54.03,114,45.97,43004
43,5,175,89,50.86,86,49.14,43005
43,6,140,84,60.0,56,40.0,43006
43,7,238,87,36.55,151,63.45,43007
43,8,257,131,50.97,126,49.03,43008
43,9,150,90,60.0,60,40.0,43009
43,10,146,67,45.89,79,54.11,43010
43,11,151,93,61.59,58,38.41,43011
43,12,219,127,57.99,92,42.01,43012
43,13,73,44,60.27,29,39.73,43013
43,14,188,73,38.83,115,61.17,43014
43,15,180,105,58.33,75,41.67,43015
43,16,198,93,46.97,105,53.03,43016
43,17,224,100,44.64,124,55.36,43017
43,18,193,93,48.19,100,51.81,43018
43,19,89,60,67.42,29,32.58,43019
43,20,229,67,29.26,162,70.74,43020
43,21,205,66,32.2,139,67.8,43021
43,22,120,63,52.5,57,47.5,43022
43,23,186,100,53.76,86,46.24,43023
43,24,183,88,48.09,95,51.91,43024
43,25,177,82,46.33,95,53.67,43025
43,26,167,103,61.68,64,38.32,43026
43,27,169,87,51.48,82,48.52,43027
43,28,231,128,55.41,103,44.59,43028
43,29,162,72,44.44,90,55.56,43029
43,30,91,37,40.66,54,59.34,43030
43,31,282,101,35.82,181,64.18,43031
43,32,213,84,39.44,129,60.56,43032
43,33,95,50,52.63,45,47.37,43033
43,34,80,50,62.5,30,37.5,43034
43,35,181,118,65.19,63,34.81,43035
43,36,122,51,41.8,71,58.2,43036
43,37,120,72,60.0,48,40.0,43037
43,38,116,55,47.41,61,52.59,43038
43,39,143,82,57.34,61,42.66,43039
43,40,95,69,72.63,26,27.37,43040
43,41,112,42,37.5,70,62.5,43041
43,42,138,72,52.17,66,47.83,43042
43,43,115,59,51.3,56,48.7,43043
43,44,163,73,44.79,90,55.21,43044
43,45,58,36,62.07,22,37.93,43045
43,46,200,104,52.0,96,48.0,43046
43,47,218,103,47.25,115,52.75,43047
43,48,122,40,32.79,82,67.21,43048
43,49,178,104,58.43,74,41.57,43049
43,50,138,60,43.48,78,56.52,43050
43,51,163,82,50.31,81,49.69,43051
43,52,102,54,52.94,48,47.06,43052
43,53,166,71,42.77,95,57.23,43053
43,54,132,49,37.12,83,62.88,43054
43,55,202,113,55.94,89,44.06,43055
43,56,97,41,42.27,56,57.73,43056
43,57,124,73,58.87,51,41.13,43057
43,58,152,64,42.11,88,57.89,43058
43,59,223,74,33.18,149,66.82,43059
