ward,precinct,total,TIMOTHY M. CULLERTON,TIMOTHY M. CULLERTON Percent,TOM CARAVETTE,TOM CARAVETTE Percent,precinct_id
38,1,180,102,56.67,78,43.33,38001
38,2,91,60,65.93,31,34.07,38002
38,3,127,84,66.14,43,33.86,38003
38,4,76,57,75.0,19,25.0,38004
38,5,226,115,50.88,111,49.12,38005
38,6,144,78,54.17,66,45.83,38006
38,7,181,112,61.88,69,38.12,38007
38,8,119,75,63.03,44,36.97,38008
38,9,147,74,50.34,73,49.66,38009
38,10,169,96,56.8,73,43.2,38010
38,11,126,73,57.94,53,42.06,38011
38,12,155,103,66.45,52,33.55,38012
38,13,152,84,55.26,68,44.74,38013
38,14,156,84,53.85,72,46.15,38014
38,15,109,60,55.05,49,44.95,38015
38,16,148,78,52.7,70,47.3,38016
38,17,125,66,52.8,59,47.2,38017
38,18,180,113,62.78,67,37.22,38018
38,19,223,157,70.4,66,29.6,38019
38,20,186,98,52.69,88,47.31,38020
38,21,154,66,42.86,88,57.14,38021
38,22,171,98,57.31,73,42.69,38022
38,23,126,76,60.32,50,39.68,38023
38,24,86,56,65.12,30,34.88,38024
38,25,122,101,82.79,21,17.21,38025
38,26,125,69,55.2,56,44.8,38026
38,27,90,55,61.11,35,38.89,38027
38,28,146,94,64.38,52,35.62,38028
38,29,128,90,70.31,38,29.69,38029
38,30,108,66,61.11,42,38.89,38030
38,31,150,121,80.67,29,19.33,38031
38,32,197,128,64.97,69,35.03,38032
38,33,161,114,70.81,47,29.19,38033
38,34,82,61,74.39,21,25.61,38034
38,35,180,130,72.22,50,27.78,38035
38,36,153,87,56.86,66,43.14,38036
38,37,129,82,63.57,47,36.43,38037
38,38,159,76,47.8,83,52.2,38038
38,39,135,71,52.59,64,47.41,38039
38,40,133,79,59.4,54,40.6,38040
38,41,269,210,78.07,59,21.93,38041
38,42,207,138,66.67,69,33.33,38042
38,43,176,95,53.98,81,46.02,38043
38,44,154,84,54.55,70,45.45,38044
38,45,192,103,53.65,89,46.35,38045
38,46,124,70,56.45,54,43.55,38046
38,47,192,115,59.9,77,40.1,38047
38,48,168,98,58.33,70,41.67,38048
38,49,169,91,53.85,78,46.15,38049
38,50,162,81,50.0,81,50.0,38050
38,51,123,70,56.91,53,43.09,38051
38,52,147,90,61.22,57,38.78,38052
38,53,42,27,64.29,15,35.71,38053
