ward,precinct,total,JOHN ARENA,JOHN ARENA Percent,precinct_id
45,1,184,115,62.5,45001
45,2,273,134,49.08,45002
45,3,280,89,31.79,45003
45,4,302,156,51.66,45004
45,5,286,159,55.59,45005
45,6,211,122,57.82,45006
45,7,209,118,56.46,45007
45,8,155,83,53.55,45008
45,9,274,77,28.1,45009
45,10,267,161,60.3,45010
45,11,213,66,30.99,45011
45,12,263,185,70.34,45012
45,13,240,90,37.5,45013
45,14,245,151,61.63,45014
45,15,216,95,43.98,45015
45,16,183,111,60.66,45016
45,17,201,74,36.82,45017
45,18,244,135,55.33,45018
45,19,276,105,38.04,45019
45,20,219,126,57.53,45020
45,21,215,114,53.02,45021
45,22,203,72,35.47,45022
45,23,258,114,44.19,45023
45,24,321,164,51.09,45024
45,25,228,128,56.14,45025
45,26,253,158,62.45,45026
45,27,195,80,41.03,45027
45,28,192,137,71.35,45028
45,29,188,109,57.98,45029
45,30,270,106,39.26,45030
45,31,233,149,63.95,45031
45,32,141,60,42.55,45032
45,33,230,105,45.65,45033
45,34,182,92,50.55,45034
45,35,248,125,50.4,45035
45,36,265,118,44.53,45036
45,37,212,118,55.66,45037
45,38,264,147,55.68,45038
45,39,263,140,53.23,45039
45,40,237,135,56.96,45040
45,41,149,91,61.07,45041
45,42,218,114,52.29,45042
45,43,187,73,39.04,45043
45,44,297,94,31.65,45044
45,45,185,84,45.41,45045
45,46,222,132,59.46,45046
45,47,214,121,56.54,45047
45,48,266,167,62.78,45048
45,49,241,131,54.36,45049
45,50,183,100,54.64,45050
45,51,223,72,32.29,45051
45,52,250,98,39.2,45052
45,53,162,83,51.23,45053
