ward,precinct,total,WILLIE B. COCHRAN,WILLIE B. COCHRAN Percent,CHE ''RHYMEFEST'' SMITH,CHE ''RHYMEFEST'' SMITH Percent,precinct_id
20,1,130,59,45.38,71,54.62,20001
20,2,92,53,57.61,39,42.39,20002
20,3,108,61,56.48,47,43.52,20003
20,4,61,32,52.46,29,47.54,20004
20,5,72,45,62.5,27,37.5,20005
20,6,130,68,52.31,62,47.69,20006
20,7,28,12,42.86,16,57.14,20007
20,8,37,15,40.54,22,59.46,20008
20,9,209,132,63.16,77,36.84,20009
20,10,91,66,72.53,25,27.47,20010
20,11,39,23,58.97,16,41.03,20011
20,12,58,40,68.97,18,31.03,20012
20,13,99,81,81.82,18,18.18,20013
20,14,179,84,46.93,95,53.07,20014
20,15,76,46,60.53,30,39.47,20015
20,16,170,95,55.88,75,44.12,20016
20,17,62,31,50.0,31,50.0,20017
20,18,86,37,43.02,49,56.98,20018
20,19,85,44,51.76,41,48.24,20019
20,20,32,16,50.0,16,50.0,20020
20,21,41,17,41.46,24,58.54,20021
20,22,171,98,57.31,73,42.69,20022
20,23,201,152,75.62,49,24.38,20023
20,24,144,60,41.67,84,58.33,20024
20,25,79,41,51.9,38,48.1,20025
20,26,127,71,55.91,56,44.09,20026
20,27,66,35,53.03,31,46.97,20027
20,28,86,34,39.53,52,60.47,20028
20,29,130,74,56.92,56,43.08,20029
20,30,110,39,35.45,71,64.55,20030
20,31,102,44,43.14,58,56.86,20031
20,32,80,24,30.0,56,70.0,20032
20,33,98,56,57.14,42,42.86,20033
20,34,217,109,50.23,108,49.77,20034
20,35,37,24,64.86,13,35.14,20035
20,36,82,52,63.41,30,36.59,20036
20,37,106,53,50.0,53,50.0,20037
20,38,21,15,71.43,6,28.57,20038
20,39,89,45,50.56,44,49.44,20039
20,40,86,47,54.65,39,45.35,20040
20,41,25,12,48.0,13,52.0,20041
20,42,78,31,39.74,47,60.26,20042
20,43,20,11,55.0,9,45.0,20043
20,44,136,79,58.09,57,41.91,20044
20,45,40,25,62.5,15,37.5,20045
20,46,72,33,45.83,39,54.17,20046
20,47,81,41,50.62,40,49.38,20047
20,48,41,17,41.46,24,58.54,20048
20,49,71,26,36.62,45,63.38,20049
20,50,37,23,62.16,14,37.84,20050
