ward,precinct,total,RODERICK T. SAWYER,RODERICK T. SAWYER Percent,FREDDRENNA M. LYLE,FREDDRENNA M. LYLE Percent,precinct_id
6,1,222,124,55.86,98,44.14,06001
6,2,206,112,54.37,94,45.63,06002
6,3,184,102,55.43,82,44.57,06003
6,4,130,80,61.54,50,38.46,06004
6,5,60,32,53.33,28,46.67,06005
6,6,160,79,49.38,81,50.63,06006
6,7,137,57,41.61,80,58.39,06007
6,8,249,142,57.03,107,42.97,06008
6,9,164,51,31.1,113,68.9,06009
6,10,290,131,45.17,159,54.83,06010
6,11,177,123,69.49,54,30.51,06011
6,12,105,43,40.95,62,59.05,06012
6,13,121,52,42.98,69,57.02,06013
6,14,123,62,50.41,61,49.59,06014
6,15,85,39,45.88,46,54.12,06015
6,16,240,119,49.58,121,50.42,06016
6,17,225,91,40.44,134,59.56,06017
6,18,68,33,48.53,35,51.47,06018
6,19,186,102,54.84,84,45.16,06019
6,20,140,79,56.43,61,43.57,06020
6,21,184,86,46.74,98,53.26,06021
6,22,155,62,40.0,93,60.0,06022
6,23,128,79,61.72,49,38.28,06023
6,24,142,69,48.59,73,51.41,06024
6,25,98,57,58.16,41,41.84,06025
6,26,182,80,43.96,102,56.04,06026
6,27,221,130,58.82,91,41.18,06027
6,28,336,138,41.07,198,58.93,06028
6,29,233,102,43.78,131,56.22,06029
6,30,115,57,49.57,58,50.43,06030
6,31,207,90,43.48,117,56.52,06031
6,32,162,79,48.77,83,51.23,06032
6,33,228,150,65.79,78,34.21,06033
6,34,125,56,44.8,69,55.2,06034
6,35,161,77,47.83,84,52.17,06035
6,36,77,35,45.45,42,54.55,06036
6,37,254,134,52.76,120,47.24,06037
6,38,156,82,52.56,74,47.44,06038
6,39,150,90,60.0,60,40.0,06039
6,40,73,44,60.27,29,39.73,06040
6,41,201,105,52.24,96,47.76,06041
6,42,46,16,34.78,30,65.22,06042
6,43,175,83,47.43,92,52.57,06043
6,44,180,110,61.11,70,38.89,06044
6,45,154,69,44.81,85,55.19,06045
6,46,159,93,58.49,66,41.51,06046
6,47,175,88,50.29,87,49.71,06047
6,48,156,66,42.31,90,57.69,06048
6,49,174,104,59.77,70,40.23,06049
6,50,196,75,38.27,121,61.73,06050
6,51,102,47,46.08,55,53.92,06051
6,52,91,56,61.54,35,38.46,06052
6,53,135,78,57.78,57,42.22,06053
6,54,145,102,70.34,43,29.66,06054
6,55,137,53,38.69,84,61.31,06055
6,56,122,69,56.56,53,43.44,06056
6,57,76,49,64.47,27,35.53,06057
6,58,219,95,43.38,124,56.62,06058
6,59,158,76,48.1,82,51.9,06059
6,60,102,54,52.94,48,47.06,06060
6,61,71,33,46.48,38,53.52,06061
6,62,128,48,37.5,80,62.5,06062
6,63,137,79,57.66,58,42.34,06063
6,64,216,111,51.39,105,48.61,06064
