ward,precinct,total,CUAHUTEMOC MORFIN,CUAHUTEMOC MORFIN Percent,DANIEL ''DANNY'' SOLIS,DANIEL ''DANNY'' SOLIS Percent,precinct_id
25,1,223,102,45.74,121,54.26,25001
25,2,355,220,61.97,135,38.03,25002
25,3,144,18,12.5,126,87.5,25003
25,4,246,115,46.75,131,53.25,25004
25,5,205,92,44.88,113,55.12,25005
25,6,201,152,75.62,49,24.38,25006
25,7,205,137,66.83,68,33.17,25007
25,8,205,110,53.66,95,46.34,25008
25,9,289,146,50.52,143,49.48,25009
25,10,113,46,40.71,67,59.29,25010
25,11,280,167,59.64,113,40.36,25011
25,12,220,153,69.55,67,30.45,25012
25,13,274,161,58.76,113,41.24,25013
25,14,199,29,14.57,170,85.43,25014
25,15,262,77,29.39,185,70.61,25015
25,16,171,23,13.45,148,86.55,25016
25,17,397,215,54.16,182,45.84,25017
25,18,447,46,10.29,401,89.71,25018
25,19,270,155,57.41,115,42.59,25019
25,20,267,111,41.57,156,58.43,25020
25,21,114,35,30.7,79,69.3,25021
25,22,112,63,56.25,49,43.75,25022
25,23,318,231,72.64,87,27.36,25023
25,24,312,237,75.96,75,24.04,25024
25,25,155,22,14.19,133,85.81,25025
25,26,124,63,50.81,61,49.19,25026
25,27,165,36,21.82,129,78.18,25027
25,28,228,42,18.42,186,81.58,25028
25,29,410,89,21.71,321,78.29,25029
25,30,238,135,56.72,103,43.28,25030
25,31,142,93,65.49,49,34.51,25031
