ward,precinct,total,MICHAEL D. CHANDLER,MICHAEL D. CHANDLER Percent,SHARON DENISE DIXON,SHARON DENISE DIXON Percent,precinct_id
24,1,131,72,54.96,59,45.04,24001
24,2,67,39,58.21,28,41.79,24002
24,3,93,41,44.09,52,55.91,24003
24,4,102,78,76.47,24,23.53,24004
24,5,83,60,72.29,23,27.71,24005
24,6,130,90,69.23,40,30.77,24006
24,7,75,26,34.67,49,65.33,24007
24,8,116,88,75.86,28,24.14,24008
24,9,76,52,68.42,24,31.58,24009
24,10,82,42,51.22,40,48.78,24010
24,11,44,30,68.18,14,31.82,24011
24,12,89,54,60.67,35,39.33,24012
24,13,83,37,44.58,46,55.42,24013
24,14,128,89,69.53,39,30.47,24014
24,15,99,78,78.79,21,21.21,24015
24,16,56,31,55.36,25,44.64,24016
24,17,84,59,70.24,25,29.76,24017
24,18,54,34,62.96,20,37.04,24018
24,19,64,23,35.94,41,64.06,24019
24,20,99,79,79.8,20,20.2,24020
24,21,62,35,56.45,27,43.55,24021
24,22,118,67,56.78,51,43.22,24022
24,23,63,38,60.32,25,39.68,24023
24,24,54,33,61.11,21,38.89,24024
24,25,108,76,70.37,32,29.63,24025
24,26,101,54,53.47,47,46.53,24026
24,27,62,41,66.13,21,33.87,24027
24,28,124,59,47.58,65,52.42,24028
24,29,116,63,54.31,53,45.69,24029
24,30,96,54,56.25,42,43.75,24030
24,31,76,51,67.11,25,32.89,24031
24,32,111,83,74.77,28,25.23,24032
24,33,57,36,63.16,21,36.84,24033
24,34,116,73,62.93,43,37.07,24034
24,35,165,99,60.0,66,40.0,24035
24,36,80,47,58.75,33,41.25,24036
24,37,109,66,60.55,43,39.45,24037
24,38,133,80,60.15,53,39.85,24038
24,39,107,81,75.7,26,24.3,24039
24,40,120,76,63.33,44,36.67,24040
24,41,99,50,50.51,49,49.49,24041
24,42,87,67,77.01,20,22.99,24042
24,43,124,81,65.32,43,34.68,24043
24,44,156,86,55.13,70,44.87,24044
24,45,81,39,48.15,42,51.85,24045
24,46,100,49,49.0,51,51.0,24046
24,47,85,43,50.59,42,49.41,24047
24,48,77,68,88.31,9,11.69,24048
24,49,206,122,59.22,84,40.78,24049
24,50,174,93,53.45,81,46.55,24050
24,51,138,68,49.28,70,50.72,24051
24,52,80,60,75.0,20,25.0,24052
24,53,60,24,40.0,36,60.0,24053
24,54,104,52,50.0,52,50.0,24054
24,55,79,33,41.77,46,58.23,24055
24,56,107,65,60.75,42,39.25,24056
