ward,precinct,total,"CALVIN """"OMAR"""" JOHNSON","CALVIN """"OMAR"""" JOHNSON Percent",precinct_id
24,1,12,12,100.0,24001
24,2,3,3,100.0,24002
24,3,2,2,100.0,24003
24,4,2,2,100.0,24004
24,5,1,1,100.0,24005
24,6,0,0,0.0,24006
24,7,0,0,0.0,24007
24,8,1,1,100.0,24008
24,9,15,15,100.0,24009
24,10,2,2,100.0,24010
24,11,3,3,100.0,24011
24,12,2,2,100.0,24012
24,13,1,1,100.0,24013
24,14,0,0,0.0,24014
24,15,0,0,0.0,24015
24,16,0,0,0.0,24016
24,17,0,0,0.0,24017
24,18,0,0,0.0,24018
24,19,1,1,100.0,24019
24,20,2,2,100.0,24020
24,21,1,1,100.0,24021
24,22,0,0,0.0,24022
24,23,0,0,0.0,24023
24,24,1,1,100.0,24024
24,25,2,2,100.0,24025
24,26,1,1,100.0,24026
24,27,0,0,0.0,24027
24,28,1,1,100.0,24028
24,29,1,1,100.0,24029
24,30,0,0,0.0,24030
24,31,2,2,100.0,24031
24,32,3,3,100.0,24032
24,33,0,0,0.0,24033
24,34,2,2,100.0,24034
24,35,1,1,100.0,24035
24,36,0,0,0.0,24036
24,37,2,2,100.0,24037
24,38,1,1,100.0,24038
24,39,0,0,0.0,24039
24,40,2,2,100.0,24040
24,41,3,3,100.0,24041
24,42,0,0,0.0,24042
24,43,2,2,100.0,24043
24,44,2,2,100.0,24044
24,45,1,1,100.0,24045
24,46,1,1,100.0,24046
24,47,3,3,100.0,24047
24,48,2,2,100.0,24048
24,49,1,1,100.0,24049
24,50,3,3,100.0,24050
24,51,33,33,100.0,24051
24,52,2,2,100.0,24052
24,53,1,1,100.0,24053
