ward,precinct,total,IRMA C. LOPEZ,IRMA C. LOPEZ Percent,YANIRA SAUCEDO,YANIRA SAUCEDO Percent,precinct_id
22,1,0,0,0.0,0,0.0,22001
22,2,4,1,25.0,3,75.0,22002
22,3,3,2,66.67,1,33.33,22003
22,4,2,2,100.0,0,0.0,22004
22,5,6,5,83.33,1,16.67,22005
22,6,8,8,100.0,0,0.0,22006
22,7,2,1,50.0,1,50.0,22007
22,8,3,3,100.0,0,0.0,22008
22,9,10,8,80.0,2,20.0,22009
22,10,3,2,66.67,1,33.33,22010
22,11,4,4,100.0,0,0.0,22011
22,12,0,0,0.0,0,0.0,22012
22,13,6,4,66.67,2,33.33,22013
22,14,1,1,100.0,0,0.0,22014
22,15,0,0,0.0,0,0.0,22015
22,16,7,4,57.14,3,42.86,22016
22,17,5,3,60.0,2,40.0,22017
22,18,5,5,100.0,0,0.0,22018
22,19,1,1,100.0,0,0.0,22019
22,20,3,3,100.0,0,0.0,22020
22,21,2,1,50.0,1,50.0,22021
22,22,0,0,0.0,0,0.0,22022
22,23,5,4,80.0,1,20.0,22023
22,24,4,3,75.0,1,25.0,22024
22,25,6,5,83.33,1,16.67,22025
22,26,1,1,100.0,0,0.0,22026
22,27,9,4,44.44,5,55.56,22027
22,28,3,3,100.0,0,0.0,22028
22,29,1,0,0.0,1,100.0,22029
