ward,precinct,total,CHRISTINE RADOGNO (BUSH),CHRISTINE RADOGNO (BUSH) Percent,ANNE ZICKUS (BUSH),ANNE ZICKUS (BUSH) Percent,EILEEN LYONS (BUSH),EILEEN LYONS (BUSH) Percent,CHRISTOPHER SOULSBY (KEYES),CHRISTOPHER SOULSBY (KEYES) Percent,EARL F. GOUGH (FORBES),EARL F. GOUGH (FORBES) Percent,DEAN STUMP (FORBES),DEAN STUMP (FORBES) Percent,RICHARD P. CARO (FORBES),RICHARD P. CARO (FORBES) Percent,JACK O'CONNOR (McCAIN),JACK O'CONNOR (McCAIN) Percent,FRANK A. BERTUCCI (McCAIN),FRANK A. BERTUCCI (McCAIN) Percent,THERESA KERN (McCAIN),THERESA KERN (McCAIN) Percent,precinct_id
13,1,39,8,20.51,7,17.95,8,20.51,0,0.0,0,0.0,3,7.69,0,0.0,4,10.26,5,12.82,4,10.26,13001
13,2,29,6,20.69,6,20.69,7,24.14,2,6.9,0,0.0,0,0.0,0,0.0,3,10.34,4,13.79,1,3.45,13002
13,3,36,9,25.0,8,22.22,8,22.22,1,2.78,1,2.78,0,0.0,1,2.78,2,5.56,5,13.89,1,2.78,13003
13,4,18,6,33.33,6,33.33,6,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13004
13,5,12,1,8.33,2,16.67,3,25.0,0,0.0,0,0.0,0,0.0,1,8.33,2,16.67,1,8.33,2,16.67,13005
13,6,23,5,21.74,3,13.04,3,13.04,1,4.35,0,0.0,0,0.0,0,0.0,4,17.39,3,13.04,4,17.39,13006
13,7,17,5,29.41,2,11.76,1,5.88,2,11.76,1,5.88,1,5.88,1,5.88,1,5.88,1,5.88,2,11.76,13007
13,8,49,12,24.49,12,24.49,10,20.41,0,0.0,1,2.04,3,6.12,2,4.08,2,4.08,4,8.16,3,6.12,13008
13,9,22,4,18.18,5,22.73,4,18.18,1,4.55,0,0.0,0,0.0,0,0.0,3,13.64,3,13.64,2,9.09,13009
13,10,41,8,19.51,8,19.51,9,21.95,1,2.44,1,2.44,0,0.0,0,0.0,6,14.63,3,7.32,5,12.2,13010
13,11,23,8,34.78,6,26.09,7,30.43,0,0.0,0,0.0,0,0.0,0,0.0,2,8.7,0,0.0,0,0.0,13011
13,12,17,6,35.29,6,35.29,5,29.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13012
13,13,3,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,13013
13,14,16,5,31.25,3,18.75,4,25.0,2,12.5,0,0.0,0,0.0,0,0.0,2,12.5,0,0.0,0,0.0,13014
13,15,36,6,16.67,8,22.22,4,11.11,3,8.33,0,0.0,0,0.0,3,8.33,4,11.11,6,16.67,2,5.56,13015
13,16,38,9,23.68,8,21.05,10,26.32,0,0.0,0,0.0,2,5.26,0,0.0,2,5.26,4,10.53,3,7.89,13016
13,17,4,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,13017
13,18,12,0,0.0,0,0.0,2,16.67,1,8.33,0,0.0,0,0.0,0,0.0,3,25.0,4,33.33,2,16.67,13018
13,19,33,8,24.24,5,15.15,7,21.21,0,0.0,1,3.03,0,0.0,1,3.03,4,12.12,4,12.12,3,9.09,13019
13,20,25,5,20.0,6,24.0,6,24.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.0,3,12.0,3,12.0,13020
13,21,14,2,14.29,4,28.57,3,21.43,0,0.0,0,0.0,2,14.29,0,0.0,1,7.14,1,7.14,1,7.14,13021
13,22,25,7,28.0,4,16.0,7,28.0,0,0.0,1,4.0,0,0.0,0,0.0,1,4.0,2,8.0,3,12.0,13022
13,23,24,6,25.0,7,29.17,6,25.0,0,0.0,0,0.0,1,4.17,1,4.17,1,4.17,1,4.17,1,4.17,13023
13,24,38,8,21.05,8,21.05,8,21.05,1,2.63,1,2.63,0,0.0,0,0.0,4,10.53,4,10.53,4,10.53,13024
13,25,29,3,10.34,7,24.14,5,17.24,1,3.45,0,0.0,1,3.45,0,0.0,3,10.34,5,17.24,4,13.79,13025
13,26,16,5,31.25,2,12.5,2,12.5,1,6.25,2,12.5,1,6.25,0,0.0,1,6.25,2,12.5,0,0.0,13026
13,27,37,9,24.32,8,21.62,6,16.22,1,2.7,1,2.7,2,5.41,1,2.7,5,13.51,3,8.11,1,2.7,13027
13,28,21,4,19.05,5,23.81,3,14.29,1,4.76,1,4.76,1,4.76,2,9.52,1,4.76,2,9.52,1,4.76,13028
13,29,30,3,10.0,2,6.67,1,3.33,3,10.0,1,3.33,0,0.0,1,3.33,5,16.67,7,23.33,7,23.33,13029
13,30,11,0,0.0,0,0.0,1,9.09,0,0.0,2,18.18,1,9.09,0,0.0,2,18.18,2,18.18,3,27.27,13030
13,31,28,7,25.0,3,10.71,3,10.71,0,0.0,0,0.0,1,3.57,1,3.57,6,21.43,4,14.29,3,10.71,13031
13,32,27,6,22.22,8,29.63,4,14.81,1,3.7,1,3.7,0,0.0,0,0.0,3,11.11,2,7.41,2,7.41,13032
13,33,21,4,19.05,4,19.05,4,19.05,2,9.52,1,4.76,0,0.0,0,0.0,3,14.29,2,9.52,1,4.76,13033
13,34,15,4,26.67,5,33.33,3,20.0,1,6.67,0,0.0,0,0.0,0,0.0,1,6.67,0,0.0,1,6.67,13034
13,35,24,5,20.83,6,25.0,4,16.67,1,4.17,1,4.17,0,0.0,0,0.0,3,12.5,3,12.5,1,4.17,13035
13,36,19,5,26.32,3,15.79,4,21.05,0,0.0,0,0.0,1,5.26,0,0.0,2,10.53,3,15.79,1,5.26,13036
13,37,8,3,37.5,3,37.5,1,12.5,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,13037
13,38,13,3,23.08,2,15.38,4,30.77,0,0.0,0,0.0,0,0.0,0,0.0,2,15.38,1,7.69,1,7.69,13038
13,39,22,3,13.64,4,18.18,4,18.18,1,4.55,0,0.0,1,4.55,0,0.0,4,18.18,3,13.64,2,9.09,13039
13,40,13,2,15.38,3,23.08,2,15.38,2,15.38,1,7.69,1,7.69,0,0.0,0,0.0,2,15.38,0,0.0,13040
13,41,7,2,28.57,2,28.57,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,0,0.0,13041
13,42,13,2,15.38,2,15.38,1,7.69,0,0.0,1,7.69,2,15.38,0,0.0,2,15.38,2,15.38,1,7.69,13042
13,43,9,1,11.11,2,22.22,2,22.22,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,2,22.22,1,11.11,13043
13,44,40,9,22.5,9,22.5,8,20.0,2,5.0,2,5.0,2,5.0,2,5.0,1,2.5,2,5.0,3,7.5,13044
13,45,20,4,20.0,6,30.0,4,20.0,0,0.0,0,0.0,0,0.0,1,5.0,2,10.0,2,10.0,1,5.0,13045
13,46,20,5,25.0,3,15.0,5,25.0,0,0.0,0,0.0,0,0.0,1,5.0,3,15.0,1,5.0,2,10.0,13046
13,47,26,5,19.23,5,19.23,2,7.69,0,0.0,1,3.85,0,0.0,0,0.0,4,15.38,4,15.38,5,19.23,13047
13,48,13,4,30.77,3,23.08,3,23.08,1,7.69,1,7.69,0,0.0,0,0.0,1,7.69,0,0.0,0,0.0,13048
13,49,13,0,0.0,1,7.69,2,15.38,2,15.38,1,7.69,1,7.69,1,7.69,1,7.69,2,15.38,2,15.38,13049
13,50,22,6,27.27,5,22.73,5,22.73,1,4.55,1,4.55,0,0.0,0,0.0,2,9.09,2,9.09,0,0.0,13050
13,51,41,8,19.51,9,21.95,8,19.51,1,2.44,1,2.44,0,0.0,1,2.44,5,12.2,3,7.32,5,12.2,13051
13,52,28,6,21.43,6,21.43,3,10.71,1,3.57,0,0.0,2,7.14,0,0.0,4,14.29,4,14.29,2,7.14,13052
13,53,37,10,27.03,9,24.32,10,27.03,1,2.7,0,0.0,0,0.0,0,0.0,3,8.11,2,5.41,2,5.41,13053
13,54,11,1,9.09,2,18.18,0,0.0,0,0.0,0,0.0,1,9.09,0,0.0,3,27.27,2,18.18,2,18.18,13054
13,55,24,7,29.17,7,29.17,7,29.17,0,0.0,0,0.0,0,0.0,1,4.17,1,4.17,0,0.0,1,4.17,13055
13,56,42,10,23.81,12,28.57,9,21.43,3,7.14,1,2.38,0,0.0,1,2.38,2,4.76,1,2.38,3,7.14,13056
