ward,precinct,total,KENNETH H. HOLLANDER,KENNETH H. HOLLANDER Percent,KALIM A. KHAN,KALIM A. KHAN Percent,precinct_id
50,1,6,6,100.0,0,0.0,50001
50,2,15,11,73.33,4,26.67,50002
50,3,11,9,81.82,2,18.18,50003
50,4,14,10,71.43,4,28.57,50004
50,5,5,5,100.0,0,0.0,50005
50,6,16,14,87.5,2,12.5,50006
50,7,12,11,91.67,1,8.33,50007
50,8,14,12,85.71,2,14.29,50008
50,9,18,15,83.33,3,16.67,50009
50,10,7,7,100.0,0,0.0,50010
50,11,11,10,90.91,1,9.09,50011
50,12,5,5,100.0,0,0.0,50012
50,13,7,4,57.14,3,42.86,50013
50,14,3,3,100.0,0,0.0,50014
50,15,13,12,92.31,1,7.69,50015
50,16,5,4,80.0,1,20.0,50016
50,17,15,12,80.0,3,20.0,50017
50,18,11,9,81.82,2,18.18,50018
50,19,14,11,78.57,3,21.43,50019
50,20,16,13,81.25,3,18.75,50020
50,21,14,13,92.86,1,7.14,50021
50,22,24,9,37.5,15,62.5,50022
50,23,9,6,66.67,3,33.33,50023
50,24,13,10,76.92,3,23.08,50024
50,25,12,9,75.0,3,25.0,50025
50,26,15,9,60.0,6,40.0,50026
50,27,3,3,100.0,0,0.0,50027
50,28,20,15,75.0,5,25.0,50028
50,29,20,16,80.0,4,20.0,50029
50,30,6,6,100.0,0,0.0,50030
50,31,1,1,100.0,0,0.0,50031
50,32,12,9,75.0,3,25.0,50032
50,33,9,8,88.89,1,11.11,50033
50,34,16,12,75.0,4,25.0,50034
50,35,16,14,87.5,2,12.5,50035
50,36,17,15,88.24,2,11.76,50036
50,37,20,17,85.0,3,15.0,50037
50,38,5,5,100.0,0,0.0,50038
50,39,13,12,92.31,1,7.69,50039
50,40,9,8,88.89,1,11.11,50040
50,41,8,7,87.5,1,12.5,50041
50,42,12,11,91.67,1,8.33,50042
50,43,6,6,100.0,0,0.0,50043
50,44,7,5,71.43,2,28.57,50044
50,45,15,11,73.33,4,26.67,50045
50,46,10,8,80.0,2,20.0,50046
