ward,precinct,total,JACQUELINE ARENDT,JACQUELINE ARENDT Percent,precinct_id
33,1,5,5,100.0,33001
33,2,7,7,100.0,33002
33,3,7,7,100.0,33003
33,4,7,7,100.0,33004
33,5,4,4,100.0,33005
33,6,4,4,100.0,33006
33,7,6,6,100.0,33007
33,8,5,5,100.0,33008
33,9,4,4,100.0,33009
33,10,6,6,100.0,33010
33,11,7,7,100.0,33011
33,12,9,9,100.0,33012
33,13,7,7,100.0,33013
33,14,1,1,100.0,33014
33,15,0,0,0.0,33015
33,16,15,15,100.0,33016
33,17,9,9,100.0,33017
33,18,11,11,100.0,33018
33,19,10,10,100.0,33019
33,20,12,12,100.0,33020
33,21,5,5,100.0,33021
33,22,8,8,100.0,33022
33,23,5,5,100.0,33023
33,24,11,11,100.0,33024
33,25,6,6,100.0,33025
33,26,10,10,100.0,33026
33,27,7,7,100.0,33027
33,28,6,6,100.0,33028
33,29,7,7,100.0,33029
33,30,13,13,100.0,33030
33,31,11,11,100.0,33031
33,32,0,0,0.0,33032
33,33,7,7,100.0,33033
33,34,7,7,100.0,33034
33,35,7,7,100.0,33035
33,36,5,5,100.0,33036
33,37,11,11,100.0,33037
33,38,11,11,100.0,33038
