ward,precinct,total,RENE NORIEGA (BUSH),RENE NORIEGA (BUSH) Percent,JOHN J. CURRY (BUSH),JOHN J. CURRY (BUSH) Percent,precinct_id
1,1,8,3,37.5,5,62.5,01001
1,2,6,3,50.0,3,50.0,01002
1,3,10,6,60.0,4,40.0,01003
1,4,9,2,22.22,7,77.78,01004
1,5,13,5,38.46,8,61.54,01005
1,7,26,13,50.0,13,50.0,01007
1,8,6,3,50.0,3,50.0,01008
1,9,15,7,46.67,8,53.33,01009
1,10,17,10,58.82,7,41.18,01010
1,11,11,6,54.55,5,45.45,01011
1,12,11,5,45.45,6,54.55,01012
1,13,1,0,0.0,1,100.0,01013
1,14,4,2,50.0,2,50.0,01014
1,15,1,0,0.0,1,100.0,01015
1,16,2,1,50.0,1,50.0,01016
1,17,10,4,40.0,6,60.0,01017
1,18,3,2,66.67,1,33.33,01018
1,19,13,8,61.54,5,38.46,01019
1,20,1,0,0.0,1,100.0,01020
1,21,11,6,54.55,5,45.45,01021
1,22,2,1,50.0,1,50.0,01022
1,23,16,8,50.0,8,50.0,01023
1,24,3,1,33.33,2,66.67,01024
1,25,11,5,45.45,6,54.55,01025
1,26,19,9,47.37,10,52.63,01026
1,27,6,4,66.67,2,33.33,01027
1,29,9,5,55.56,4,44.44,01029
1,30,6,3,50.0,3,50.0,01030
1,31,2,1,50.0,1,50.0,01031
1,32,3,2,66.67,1,33.33,01032
1,33,6,3,50.0,3,50.0,01033
1,36,8,3,37.5,5,62.5,01036
2,50,3,1,33.33,2,66.67,02050
3,51,10,6,60.0,4,40.0,03051
11,1,15,7,46.67,8,53.33,11001
11,2,5,3,60.0,2,40.0,11002
11,3,18,9,50.0,9,50.0,11003
11,4,10,5,50.0,5,50.0,11004
11,5,6,4,66.67,2,33.33,11005
11,6,9,3,33.33,6,66.67,11006
11,7,12,6,50.0,6,50.0,11007
11,8,4,1,25.0,3,75.0,11008
11,9,5,2,40.0,3,60.0,11009
11,10,11,6,54.55,5,45.45,11010
11,11,7,3,42.86,4,57.14,11011
11,12,6,3,50.0,3,50.0,11012
11,14,2,1,50.0,1,50.0,11014
11,15,10,4,40.0,6,60.0,11015
11,16,8,4,50.0,4,50.0,11016
11,17,21,9,42.86,12,57.14,11017
11,18,4,2,50.0,2,50.0,11018
11,19,13,7,53.85,6,46.15,11019
11,20,2,1,50.0,1,50.0,11020
11,21,3,0,0.0,3,100.0,11021
11,23,3,2,66.67,1,33.33,11023
11,24,6,2,33.33,4,66.67,11024
11,25,8,4,50.0,4,50.0,11025
11,26,7,3,42.86,4,57.14,11026
11,28,2,1,50.0,1,50.0,11028
11,29,10,5,50.0,5,50.0,11029
11,30,13,7,53.85,6,46.15,11030
11,32,4,2,50.0,2,50.0,11032
11,35,4,2,50.0,2,50.0,11035
11,37,12,6,50.0,6,50.0,11037
11,44,6,3,50.0,3,50.0,11044
11,50,0,0,0.0,0,0.0,11050
11,51,6,1,16.67,5,83.33,11051
12,1,3,1,33.33,2,66.67,12001
12,2,10,7,70.0,3,30.0,12002
12,3,8,4,50.0,4,50.0,12003
12,4,2,1,50.0,1,50.0,12004
12,6,3,2,66.67,1,33.33,12006
12,7,2,1,50.0,1,50.0,12007
12,8,12,6,50.0,6,50.0,12008
12,9,6,3,50.0,3,50.0,12009
12,11,6,3,50.0,3,50.0,12011
12,12,8,4,50.0,4,50.0,12012
12,13,5,3,60.0,2,40.0,12013
12,14,7,5,71.43,2,28.57,12014
12,15,5,3,60.0,2,40.0,12015
12,16,4,1,25.0,3,75.0,12016
12,18,6,4,66.67,2,33.33,12018
12,19,2,1,50.0,1,50.0,12019
12,20,9,5,55.56,4,44.44,12020
12,21,13,6,46.15,7,53.85,12021
12,22,6,3,50.0,3,50.0,12022
12,23,6,3,50.0,3,50.0,12023
12,25,9,5,55.56,4,44.44,12025
12,26,1,0,0.0,1,100.0,12026
12,28,6,2,33.33,4,66.67,12028
12,29,12,5,41.67,7,58.33,12029
12,30,20,9,45.0,11,55.0,12030
14,5,0,0,0.0,0,0.0,14005
14,6,10,4,40.0,6,60.0,14006
14,7,14,7,50.0,7,50.0,14007
14,12,16,9,56.25,7,43.75,14012
14,14,9,4,44.44,5,55.56,14014
14,17,4,2,50.0,2,50.0,14017
14,20,16,8,50.0,8,50.0,14020
14,21,11,6,54.55,5,45.45,14021
14,22,9,6,66.67,3,33.33,14022
14,24,5,3,60.0,2,40.0,14024
14,25,18,10,55.56,8,44.44,14025
14,26,8,4,50.0,4,50.0,14026
14,29,14,6,42.86,8,57.14,14029
14,32,6,3,50.0,3,50.0,14032
14,38,6,3,50.0,3,50.0,14038
14,42,7,4,57.14,3,42.86,14042
14,46,19,10,52.63,9,47.37,14046
15,6,8,4,50.0,4,50.0,15006
15,22,0,0,0.0,0,0.0,15022
15,24,9,4,44.44,5,55.56,15024
15,38,0,0,0.0,0,0.0,15038
16,1,6,3,50.0,3,50.0,16001
16,2,0,0,0.0,0,0.0,16002
16,11,2,1,50.0,1,50.0,16011
16,13,9,3,33.33,6,66.67,16013
16,21,6,4,66.67,2,33.33,16021
16,23,15,10,66.67,5,33.33,16023
