ward,precinct,total,"GERALD C """"JERRY"""" WELLER (BUSH)","GERALD C """"JERRY"""" WELLER (BUSH) Percent",RENEE KOSEL (BUSH),RENEE KOSEL (BUSH) Percent,BARBARA PETERSON (BUSH),BARBARA PETERSON (BUSH) Percent,"HENRY W. MEERS, JR. (FORBES)","HENRY W. MEERS, JR. (FORBES) Percent",JAMES J. O'CONNELL (FORBES),JAMES J. O'CONNELL (FORBES) Percent,KARL J. MAURER (FORBES),KARL J. MAURER (FORBES) Percent,HERBERT J. HENTSCHEL (McCAIN),HERBERT J. HENTSCHEL (McCAIN) Percent,DONNA J. MATTESON (McCAIN),DONNA J. MATTESON (McCAIN) Percent,NORMAN 'RED' FAUROT (McCAIN),NORMAN 'RED' FAUROT (McCAIN) Percent,precinct_id
10,2,43,14,32.56,10,23.26,9,20.93,2,4.65,2,4.65,1,2.33,2,4.65,2,4.65,1,2.33,10002
10,3,34,13,38.24,6,17.65,7,20.59,1,2.94,2,5.88,0,0.0,1,2.94,2,5.88,2,5.88,10003
10,5,38,8,21.05,4,10.53,4,10.53,0,0.0,2,5.26,0,0.0,6,15.79,9,23.68,5,13.16,10005
10,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10008
10,9,37,12,32.43,9,24.32,9,24.32,0,0.0,3,8.11,0,0.0,1,2.7,1,2.7,2,5.41,10009
10,11,67,20,29.85,12,17.91,13,19.4,1,1.49,6,8.96,3,4.48,3,4.48,7,10.45,2,2.99,10011
10,12,42,11,26.19,7,16.67,9,21.43,0,0.0,2,4.76,0,0.0,4,9.52,5,11.9,4,9.52,10012
10,13,30,8,26.67,3,10.0,4,13.33,0,0.0,4,13.33,0,0.0,3,10.0,4,13.33,4,13.33,10013
10,15,13,4,30.77,2,15.38,1,7.69,0,0.0,2,15.38,2,15.38,0,0.0,2,15.38,0,0.0,10015
10,16,16,6,37.5,2,12.5,3,18.75,1,6.25,0,0.0,2,12.5,1,6.25,1,6.25,0,0.0,10016
10,17,10,4,40.0,1,10.0,3,30.0,0,0.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,10017
10,19,71,24,33.8,12,16.9,14,19.72,2,2.82,4,5.63,0,0.0,3,4.23,7,9.86,5,7.04,10019
10,20,78,27,34.62,16,20.51,14,17.95,3,3.85,6,7.69,2,2.56,3,3.85,4,5.13,3,3.85,10020
10,21,27,11,40.74,3,11.11,6,22.22,1,3.7,1,3.7,0,0.0,0,0.0,5,18.52,0,0.0,10021
10,22,14,5,35.71,4,28.57,3,21.43,1,7.14,0,0.0,1,7.14,0,0.0,0,0.0,0,0.0,10022
10,23,14,4,28.57,4,28.57,4,28.57,1,7.14,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,10023
10,24,47,15,31.91,10,21.28,11,23.4,1,2.13,2,4.26,1,2.13,2,4.26,3,6.38,2,4.26,10024
10,26,50,16,32.0,9,18.0,10,20.0,2,4.0,2,4.0,0,0.0,2,4.0,7,14.0,2,4.0,10026
10,27,48,17,35.42,9,18.75,12,25.0,1,2.08,4,8.33,1,2.08,1,2.08,1,2.08,2,4.17,10027
10,30,9,3,33.33,2,22.22,2,22.22,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,0,0.0,10030
10,31,35,12,34.29,5,14.29,6,17.14,0,0.0,4,11.43,1,2.86,3,8.57,3,8.57,1,2.86,10031
10,32,66,21,31.82,14,21.21,13,19.7,1,1.52,4,6.06,3,4.55,2,3.03,4,6.06,4,6.06,10032
10,33,34,10,29.41,2,5.88,5,14.71,2,5.88,4,11.76,1,2.94,2,5.88,4,11.76,4,11.76,10033
10,34,21,7,33.33,1,4.76,4,19.05,0,0.0,2,9.52,0,0.0,1,4.76,3,14.29,3,14.29,10034
10,35,33,10,30.3,7,21.21,7,21.21,1,3.03,1,3.03,1,3.03,1,3.03,2,6.06,3,9.09,10035
10,38,57,20,35.09,6,10.53,10,17.54,0,0.0,4,7.02,2,3.51,5,8.77,7,12.28,3,5.26,10038
10,39,32,10,31.25,6,18.75,6,18.75,1,3.13,3,9.38,0,0.0,1,3.13,2,6.25,3,9.38,10039
10,41,123,43,34.96,25,20.33,25,20.33,3,2.44,5,4.07,3,2.44,3,2.44,10,8.13,6,4.88,10041
10,42,43,15,34.88,8,18.6,8,18.6,0,0.0,3,6.98,1,2.33,1,2.33,5,11.63,2,4.65,10042
10,44,10,2,20.0,2,20.0,2,20.0,0,0.0,1,10.0,0,0.0,3,30.0,0,0.0,0,0.0,10044
10,45,30,12,40.0,4,13.33,3,10.0,1,3.33,2,6.67,0,0.0,3,10.0,3,10.0,2,6.67,10045
10,46,22,5,22.73,2,9.09,3,13.64,1,4.55,4,18.18,2,9.09,0,0.0,3,13.64,2,9.09,10046
