ward,precinct,total,LASZLO A. NAGY,LASZLO A. NAGY Percent,ROBERT P. HUNTINGTON,ROBERT P. HUNTINGTON Percent,ROBERT N. OBERG,ROBERT N. OBERG Percent,precinct_id
44,1,25,9,36.0,11,44.0,5,20.0,44001
44,2,17,5,29.41,10,58.82,2,11.76,44002
44,3,20,7,35.0,9,45.0,4,20.0,44003
44,4,34,7,20.59,14,41.18,13,38.24,44004
44,5,12,2,16.67,5,41.67,5,41.67,44005
44,6,10,3,30.0,5,50.0,2,20.0,44006
44,7,35,8,22.86,17,48.57,10,28.57,44007
44,8,18,0,0.0,15,83.33,3,16.67,44008
44,9,20,8,40.0,7,35.0,5,25.0,44009
44,10,25,3,12.0,15,60.0,7,28.0,44010
44,11,15,3,20.0,8,53.33,4,26.67,44011
44,12,17,7,41.18,7,41.18,3,17.65,44012
44,13,12,8,66.67,1,8.33,3,25.0,44013
44,14,20,10,50.0,5,25.0,5,25.0,44014
44,15,18,6,33.33,11,61.11,1,5.56,44015
44,16,11,6,54.55,5,45.45,0,0.0,44016
44,17,17,4,23.53,9,52.94,4,23.53,44017
44,18,5,0,0.0,2,40.0,3,60.0,44018
44,19,17,5,29.41,9,52.94,3,17.65,44019
44,20,10,3,30.0,7,70.0,0,0.0,44020
44,21,12,4,33.33,6,50.0,2,16.67,44021
44,22,14,4,28.57,9,64.29,1,7.14,44022
44,23,10,2,20.0,6,60.0,2,20.0,44023
44,24,27,10,37.04,11,40.74,6,22.22,44024
44,25,11,4,36.36,6,54.55,1,9.09,44025
44,26,13,4,30.77,8,61.54,1,7.69,44026
44,27,18,5,27.78,10,55.56,3,16.67,44027
44,28,7,0,0.0,5,71.43,2,28.57,44028
44,29,16,7,43.75,6,37.5,3,18.75,44029
44,30,18,5,27.78,11,61.11,2,11.11,44030
44,31,20,6,30.0,10,50.0,4,20.0,44031
44,32,8,3,37.5,3,37.5,2,25.0,44032
44,33,11,6,54.55,4,36.36,1,9.09,44033
44,34,24,3,12.5,12,50.0,9,37.5,44034
44,35,26,7,26.92,9,34.62,10,38.46,44035
44,36,12,3,25.0,6,50.0,3,25.0,44036
44,37,15,5,33.33,8,53.33,2,13.33,44037
44,38,11,5,45.45,4,36.36,2,18.18,44038
44,39,18,8,44.44,7,38.89,3,16.67,44039
44,40,20,8,40.0,10,50.0,2,10.0,44040
44,41,20,5,25.0,8,40.0,7,35.0,44041
44,42,6,5,83.33,1,16.67,0,0.0,44042
44,43,23,13,56.52,9,39.13,1,4.35,44043
44,44,24,5,20.83,13,54.17,6,25.0,44044
44,45,12,6,50.0,3,25.0,3,25.0,44045
44,46,6,3,50.0,2,33.33,1,16.67,44046
44,47,21,8,38.1,8,38.1,5,23.81,44047
44,48,16,2,12.5,3,18.75,11,68.75,44048
44,49,17,2,11.76,11,64.71,4,23.53,44049
44,50,14,5,35.71,6,42.86,3,21.43,44050
