ward,precinct,total,KURT JAMES ECKHARDT,KURT JAMES ECKHARDT Percent,precinct_id
48,1,9,9,100.0,48001
48,2,20,20,100.0,48002
48,3,15,15,100.0,48003
48,4,24,24,100.0,48004
48,5,25,25,100.0,48005
48,6,9,9,100.0,48006
48,7,7,7,100.0,48007
48,8,8,8,100.0,48008
48,9,19,19,100.0,48009
48,10,9,9,100.0,48010
48,11,6,6,100.0,48011
48,12,7,7,100.0,48012
48,13,10,10,100.0,48013
48,14,14,14,100.0,48014
48,15,3,3,100.0,48015
48,16,14,14,100.0,48016
48,17,9,9,100.0,48017
48,18,8,8,100.0,48018
48,19,15,15,100.0,48019
48,20,5,5,100.0,48020
48,21,6,6,100.0,48021
48,22,27,27,100.0,48022
48,23,20,20,100.0,48023
48,24,8,8,100.0,48024
48,25,12,12,100.0,48025
48,26,15,15,100.0,48026
48,27,9,9,100.0,48027
48,28,14,14,100.0,48028
48,29,13,13,100.0,48029
48,30,11,11,100.0,48030
48,31,6,6,100.0,48031
48,32,11,11,100.0,48032
48,33,13,13,100.0,48033
48,34,4,4,100.0,48034
48,35,5,5,100.0,48035
48,36,16,16,100.0,48036
48,37,13,13,100.0,48037
48,38,4,4,100.0,48038
48,39,13,13,100.0,48039
48,40,19,19,100.0,48040
48,41,9,9,100.0,48041
48,42,10,10,100.0,48042
48,43,6,6,100.0,48043
48,44,11,11,100.0,48044
48,45,9,9,100.0,48045
48,46,4,4,100.0,48046
48,47,7,7,100.0,48047
48,48,13,13,100.0,48048
