ward,precinct,total,MICHAEL P. MCAULIFFE,MICHAEL P. MCAULIFFE Percent,precinct_id
41,1,20,20,100.0,41001
41,2,32,32,100.0,41002
41,3,15,15,100.0,41003
41,4,27,27,100.0,41004
41,5,21,21,100.0,41005
41,6,28,28,100.0,41006
41,7,37,37,100.0,41007
41,8,22,22,100.0,41008
41,9,15,15,100.0,41009
41,10,10,10,100.0,41010
41,11,33,33,100.0,41011
41,12,16,16,100.0,41012
41,13,9,9,100.0,41013
41,14,22,22,100.0,41014
41,15,24,24,100.0,41015
41,16,18,18,100.0,41016
41,17,32,32,100.0,41017
41,18,21,21,100.0,41018
41,19,45,45,100.0,41019
41,20,54,54,100.0,41020
41,21,20,20,100.0,41021
41,22,20,20,100.0,41022
41,23,22,22,100.0,41023
41,24,32,32,100.0,41024
41,25,16,16,100.0,41025
41,26,18,18,100.0,41026
41,27,10,10,100.0,41027
41,28,16,16,100.0,41028
41,29,15,15,100.0,41029
41,30,28,28,100.0,41030
41,31,35,35,100.0,41031
41,32,22,22,100.0,41032
41,33,38,38,100.0,41033
41,34,34,34,100.0,41034
41,35,26,26,100.0,41035
41,36,21,21,100.0,41036
41,37,70,70,100.0,41037
41,38,16,16,100.0,41038
41,39,34,34,100.0,41039
41,40,22,22,100.0,41040
41,41,27,27,100.0,41041
41,42,20,20,100.0,41042
41,43,5,5,100.0,41043
41,44,26,26,100.0,41044
41,45,19,19,100.0,41045
41,46,27,27,100.0,41046
41,47,30,30,100.0,41047
41,48,18,18,100.0,41048
41,49,25,25,100.0,41049
41,50,21,21,100.0,41050
41,51,17,17,100.0,41051
41,52,28,28,100.0,41052
41,53,55,55,100.0,41053
41,54,17,17,100.0,41054
41,55,38,38,100.0,41055
41,56,43,43,100.0,41056
41,57,36,36,100.0,41057
41,58,19,19,100.0,41058
41,59,31,31,100.0,41059
41,60,12,12,100.0,41060
41,61,25,25,100.0,41061
41,62,21,21,100.0,41062
41,63,26,26,100.0,41063
41,64,38,38,100.0,41064
41,65,23,23,100.0,41065
41,66,23,23,100.0,41066
