ward,precinct,total,RICHARD SKOKAN,RICHARD SKOKAN Percent,precinct_id
39,23,10,10,100.0,39023
39,28,11,11,100.0,39028
39,38,0,0,0.0,39038
41,1,15,15,100.0,41001
41,3,14,14,100.0,41003
41,9,14,14,100.0,41009
41,10,6,6,100.0,41010
41,11,29,29,100.0,41011
41,12,15,15,100.0,41012
41,14,19,19,100.0,41014
41,16,12,12,100.0,41016
41,17,25,25,100.0,41017
41,19,37,37,100.0,41019
41,21,16,16,100.0,41021
41,22,16,16,100.0,41022
41,23,15,15,100.0,41023
41,24,22,22,100.0,41024
41,30,22,22,100.0,41030
41,35,27,27,100.0,41035
41,40,14,14,100.0,41040
41,43,8,8,100.0,41043
41,46,19,19,100.0,41046
41,47,17,17,100.0,41047
41,49,18,18,100.0,41049
41,50,16,16,100.0,41050
41,51,15,15,100.0,41051
41,52,25,25,100.0,41052
41,54,15,15,100.0,41054
41,57,27,27,100.0,41057
41,59,20,20,100.0,41059
41,62,17,17,100.0,41062
41,63,21,21,100.0,41063
41,64,26,26,100.0,41064
41,65,19,19,100.0,41065
41,66,18,18,100.0,41066
45,1,11,11,100.0,45001
45,2,11,11,100.0,45002
45,4,24,24,100.0,45004
45,5,12,12,100.0,45005
45,22,12,12,100.0,45022
45,23,16,16,100.0,45023
45,33,23,23,100.0,45033
45,58,9,9,100.0,45058
