ward,precinct,total,DENNIS J. DRISCOLL,DENNIS J. DRISCOLL Percent,LEONARD R. REINEBACH,LEONARD R. REINEBACH Percent,precinct_id
39,1,16,8,50.0,8,50.0,39001
39,3,25,21,84.0,4,16.0,39003
39,15,7,7,100.0,0,0.0,39015
39,20,24,17,70.83,7,29.17,39020
39,23,16,14,87.5,2,12.5,39023
39,26,17,12,70.59,5,29.41,39026
39,28,24,22,91.67,2,8.33,39028
39,32,4,3,75.0,1,25.0,39032
39,34,13,9,69.23,4,30.77,39034
39,36,26,23,88.46,3,11.54,39036
39,37,29,25,86.21,4,13.79,39037
39,38,35,31,88.57,4,11.43,39038
39,40,15,11,73.33,4,26.67,39040
39,42,22,19,86.36,3,13.64,39042
39,47,24,14,58.33,10,41.67,39047
40,3,8,6,75.0,2,25.0,40003
40,4,11,8,72.73,3,27.27,40004
40,7,8,6,75.0,2,25.0,40007
40,8,9,7,77.78,2,22.22,40008
40,9,8,4,50.0,4,50.0,40009
40,11,2,1,50.0,1,50.0,40011
40,12,3,3,100.0,0,0.0,40012
40,13,5,2,40.0,3,60.0,40013
40,15,18,14,77.78,4,22.22,40015
40,16,5,3,60.0,2,40.0,40016
40,18,11,7,63.64,4,36.36,40018
40,22,8,6,75.0,2,25.0,40022
40,26,14,12,85.71,2,14.29,40026
40,27,7,5,71.43,2,28.57,40027
40,28,11,10,90.91,1,9.09,40028
40,33,9,8,88.89,1,11.11,40033
40,35,18,11,61.11,7,38.89,40035
40,37,20,15,75.0,5,25.0,40037
40,39,18,13,72.22,5,27.78,40039
40,41,13,13,100.0,0,0.0,40041
40,42,6,6,100.0,0,0.0,40042
40,43,13,9,69.23,4,30.77,40043
40,45,18,12,66.67,6,33.33,40045
40,46,10,9,90.0,1,10.0,40046
40,47,10,10,100.0,0,0.0,40047
41,1,22,18,81.82,4,18.18,41001
41,2,26,24,92.31,2,7.69,41002
41,3,20,15,75.0,5,25.0,41003
41,4,31,29,93.55,2,6.45,41004
41,5,18,12,66.67,6,33.33,41005
41,6,24,19,79.17,5,20.83,41006
41,7,46,31,67.39,15,32.61,41007
41,8,28,17,60.71,11,39.29,41008
41,9,17,12,70.59,5,29.41,41009
41,10,13,11,84.62,2,15.38,41010
41,11,35,25,71.43,10,28.57,41011
41,12,16,14,87.5,2,12.5,41012
41,14,30,19,63.33,11,36.67,41014
41,15,22,21,95.45,1,4.55,41015
41,16,22,20,90.91,2,9.09,41016
41,17,31,28,90.32,3,9.68,41017
41,18,25,21,84.0,4,16.0,41018
41,19,44,38,86.36,6,13.64,41019
41,20,44,37,84.09,7,15.91,41020
41,21,24,22,91.67,2,8.33,41021
41,22,22,18,81.82,4,18.18,41022
41,23,27,21,77.78,6,22.22,41023
41,24,30,22,73.33,8,26.67,41024
41,30,28,25,89.29,3,10.71,41030
41,31,37,26,70.27,11,29.73,41031
41,34,37,29,78.38,8,21.62,41034
41,35,27,22,81.48,5,18.52,41035
41,36,18,14,77.78,4,22.22,41036
41,37,70,63,90.0,7,10.0,41037
41,39,29,24,82.76,5,17.24,41039
41,40,20,16,80.0,4,20.0,41040
41,41,23,20,86.96,3,13.04,41041
41,42,21,20,95.24,1,4.76,41042
41,43,7,6,85.71,1,14.29,41043
41,44,27,20,74.07,7,25.93,41044
41,45,17,12,70.59,5,29.41,41045
41,46,23,18,78.26,5,21.74,41046
41,47,30,26,86.67,4,13.33,41047
41,49,24,19,79.17,5,20.83,41049
41,50,21,18,85.71,3,14.29,41050
41,51,19,17,89.47,2,10.53,41051
41,52,30,24,80.0,6,20.0,41052
41,53,47,38,80.85,9,19.15,41053
41,54,17,15,88.24,2,11.76,41054
41,56,36,28,77.78,8,22.22,41056
41,57,33,26,78.79,7,21.21,41057
41,58,19,15,78.95,4,21.05,41058
41,59,32,26,81.25,6,18.75,41059
41,60,10,8,80.0,2,20.0,41060
41,61,25,17,68.0,8,32.0,41061
41,62,21,18,85.71,3,14.29,41062
41,63,27,24,88.89,3,11.11,41063
41,64,41,33,80.49,8,19.51,41064
41,65,24,13,54.17,11,45.83,41065
41,66,24,20,83.33,4,16.67,41066
44,1,24,18,75.0,6,25.0,44001
44,2,19,15,78.95,4,21.05,44002
44,3,18,15,83.33,3,16.67,44003
44,4,33,26,78.79,7,21.21,44004
44,5,14,12,85.71,2,14.29,44005
44,6,10,8,80.0,2,20.0,44006
44,7,30,22,73.33,8,26.67,44007
44,8,17,16,94.12,1,5.88,44008
44,10,23,19,82.61,4,17.39,44010
44,12,15,13,86.67,2,13.33,44012
44,15,18,15,83.33,3,16.67,44015
44,17,18,14,77.78,4,22.22,44017
44,18,3,3,100.0,0,0.0,44018
44,19,13,7,53.85,6,46.15,44019
44,21,10,7,70.0,3,30.0,44021
44,22,14,11,78.57,3,21.43,44022
44,23,8,6,75.0,2,25.0,44023
44,24,27,22,81.48,5,18.52,44024
44,26,14,7,50.0,7,50.0,44026
44,28,8,7,87.5,1,12.5,44028
44,30,16,13,81.25,3,18.75,44030
44,31,18,14,77.78,4,22.22,44031
44,32,7,2,28.57,5,71.43,44032
44,33,9,6,66.67,3,33.33,44033
44,34,25,19,76.0,6,24.0,44034
44,35,23,16,69.57,7,30.43,44035
44,36,11,6,54.55,5,45.45,44036
44,37,12,8,66.67,4,33.33,44037
44,41,16,11,68.75,5,31.25,44041
44,42,6,5,83.33,1,16.67,44042
44,44,19,13,68.42,6,31.58,44044
44,45,13,10,76.92,3,23.08,44045
44,46,5,2,40.0,3,60.0,44046
44,48,17,14,82.35,3,17.65,44048
44,49,19,16,84.21,3,15.79,44049
45,1,12,8,66.67,4,33.33,45001
45,2,11,10,90.91,1,9.09,45002
45,3,11,9,81.82,2,18.18,45003
45,4,36,29,80.56,7,19.44,45004
45,5,14,13,92.86,1,7.14,45005
45,6,9,7,77.78,2,22.22,45006
45,9,13,7,53.85,6,46.15,45009
45,11,19,14,73.68,5,26.32,45011
45,13,22,18,81.82,4,18.18,45013
45,15,28,21,75.0,7,25.0,45015
45,17,16,11,68.75,5,31.25,45017
45,19,16,11,68.75,5,31.25,45019
