ward,precinct,total,SUZANNE E. MAUNTEL,SUZANNE E. MAUNTEL Percent,precinct_id
40,1,10,10,100.0,40001
40,2,5,5,100.0,40002
40,3,7,7,100.0,40003
40,4,10,10,100.0,40004
40,5,11,11,100.0,40005
40,6,6,6,100.0,40006
40,7,8,8,100.0,40007
40,8,9,9,100.0,40008
40,9,7,7,100.0,40009
40,10,12,12,100.0,40010
40,11,0,0,0.0,40011
40,12,2,2,100.0,40012
40,13,4,4,100.0,40013
40,14,8,8,100.0,40014
40,15,16,16,100.0,40015
40,16,6,6,100.0,40016
40,17,5,5,100.0,40017
40,18,11,11,100.0,40018
40,19,13,13,100.0,40019
40,20,5,5,100.0,40020
40,21,10,10,100.0,40021
40,22,6,6,100.0,40022
40,23,11,11,100.0,40023
40,24,7,7,100.0,40024
40,25,6,6,100.0,40025
40,26,12,12,100.0,40026
40,27,7,7,100.0,40027
40,28,12,12,100.0,40028
40,29,12,12,100.0,40029
40,30,4,4,100.0,40030
40,31,11,11,100.0,40031
40,32,10,10,100.0,40032
40,33,8,8,100.0,40033
40,34,4,4,100.0,40034
40,35,15,15,100.0,40035
40,36,17,17,100.0,40036
40,37,14,14,100.0,40037
40,38,4,4,100.0,40038
40,39,16,16,100.0,40039
40,40,8,8,100.0,40040
40,41,9,9,100.0,40041
40,42,5,5,100.0,40042
40,43,9,9,100.0,40043
40,44,13,13,100.0,40044
40,45,16,16,100.0,40045
40,46,14,14,100.0,40046
40,47,7,7,100.0,40047
