ward,precinct,total,RAFAEL MATIAS JR.,RAFAEL MATIAS JR. Percent,precinct_id
12,1,4,4,100.0,12001
12,2,5,5,100.0,12002
12,3,5,5,100.0,12003
12,4,1,1,100.0,12004
12,5,1,1,100.0,12005
12,6,3,3,100.0,12006
12,7,1,1,100.0,12007
12,8,6,6,100.0,12008
12,9,1,1,100.0,12009
12,10,4,4,100.0,12010
12,11,3,3,100.0,12011
12,12,1,1,100.0,12012
12,13,5,5,100.0,12013
12,14,5,5,100.0,12014
12,15,2,2,100.0,12015
12,16,1,1,100.0,12016
12,17,2,2,100.0,12017
12,18,2,2,100.0,12018
12,19,1,1,100.0,12019
12,20,4,4,100.0,12020
12,21,7,7,100.0,12021
12,22,4,4,100.0,12022
12,23,3,3,100.0,12023
12,24,6,6,100.0,12024
12,25,4,4,100.0,12025
12,26,2,2,100.0,12026
12,27,8,8,100.0,12027
12,28,4,4,100.0,12028
12,29,6,6,100.0,12029
12,30,11,11,100.0,12030
