ward,precinct,total,JOHN J. CURRY,JOHN J. CURRY Percent,DONALD R. LOCKART,DONALD R. LOCKART Percent,precinct_id
32,1,17,6,35.29,11,64.71,32001
32,2,6,4,66.67,2,33.33,32002
32,3,9,5,55.56,4,44.44,32003
32,4,7,2,28.57,5,71.43,32004
32,5,8,7,87.5,1,12.5,32005
32,6,8,5,62.5,3,37.5,32006
32,7,11,6,54.55,5,45.45,32007
32,8,24,13,54.17,11,45.83,32008
32,9,14,8,57.14,6,42.86,32009
32,10,11,6,54.55,5,45.45,32010
32,11,4,4,100.0,0,0.0,32011
32,12,4,1,25.0,3,75.0,32012
32,13,13,9,69.23,4,30.77,32013
32,14,3,1,33.33,2,66.67,32014
32,15,7,6,85.71,1,14.29,32015
32,16,6,4,66.67,2,33.33,32016
32,17,11,7,63.64,4,36.36,32017
32,18,11,5,45.45,6,54.55,32018
32,19,17,9,52.94,8,47.06,32019
32,20,3,1,33.33,2,66.67,32020
32,21,11,8,72.73,3,27.27,32021
32,22,9,5,55.56,4,44.44,32022
32,23,14,10,71.43,4,28.57,32023
32,24,9,5,55.56,4,44.44,32024
32,25,9,0,0.0,9,100.0,32025
32,26,11,6,54.55,5,45.45,32026
32,27,3,2,66.67,1,33.33,32027
32,28,8,4,50.0,4,50.0,32028
32,29,10,7,70.0,3,30.0,32029
32,30,9,7,77.78,2,22.22,32030
32,31,9,6,66.67,3,33.33,32031
32,32,16,10,62.5,6,37.5,32032
32,33,11,8,72.73,3,27.27,32033
32,34,7,1,14.29,6,85.71,32034
32,35,11,7,63.64,4,36.36,32035
32,36,17,15,88.24,2,11.76,32036
32,37,4,1,25.0,3,75.0,32037
32,38,17,10,58.82,7,41.18,32038
32,39,11,6,54.55,5,45.45,32039
32,40,22,10,45.45,12,54.55,32040
32,41,27,16,59.26,11,40.74,32041
32,42,18,7,38.89,11,61.11,32042
32,43,24,13,54.17,11,45.83,32043
32,44,13,9,69.23,4,30.77,32044
32,45,11,5,45.45,6,54.55,32045
32,46,6,4,66.67,2,33.33,32046
32,47,7,4,57.14,3,42.86,32047
32,48,18,5,27.78,13,72.22,32048
