ward,precinct,total,MICHAEL P. MCAULIFFE (BUSH),MICHAEL P. MCAULIFFE (BUSH) Percent,TRIPTI SHAH KASAL (BUSH),TRIPTI SHAH KASAL (BUSH) Percent,EDWARD GREEN (KEYES),EDWARD GREEN (KEYES) Percent,LAWRENCE HANISH (FORBES),LAWRENCE HANISH (FORBES) Percent,JAMES E. ABBOTT (McCAIN),JAMES E. ABBOTT (McCAIN) Percent,precinct_id
26,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26030
29,2,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,29002
29,6,21,8,38.1,6,28.57,4,19.05,1,4.76,2,9.52,29006
29,53,15,6,40.0,3,20.0,3,20.0,0,0.0,3,20.0,29053
29,54,11,6,54.55,3,27.27,1,9.09,1,9.09,0,0.0,29054
30,1,36,13,36.11,8,22.22,8,22.22,3,8.33,4,11.11,30001
30,2,29,13,44.83,10,34.48,2,6.9,2,6.9,2,6.9,30002
30,3,27,14,51.85,12,44.44,0,0.0,1,3.7,0,0.0,30003
30,4,19,9,47.37,5,26.32,1,5.26,2,10.53,2,10.53,30004
30,5,15,6,40.0,4,26.67,2,13.33,0,0.0,3,20.0,30005
30,6,12,6,50.0,5,41.67,0,0.0,0,0.0,1,8.33,30006
30,7,20,9,45.0,6,30.0,4,20.0,0,0.0,1,5.0,30007
30,8,28,14,50.0,8,28.57,4,14.29,0,0.0,2,7.14,30008
30,9,28,11,39.29,5,17.86,5,17.86,1,3.57,6,21.43,30009
30,10,13,7,53.85,4,30.77,0,0.0,0,0.0,2,15.38,30010
30,11,13,6,46.15,4,30.77,0,0.0,1,7.69,2,15.38,30011
30,12,38,19,50.0,11,28.95,2,5.26,0,0.0,6,15.79,30012
30,13,11,5,45.45,3,27.27,1,9.09,0,0.0,2,18.18,30013
30,14,16,9,56.25,4,25.0,2,12.5,0,0.0,1,6.25,30014
30,15,10,5,50.0,3,30.0,1,10.0,0,0.0,1,10.0,30015
30,16,20,10,50.0,6,30.0,2,10.0,1,5.0,1,5.0,30016
30,18,14,7,50.0,4,28.57,2,14.29,0,0.0,1,7.14,30018
30,19,15,6,40.0,3,20.0,2,13.33,0,0.0,4,26.67,30019
30,21,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30021
30,22,26,10,38.46,7,26.92,4,15.38,2,7.69,3,11.54,30022
30,23,10,5,50.0,2,20.0,1,10.0,0,0.0,2,20.0,30023
30,24,8,3,37.5,1,12.5,1,12.5,0,0.0,3,37.5,30024
30,25,7,5,71.43,2,28.57,0,0.0,0,0.0,0,0.0,30025
30,26,11,4,36.36,2,18.18,3,27.27,0,0.0,2,18.18,30026
30,27,20,9,45.0,6,30.0,2,10.0,1,5.0,2,10.0,30027
