ward,precinct,total,GLENN A. GOOD (BUSH),GLENN A. GOOD (BUSH) Percent,LOURDES MON (BUSH),LOURDES MON (BUSH) Percent,STEPHEN B. COOPER (KEYES),STEPHEN B. COOPER (KEYES) Percent,MARY LOUISE MOCKUS (FORBES),MARY LOUISE MOCKUS (FORBES) Percent,KURT JAMES ECKHARDT (FORBES),KURT JAMES ECKHARDT (FORBES) Percent,DARYA ALLEN ATTAR (McCAIN),DARYA ALLEN ATTAR (McCAIN) Percent,DANA GOFF (McCAIN),DANA GOFF (McCAIN) Percent,precinct_id
39,1,29,9,31.03,7,24.14,2,6.9,1,3.45,0,0.0,4,13.79,6,20.69,39001
39,3,53,20,37.74,15,28.3,3,5.66,3,5.66,3,5.66,4,7.55,5,9.43,39003
39,15,16,7,43.75,5,31.25,3,18.75,0,0.0,0,0.0,1,6.25,0,0.0,39015
39,20,49,14,28.57,12,24.49,4,8.16,1,2.04,1,2.04,8,16.33,9,18.37,39020
39,23,33,13,39.39,10,30.3,2,6.06,1,3.03,0,0.0,3,9.09,4,12.12,39023
39,26,29,10,34.48,11,37.93,1,3.45,1,3.45,1,3.45,2,6.9,3,10.34,39026
39,28,40,15,37.5,11,27.5,5,12.5,2,5.0,1,2.5,3,7.5,3,7.5,39028
39,32,6,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,2,33.33,2,33.33,39032
39,34,22,7,31.82,7,31.82,5,22.73,0,0.0,2,9.09,0,0.0,1,4.55,39034
39,36,52,18,34.62,17,32.69,4,7.69,2,3.85,1,1.92,5,9.62,5,9.62,39036
39,37,56,18,32.14,15,26.79,12,21.43,2,3.57,1,1.79,3,5.36,5,8.93,39037
39,38,70,26,37.14,20,28.57,4,5.71,4,5.71,2,2.86,5,7.14,9,12.86,39038
39,40,32,7,21.88,6,18.75,2,6.25,1,3.13,1,3.13,6,18.75,9,28.13,39040
39,42,39,16,41.03,16,41.03,4,10.26,0,0.0,0,0.0,2,5.13,1,2.56,39042
39,47,39,13,33.33,10,25.64,5,12.82,4,10.26,2,5.13,3,7.69,2,5.13,39047
40,3,16,2,12.5,2,12.5,1,6.25,2,12.5,1,6.25,4,25.0,4,25.0,40003
40,4,22,7,31.82,8,36.36,1,4.55,0,0.0,1,4.55,2,9.09,3,13.64,40004
40,7,18,5,27.78,6,33.33,2,11.11,1,5.56,2,11.11,1,5.56,1,5.56,40007
40,8,16,5,31.25,3,18.75,1,6.25,2,12.5,0,0.0,3,18.75,2,12.5,40008
40,9,16,6,37.5,6,37.5,3,18.75,0,0.0,0,0.0,1,6.25,0,0.0,40009
40,11,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,40011
40,12,8,2,25.0,3,37.5,1,12.5,0,0.0,0,0.0,1,12.5,1,12.5,40012
40,13,14,4,28.57,5,35.71,0,0.0,0,0.0,0,0.0,2,14.29,3,21.43,40013
40,15,39,14,35.9,11,28.21,2,5.13,1,2.56,1,2.56,3,7.69,7,17.95,40015
40,16,10,2,20.0,4,40.0,1,10.0,0,0.0,1,10.0,0,0.0,2,20.0,40016
40,18,18,5,27.78,4,22.22,1,5.56,4,22.22,0,0.0,2,11.11,2,11.11,40018
40,22,14,6,42.86,4,28.57,2,14.29,0,0.0,0,0.0,0,0.0,2,14.29,40022
40,26,30,10,33.33,8,26.67,2,6.67,2,6.67,1,3.33,2,6.67,5,16.67,40026
40,27,15,2,13.33,2,13.33,0,0.0,1,6.67,1,6.67,4,26.67,5,33.33,40027
40,28,18,6,33.33,5,27.78,4,22.22,0,0.0,2,11.11,0,0.0,1,5.56,40028
40,33,15,5,33.33,8,53.33,1,6.67,0,0.0,0,0.0,0,0.0,1,6.67,40033
40,35,32,5,15.63,9,28.13,4,12.5,1,3.13,1,3.13,7,21.88,5,15.63,40035
40,37,34,8,23.53,7,20.59,7,20.59,0,0.0,0,0.0,5,14.71,7,20.59,40037
40,39,34,9,26.47,7,20.59,5,14.71,6,17.65,2,5.88,3,8.82,2,5.88,40039
40,41,32,12,37.5,9,28.13,2,6.25,1,3.13,1,3.13,2,6.25,5,15.63,40041
40,42,12,4,33.33,5,41.67,1,8.33,1,8.33,0,0.0,0,0.0,1,8.33,40042
40,43,23,9,39.13,5,21.74,3,13.04,3,13.04,0,0.0,2,8.7,1,4.35,40043
40,45,40,12,30.0,12,30.0,1,2.5,1,2.5,3,7.5,5,12.5,6,15.0,40045
40,46,26,6,23.08,3,11.54,3,11.54,2,7.69,0,0.0,3,11.54,9,34.62,40046
40,47,17,7,41.18,6,35.29,0,0.0,1,5.88,1,5.88,1,5.88,1,5.88,40047
41,1,43,15,34.88,14,32.56,2,4.65,3,6.98,0,0.0,4,9.3,5,11.63,41001
41,2,58,19,32.76,17,29.31,3,5.17,2,3.45,0,0.0,9,15.52,8,13.79,41002
41,3,34,15,44.12,12,35.29,1,2.94,1,2.94,1,2.94,1,2.94,3,8.82,41003
41,4,50,21,42.0,14,28.0,1,2.0,1,2.0,1,2.0,5,10.0,7,14.0,41004
41,5,43,15,34.88,10,23.26,4,9.3,2,4.65,2,4.65,4,9.3,6,13.95,41005
41,6,58,22,37.93,20,34.48,5,8.62,1,1.72,0,0.0,5,8.62,5,8.62,41006
41,7,86,23,26.74,17,19.77,14,16.28,4,4.65,8,9.3,8,9.3,12,13.95,41007
41,8,50,17,34.0,16,32.0,2,4.0,1,2.0,4,8.0,4,8.0,6,12.0,41008
41,9,39,17,43.59,13,33.33,2,5.13,2,5.13,2,5.13,1,2.56,2,5.13,41009
41,10,28,12,42.86,11,39.29,2,7.14,2,7.14,0,0.0,0,0.0,1,3.57,41010
41,11,67,30,44.78,27,40.3,1,1.49,1,1.49,0,0.0,4,5.97,4,5.97,41011
41,12,34,11,32.35,10,29.41,1,2.94,0,0.0,3,8.82,5,14.71,4,11.76,41012
41,14,50,19,38.0,16,32.0,1,2.0,3,6.0,3,6.0,3,6.0,5,10.0,41014
41,15,49,21,42.86,18,36.73,2,4.08,1,2.04,2,4.08,2,4.08,3,6.12,41015
41,16,39,18,46.15,14,35.9,3,7.69,0,0.0,0,0.0,2,5.13,2,5.13,41016
41,17,66,21,31.82,17,25.76,5,7.58,4,6.06,3,4.55,5,7.58,11,16.67,41017
41,18,48,13,27.08,11,22.92,4,8.33,4,8.33,4,8.33,3,6.25,9,18.75,41018
41,19,88,33,37.5,21,23.86,7,7.95,2,2.27,4,4.55,10,11.36,11,12.5,41019
41,20,98,34,34.69,26,26.53,10,10.2,12,12.24,2,2.04,7,7.14,7,7.14,41020
41,21,45,19,42.22,14,31.11,0,0.0,3,6.67,2,4.44,4,8.89,3,6.67,41021
41,22,42,10,23.81,7,16.67,3,7.14,4,9.52,4,9.52,5,11.9,9,21.43,41022
41,23,48,17,35.42,13,27.08,4,8.33,7,14.58,0,0.0,2,4.17,5,10.42,41023
41,24,65,19,29.23,17,26.15,5,7.69,4,6.15,4,6.15,6,9.23,10,15.38,41024
41,30,55,18,32.73,16,29.09,3,5.45,1,1.82,1,1.82,8,14.55,8,14.55,41030
41,31,61,22,36.07,20,32.79,1,1.64,2,3.28,0,0.0,7,11.48,9,14.75,41031
41,34,68,28,41.18,19,27.94,4,5.88,2,2.94,8,11.76,3,4.41,4,5.88,41034
41,35,56,23,41.07,21,37.5,3,5.36,1,1.79,0,0.0,3,5.36,5,8.93,41035
41,36,39,15,38.46,13,33.33,0,0.0,2,5.13,1,2.56,3,7.69,5,12.82,41036
41,37,147,44,29.93,36,24.49,7,4.76,0,0.0,4,2.72,26,17.69,30,20.41,41037
41,39,68,22,32.35,19,27.94,4,5.88,3,4.41,3,4.41,7,10.29,10,14.71,41039
41,40,43,18,41.86,10,23.26,3,6.98,4,9.3,0,0.0,2,4.65,6,13.95,41040
41,41,48,19,39.58,15,31.25,5,10.42,2,4.17,1,2.08,3,6.25,3,6.25,41041
41,42,41,14,34.15,11,26.83,3,7.32,1,2.44,1,2.44,4,9.76,7,17.07,41042
41,43,14,4,28.57,2,14.29,2,14.29,0,0.0,1,7.14,2,14.29,3,21.43,41043
41,44,50,14,28.0,11,22.0,4,8.0,4,8.0,4,8.0,5,10.0,8,16.0,41044
41,45,37,11,29.73,6,16.22,5,13.51,2,5.41,0,0.0,6,16.22,7,18.92,41045
41,46,50,17,34.0,14,28.0,4,8.0,0,0.0,5,10.0,5,10.0,5,10.0,41046
41,47,67,28,41.79,21,31.34,3,4.48,3,4.48,2,2.99,4,5.97,6,8.96,41047
41,49,50,16,32.0,17,34.0,2,4.0,2,4.0,0,0.0,5,10.0,8,16.0,41049
41,50,37,15,40.54,10,27.03,5,13.51,4,10.81,0,0.0,1,2.7,2,5.41,41050
41,51,31,11,35.48,9,29.03,4,12.9,1,3.23,2,6.45,1,3.23,3,9.68,41051
41,52,50,21,42.0,13,26.0,4,8.0,1,2.0,2,4.0,4,8.0,5,10.0,41052
41,53,98,40,40.82,34,34.69,4,4.08,3,3.06,3,3.06,7,7.14,7,7.14,41053
41,54,38,13,34.21,9,23.68,0,0.0,1,2.63,2,5.26,6,15.79,7,18.42,41054
41,56,74,29,39.19,19,25.68,2,2.7,4,5.41,2,2.7,6,8.11,12,16.22,41056
41,57,65,29,44.62,22,33.85,1,1.54,3,4.62,2,3.08,4,6.15,4,6.15,41057
41,58,44,7,15.91,8,18.18,6,13.64,2,4.55,1,2.27,9,20.45,11,25.0,41058
41,59,61,26,42.62,22,36.07,1,1.64,2,3.28,1,1.64,2,3.28,7,11.48,41059
41,60,20,9,45.0,5,25.0,0,0.0,0,0.0,0,0.0,3,15.0,3,15.0,41060
41,61,50,18,36.0,10,20.0,6,12.0,2,4.0,1,2.0,5,10.0,8,16.0,41061
41,62,40,18,45.0,14,35.0,3,7.5,1,2.5,3,7.5,1,2.5,0,0.0,41062
41,63,46,13,28.26,14,30.43,3,6.52,3,6.52,2,4.35,4,8.7,7,15.22,41063
41,64,79,30,37.97,22,27.85,5,6.33,3,3.8,4,5.06,7,8.86,8,10.13,41064
41,65,46,19,41.3,11,23.91,2,4.35,2,4.35,5,10.87,2,4.35,5,10.87,41065
