ward,precinct,total,CURTIS LACY,CURTIS LACY Percent,RODERICK BRIM,RODERICK BRIM Percent,precinct_id
17,1,1,1,100.0,0,0.0,17001
17,2,8,8,100.0,0,0.0,17002
17,3,2,2,100.0,0,0.0,17003
17,4,3,3,100.0,0,0.0,17004
17,5,2,1,50.0,1,50.0,17005
17,6,0,0,0.0,0,0.0,17006
17,7,2,2,100.0,0,0.0,17007
17,8,3,2,66.67,1,33.33,17008
17,9,2,2,100.0,0,0.0,17009
17,10,0,0,0.0,0,0.0,17010
17,11,3,3,100.0,0,0.0,17011
17,12,5,5,100.0,0,0.0,17012
17,13,2,1,50.0,1,50.0,17013
17,14,1,1,100.0,0,0.0,17014
17,15,3,2,66.67,1,33.33,17015
17,16,2,2,100.0,0,0.0,17016
17,17,0,0,0.0,0,0.0,17017
17,18,0,0,0.0,0,0.0,17018
17,19,0,0,0.0,0,0.0,17019
17,20,2,2,100.0,0,0.0,17020
17,21,3,3,100.0,0,0.0,17021
17,22,1,1,100.0,0,0.0,17022
17,23,1,1,100.0,0,0.0,17023
17,24,2,2,100.0,0,0.0,17024
17,25,2,2,100.0,0,0.0,17025
17,26,0,0,0.0,0,0.0,17026
17,27,3,3,100.0,0,0.0,17027
17,28,1,1,100.0,0,0.0,17028
17,29,2,2,100.0,0,0.0,17029
17,30,3,2,66.67,1,33.33,17030
17,31,4,4,100.0,0,0.0,17031
17,32,1,1,100.0,0,0.0,17032
17,33,3,3,100.0,0,0.0,17033
17,34,0,0,0.0,0,0.0,17034
17,35,2,2,100.0,0,0.0,17035
17,36,0,0,0.0,0,0.0,17036
17,37,1,1,100.0,0,0.0,17037
17,38,0,0,0.0,0,0.0,17038
17,39,1,1,100.0,0,0.0,17039
17,40,0,0,0.0,0,0.0,17040
17,41,1,1,100.0,0,0.0,17041
17,42,2,2,100.0,0,0.0,17042
17,43,1,1,100.0,0,0.0,17043
17,44,2,1,50.0,1,50.0,17044
17,45,6,3,50.0,3,50.0,17045
17,46,0,0,0.0,0,0.0,17046
17,47,1,1,100.0,0,0.0,17047
17,48,2,2,100.0,0,0.0,17048
17,49,3,1,33.33,2,66.67,17049
17,50,5,5,100.0,0,0.0,17050
17,51,4,3,75.0,1,25.0,17051
17,52,0,0,0.0,0,0.0,17052
17,53,5,5,100.0,0,0.0,17053
17,54,0,0,0.0,0,0.0,17054
17,55,3,2,66.67,1,33.33,17055
