ward,precinct,total,E. SUZANNE DAVIS,E. SUZANNE DAVIS Percent,PATRICK J. KENARY,PATRICK J. KENARY Percent,precinct_id
43,1,21,13,61.9,8,38.1,43001
43,2,9,4,44.44,5,55.56,43002
43,3,15,5,33.33,10,66.67,43003
43,4,20,17,85.0,3,15.0,43004
43,5,16,7,43.75,9,56.25,43005
43,6,13,9,69.23,4,30.77,43006
43,7,9,6,66.67,3,33.33,43007
43,8,8,6,75.0,2,25.0,43008
43,9,6,5,83.33,1,16.67,43009
43,10,13,7,53.85,6,46.15,43010
43,11,21,16,76.19,5,23.81,43011
43,12,37,22,59.46,15,40.54,43012
43,13,8,4,50.0,4,50.0,43013
43,14,19,15,78.95,4,21.05,43014
43,15,15,8,53.33,7,46.67,43015
43,16,12,5,41.67,7,58.33,43016
43,17,14,9,64.29,5,35.71,43017
43,18,58,34,58.62,24,41.38,43018
43,19,26,10,38.46,16,61.54,43019
43,20,30,20,66.67,10,33.33,43020
43,21,8,5,62.5,3,37.5,43021
43,22,11,8,72.73,3,27.27,43022
43,23,19,8,42.11,11,57.89,43023
43,24,28,17,60.71,11,39.29,43024
43,25,10,7,70.0,3,30.0,43025
43,26,30,19,63.33,11,36.67,43026
43,27,22,8,36.36,14,63.64,43027
43,28,11,7,63.64,4,36.36,43028
43,29,17,13,76.47,4,23.53,43029
43,30,11,7,63.64,4,36.36,43030
43,31,21,10,47.62,11,52.38,43031
43,32,18,11,61.11,7,38.89,43032
43,33,11,5,45.45,6,54.55,43033
43,34,20,11,55.0,9,45.0,43034
43,35,12,10,83.33,2,16.67,43035
43,36,38,31,81.58,7,18.42,43036
43,37,20,11,55.0,9,45.0,43037
43,38,14,7,50.0,7,50.0,43038
43,39,12,9,75.0,3,25.0,43039
43,40,7,4,57.14,3,42.86,43040
43,41,20,14,70.0,6,30.0,43041
43,42,27,18,66.67,9,33.33,43042
43,43,22,13,59.09,9,40.91,43043
43,44,30,21,70.0,9,30.0,43044
43,45,7,3,42.86,4,57.14,43045
43,46,38,29,76.32,9,23.68,43046
43,47,23,15,65.22,8,34.78,43047
43,48,10,4,40.0,6,60.0,43048
43,49,14,6,42.86,8,57.14,43049
43,50,14,13,92.86,1,7.14,43050
43,51,12,5,41.67,7,58.33,43051
43,52,30,13,43.33,17,56.67,43052
43,53,20,17,85.0,3,15.0,43053
43,54,6,4,66.67,2,33.33,43054
43,55,2,1,50.0,1,50.0,43055
43,56,4,2,50.0,2,50.0,43056
43,57,18,14,77.78,4,22.22,43057
43,58,9,4,44.44,5,55.56,43058
43,59,32,22,68.75,10,31.25,43059
43,60,16,12,75.0,4,25.0,43060
