ward,precinct,total,SHAWN M. HANLEY,SHAWN M. HANLEY Percent,precinct_id
2,49,5,5,100.0,02049
27,13,28,28,100.0,27013
27,16,12,12,100.0,27016
27,37,0,0,0.0,27037
27,38,35,35,100.0,27038
27,42,11,11,100.0,27042
42,1,18,18,100.0,42001
42,2,20,20,100.0,42002
42,3,18,18,100.0,42003
42,4,47,47,100.0,42004
42,5,21,21,100.0,42005
42,6,42,42,100.0,42006
42,7,26,26,100.0,42007
42,8,26,26,100.0,42008
42,9,29,29,100.0,42009
42,10,37,37,100.0,42010
42,11,28,28,100.0,42011
42,13,68,68,100.0,42013
42,15,28,28,100.0,42015
42,16,41,41,100.0,42016
42,17,0,0,0.0,42017
42,19,27,27,100.0,42019
42,20,10,10,100.0,42020
42,22,15,15,100.0,42022
42,23,34,34,100.0,42023
42,24,27,27,100.0,42024
42,25,30,30,100.0,42025
42,27,43,43,100.0,42027
42,28,35,35,100.0,42028
42,29,38,38,100.0,42029
42,30,26,26,100.0,42030
42,31,9,9,100.0,42031
42,33,38,38,100.0,42033
42,34,27,27,100.0,42034
42,35,21,21,100.0,42035
42,36,39,39,100.0,42036
42,37,24,24,100.0,42037
42,38,26,26,100.0,42038
42,40,13,13,100.0,42040
42,41,13,13,100.0,42041
42,42,27,27,100.0,42042
42,43,54,54,100.0,42043
42,44,38,38,100.0,42044
42,45,17,17,100.0,42045
42,46,12,12,100.0,42046
42,47,24,24,100.0,42047
42,50,44,44,100.0,42050
42,51,23,23,100.0,42051
42,52,20,20,100.0,42052
42,53,26,26,100.0,42053
42,54,18,18,100.0,42054
42,55,36,36,100.0,42055
42,56,6,6,100.0,42056
42,57,16,16,100.0,42057
42,58,19,19,100.0,42058
42,59,13,13,100.0,42059
42,60,17,17,100.0,42060
42,61,9,9,100.0,42061
42,62,26,26,100.0,42062
42,63,39,39,100.0,42063
42,64,9,9,100.0,42064
42,65,23,23,100.0,42065
42,66,17,17,100.0,42066
43,1,18,18,100.0,43001
43,3,18,18,100.0,43003
43,4,20,20,100.0,43004
43,5,14,14,100.0,43005
43,7,5,5,100.0,43007
43,8,8,8,100.0,43008
43,9,6,6,100.0,43009
43,11,24,24,100.0,43011
43,12,31,31,100.0,43012
43,14,23,23,100.0,43014
43,15,12,12,100.0,43015
43,16,11,11,100.0,43016
43,17,13,13,100.0,43017
43,18,54,54,100.0,43018
43,19,28,28,100.0,43019
43,20,27,27,100.0,43020
43,21,7,7,100.0,43021
43,23,18,18,100.0,43023
43,24,27,27,100.0,43024
43,25,8,8,100.0,43025
43,26,33,33,100.0,43026
43,27,19,19,100.0,43027
43,28,9,9,100.0,43028
43,29,14,14,100.0,43029
43,30,9,9,100.0,43030
43,32,19,19,100.0,43032
43,33,11,11,100.0,43033
43,34,17,17,100.0,43034
43,35,12,12,100.0,43035
43,36,36,36,100.0,43036
43,37,17,17,100.0,43037
43,38,12,12,100.0,43038
43,40,7,7,100.0,43040
43,41,16,16,100.0,43041
43,42,27,27,100.0,43042
43,43,25,25,100.0,43043
43,44,23,23,100.0,43044
43,46,34,34,100.0,43046
43,47,21,21,100.0,43047
43,49,12,12,100.0,43049
43,51,12,12,100.0,43051
43,52,28,28,100.0,43052
43,53,24,24,100.0,43053
43,56,5,5,100.0,43056
43,57,16,16,100.0,43057
43,58,11,11,100.0,43058
43,59,31,31,100.0,43059
