ward,precinct,total,ROBERT M. RAICA,ROBERT M. RAICA Percent,"EMILIO """"EMO"""" CUNDARI","EMILIO """"EMO"""" CUNDARI Percent",JOSEPH A. BATTAGLIA,JOSEPH A. BATTAGLIA Percent,precinct_id
23,1,16,3,18.75,0,0.0,13,81.25,23001
23,2,6,2,33.33,1,16.67,3,50.0,23002
23,3,20,7,35.0,1,5.0,12,60.0,23003
23,4,12,9,75.0,0,0.0,3,25.0,23004
23,5,9,1,11.11,2,22.22,6,66.67,23005
23,6,19,10,52.63,4,21.05,5,26.32,23006
23,7,14,5,35.71,2,14.29,7,50.0,23007
23,8,12,4,33.33,2,16.67,6,50.0,23008
23,9,10,2,20.0,2,20.0,6,60.0,23009
23,10,12,2,16.67,4,33.33,6,50.0,23010
23,11,17,8,47.06,1,5.88,8,47.06,23011
23,12,11,4,36.36,2,18.18,5,45.45,23012
23,13,11,6,54.55,2,18.18,3,27.27,23013
23,14,9,0,0.0,3,33.33,6,66.67,23014
23,15,21,12,57.14,3,14.29,6,28.57,23015
23,16,15,8,53.33,1,6.67,6,40.0,23016
23,17,11,4,36.36,2,18.18,5,45.45,23017
23,18,15,4,26.67,4,26.67,7,46.67,23018
23,19,13,8,61.54,3,23.08,2,15.38,23019
23,20,12,3,25.0,4,33.33,5,41.67,23020
23,21,21,5,23.81,1,4.76,15,71.43,23021
23,22,13,8,61.54,3,23.08,2,15.38,23022
23,23,16,8,50.0,2,12.5,6,37.5,23023
23,24,10,6,60.0,1,10.0,3,30.0,23024
23,25,4,3,75.0,0,0.0,1,25.0,23025
23,26,14,4,28.57,1,7.14,9,64.29,23026
23,27,21,10,47.62,1,4.76,10,47.62,23027
23,28,18,3,16.67,8,44.44,7,38.89,23028
23,29,6,3,50.0,0,0.0,3,50.0,23029
23,30,11,5,45.45,3,27.27,3,27.27,23030
23,31,14,6,42.86,6,42.86,2,14.29,23031
23,32,10,4,40.0,0,0.0,6,60.0,23032
23,33,17,10,58.82,1,5.88,6,35.29,23033
23,34,15,1,6.67,1,6.67,13,86.67,23034
23,35,0,0,0.0,0,0.0,0,0.0,23035
23,36,18,4,22.22,3,16.67,11,61.11,23036
23,37,4,1,25.0,1,25.0,2,50.0,23037
23,38,2,2,100.0,0,0.0,0,0.0,23038
23,39,12,1,8.33,5,41.67,6,50.0,23039
23,40,22,7,31.82,2,9.09,13,59.09,23040
23,41,10,4,40.0,2,20.0,4,40.0,23041
23,42,4,1,25.0,0,0.0,3,75.0,23042
23,43,10,3,30.0,1,10.0,6,60.0,23043
23,44,20,5,25.0,1,5.0,14,70.0,23044
23,45,17,8,47.06,1,5.88,8,47.06,23045
23,46,13,4,30.77,1,7.69,8,61.54,23046
23,47,20,7,35.0,3,15.0,10,50.0,23047
23,48,11,2,18.18,2,18.18,7,63.64,23048
23,49,13,5,38.46,0,0.0,8,61.54,23049
23,50,9,3,33.33,0,0.0,6,66.67,23050
23,51,9,3,33.33,2,22.22,4,44.44,23051
23,52,12,5,41.67,2,16.67,5,41.67,23052
23,53,8,2,25.0,2,25.0,4,50.0,23053
23,54,9,7,77.78,1,11.11,1,11.11,23054
23,55,13,4,30.77,0,0.0,9,69.23,23055
23,56,13,4,30.77,1,7.69,8,61.54,23056
23,57,23,3,13.04,2,8.7,18,78.26,23057
23,58,14,3,21.43,1,7.14,10,71.43,23058
23,59,9,4,44.44,0,0.0,5,55.56,23059
23,60,6,4,66.67,0,0.0,2,33.33,23060
23,61,19,4,21.05,8,42.11,7,36.84,23061
23,62,13,2,15.38,8,61.54,3,23.08,23062
