ward,precinct,total,THOMAS C. STROM,THOMAS C. STROM Percent,JAMES GUTIERREZ,JAMES GUTIERREZ Percent,THOMAS M. MALESH,THOMAS M. MALESH Percent,precinct_id
10,1,5,1,20.0,4,80.0,0,0.0,10001
10,2,15,4,26.67,2,13.33,9,60.0,10002
10,3,17,9,52.94,2,11.76,6,35.29,10003
10,4,3,0,0.0,3,100.0,0,0.0,10004
10,5,12,4,33.33,4,33.33,4,33.33,10005
10,6,1,1,100.0,0,0.0,0,0.0,10006
10,7,2,0,0.0,1,50.0,1,50.0,10007
10,8,0,0,0.0,0,0.0,0,0.0,10008
10,9,14,6,42.86,2,14.29,6,42.86,10009
10,10,2,0,0.0,1,50.0,1,50.0,10010
10,11,28,12,42.86,2,7.14,14,50.0,10011
10,12,22,8,36.36,9,40.91,5,22.73,10012
10,13,14,1,7.14,2,14.29,11,78.57,10013
10,14,1,0,0.0,1,100.0,0,0.0,10014
10,15,3,1,33.33,2,66.67,0,0.0,10015
10,16,10,3,30.0,3,30.0,4,40.0,10016
10,17,4,0,0.0,2,50.0,2,50.0,10017
10,18,5,1,20.0,4,80.0,0,0.0,10018
10,19,37,16,43.24,2,5.41,19,51.35,10019
10,20,41,11,26.83,9,21.95,21,51.22,10020
10,21,11,7,63.64,2,18.18,2,18.18,10021
10,22,6,3,50.0,0,0.0,3,50.0,10022
10,23,7,0,0.0,6,85.71,1,14.29,10023
10,24,17,7,41.18,3,17.65,7,41.18,10024
10,25,10,2,20.0,7,70.0,1,10.0,10025
10,26,18,3,16.67,10,55.56,5,27.78,10026
10,27,24,12,50.0,2,8.33,10,41.67,10027
10,28,6,3,50.0,2,33.33,1,16.67,10028
10,29,3,1,33.33,2,66.67,0,0.0,10029
10,30,3,0,0.0,2,66.67,1,33.33,10030
10,31,16,3,18.75,7,43.75,6,37.5,10031
10,32,28,7,25.0,8,28.57,13,46.43,10032
10,33,17,2,11.76,5,29.41,10,58.82,10033
10,34,10,4,40.0,4,40.0,2,20.0,10034
10,35,13,6,46.15,2,15.38,5,38.46,10035
10,36,2,1,50.0,1,50.0,0,0.0,10036
10,37,4,1,25.0,2,50.0,1,25.0,10037
10,38,31,10,32.26,3,9.68,18,58.06,10038
10,39,12,6,50.0,1,8.33,5,41.67,10039
10,40,5,1,20.0,3,60.0,1,20.0,10040
10,41,54,26,48.15,5,9.26,23,42.59,10041
10,42,17,7,41.18,4,23.53,6,35.29,10042
10,43,1,0,0.0,1,100.0,0,0.0,10043
10,44,7,2,28.57,1,14.29,4,57.14,10044
10,45,13,2,15.38,8,61.54,3,23.08,10045
10,46,10,5,50.0,2,20.0,3,30.0,10046
