ward,precinct,total,TERRENCE F. GOGGIN,TERRENCE F. GOGGIN Percent,precinct_id
13,1,13,13,100.0,13001
13,2,9,9,100.0,13002
13,3,8,8,100.0,13003
13,4,4,4,100.0,13004
13,5,2,2,100.0,13005
13,6,7,7,100.0,13006
13,7,7,7,100.0,13007
13,8,14,14,100.0,13008
13,9,10,10,100.0,13009
13,10,9,9,100.0,13010
13,12,7,7,100.0,13012
13,14,5,5,100.0,13014
13,15,8,8,100.0,13015
13,16,9,9,100.0,13016
13,21,5,5,100.0,13021
13,22,6,6,100.0,13022
13,23,8,8,100.0,13023
13,24,11,11,100.0,13024
13,25,10,10,100.0,13025
13,27,11,11,100.0,13027
13,28,4,4,100.0,13028
13,29,8,8,100.0,13029
13,32,6,6,100.0,13032
13,33,5,5,100.0,13033
13,34,3,3,100.0,13034
13,35,6,6,100.0,13035
13,36,5,5,100.0,13036
13,37,2,2,100.0,13037
13,38,2,2,100.0,13038
13,39,5,5,100.0,13039
13,42,7,7,100.0,13042
13,46,7,7,100.0,13046
13,47,8,8,100.0,13047
13,48,3,3,100.0,13048
13,49,6,6,100.0,13049
13,51,13,13,100.0,13051
13,52,6,6,100.0,13052
13,53,8,8,100.0,13053
13,54,3,3,100.0,13054
13,56,12,12,100.0,13056
13,57,13,13,100.0,13057
13,58,3,3,100.0,13058
13,59,6,6,100.0,13059
13,61,7,7,100.0,13061
13,62,4,4,100.0,13062
13,63,7,7,100.0,13063
23,2,2,2,100.0,23002
23,4,5,5,100.0,23004
23,6,14,14,100.0,23006
23,8,13,13,100.0,23008
23,10,7,7,100.0,23010
23,14,10,10,100.0,23014
23,19,14,14,100.0,23019
23,20,13,13,100.0,23020
23,21,17,17,100.0,23021
23,28,19,19,100.0,23028
23,30,11,11,100.0,23030
23,31,11,11,100.0,23031
23,33,14,14,100.0,23033
23,34,14,14,100.0,23034
23,38,1,1,100.0,23038
23,39,8,8,100.0,23039
23,41,7,7,100.0,23041
23,42,2,2,100.0,23042
23,44,12,12,100.0,23044
23,45,11,11,100.0,23045
23,48,6,6,100.0,23048
23,54,7,7,100.0,23054
23,55,10,10,100.0,23055
23,56,10,10,100.0,23056
23,57,15,15,100.0,23057
23,61,12,12,100.0,23061
23,62,13,13,100.0,23062
