ward,precinct,total,KARL GROTH,KARL GROTH Percent,RAMIRO GONZALEZ,RAMIRO GONZALEZ Percent,precinct_id
13,1,11,9,81.82,2,18.18,13001
13,2,13,10,76.92,3,23.08,13002
13,3,11,10,90.91,1,9.09,13003
13,4,4,4,100.0,0,0.0,13004
13,5,4,4,100.0,0,0.0,13005
13,6,8,5,62.5,3,37.5,13006
13,7,6,5,83.33,1,16.67,13007
13,8,16,14,87.5,2,12.5,13008
13,9,10,9,90.0,1,10.0,13009
13,10,12,11,91.67,1,8.33,13010
13,11,10,6,60.0,4,40.0,13011
13,12,7,4,57.14,3,42.86,13012
13,13,2,2,100.0,0,0.0,13013
13,14,7,5,71.43,2,28.57,13014
13,15,10,6,60.0,4,40.0,13015
13,16,11,5,45.45,6,54.55,13016
13,17,2,1,50.0,1,50.0,13017
13,18,5,5,100.0,0,0.0,13018
13,19,13,8,61.54,5,38.46,13019
13,20,11,10,90.91,1,9.09,13020
13,21,6,6,100.0,0,0.0,13021
13,22,6,5,83.33,1,16.67,13022
13,23,8,6,75.0,2,25.0,13023
13,24,11,9,81.82,2,18.18,13024
13,25,9,7,77.78,2,22.22,13025
13,26,7,4,57.14,3,42.86,13026
13,27,12,9,75.0,3,25.0,13027
13,28,6,5,83.33,1,16.67,13028
13,29,12,7,58.33,5,41.67,13029
13,30,3,2,66.67,1,33.33,13030
13,31,9,4,44.44,5,55.56,13031
13,32,11,7,63.64,4,36.36,13032
13,33,8,4,50.0,4,50.0,13033
13,34,4,4,100.0,0,0.0,13034
13,35,8,5,62.5,3,37.5,13035
13,36,6,4,66.67,2,33.33,13036
13,37,2,1,50.0,1,50.0,13037
13,38,4,3,75.0,1,25.0,13038
13,39,10,8,80.0,2,20.0,13039
13,40,4,3,75.0,1,25.0,13040
13,41,2,2,100.0,0,0.0,13041
13,42,5,2,40.0,3,60.0,13042
13,43,4,3,75.0,1,25.0,13043
13,44,12,3,25.0,9,75.0,13044
13,45,8,5,62.5,3,37.5,13045
13,46,6,4,66.67,2,33.33,13046
13,47,6,5,83.33,1,16.67,13047
13,48,3,3,100.0,0,0.0,13048
13,49,4,3,75.0,1,25.0,13049
13,50,7,4,57.14,3,42.86,13050
13,51,13,9,69.23,4,30.77,13051
13,52,9,6,66.67,3,33.33,13052
13,53,9,8,88.89,1,11.11,13053
13,54,5,3,60.0,2,40.0,13054
13,55,7,3,42.86,4,57.14,13055
13,56,12,10,83.33,2,16.67,13056
13,57,16,11,68.75,5,31.25,13057
13,58,2,2,100.0,0,0.0,13058
13,59,7,6,85.71,1,14.29,13059
