ward,precinct,total,CHARLOTTE A. MONTILLA,CHARLOTTE A. MONTILLA Percent,LOUIS TENUTA,LOUIS TENUTA Percent,WILLIS A. HALL,WILLIS A. HALL Percent,CHRISTINA L. PEREZ,CHRISTINA L. PEREZ Percent,precinct_id
29,1,1,1,100.0,0,0.0,0,0.0,0,0.0,29001
29,2,8,3,37.5,1,12.5,1,12.5,3,37.5,29002
29,3,0,0,0.0,0,0.0,0,0.0,0,0.0,29003
29,4,0,0,0.0,0,0.0,0,0.0,0,0.0,29004
29,5,1,1,100.0,0,0.0,0,0.0,0,0.0,29005
29,6,27,1,3.7,23,85.19,0,0.0,3,11.11,29006
29,7,17,3,17.65,12,70.59,0,0.0,2,11.76,29007
29,8,1,0,0.0,0,0.0,0,0.0,1,100.0,29008
29,9,15,3,20.0,10,66.67,1,6.67,1,6.67,29009
29,10,0,0,0.0,0,0.0,0,0.0,0,0.0,29010
29,11,1,0,0.0,0,0.0,0,0.0,1,100.0,29011
29,12,4,2,50.0,0,0.0,0,0.0,2,50.0,29012
29,13,2,0,0.0,2,100.0,0,0.0,0,0.0,29013
29,14,4,1,25.0,0,0.0,2,50.0,1,25.0,29014
29,15,0,0,0.0,0,0.0,0,0.0,0,0.0,29015
29,16,0,0,0.0,0,0.0,0,0.0,0,0.0,29016
29,17,4,2,50.0,2,50.0,0,0.0,0,0.0,29017
29,18,0,0,0.0,0,0.0,0,0.0,0,0.0,29018
29,19,1,0,0.0,0,0.0,1,100.0,0,0.0,29019
29,20,0,0,0.0,0,0.0,0,0.0,0,0.0,29020
29,21,4,0,0.0,4,100.0,0,0.0,0,0.0,29021
29,22,20,12,60.0,3,15.0,0,0.0,5,25.0,29022
29,23,0,0,0.0,0,0.0,0,0.0,0,0.0,29023
29,24,1,0,0.0,1,100.0,0,0.0,0,0.0,29024
29,25,1,0,0.0,0,0.0,0,0.0,1,100.0,29025
29,26,1,0,0.0,0,0.0,1,100.0,0,0.0,29026
29,27,3,1,33.33,2,66.67,0,0.0,0,0.0,29027
29,28,3,2,66.67,0,0.0,1,33.33,0,0.0,29028
29,29,4,2,50.0,0,0.0,1,25.0,1,25.0,29029
29,30,2,0,0.0,1,50.0,0,0.0,1,50.0,29030
29,31,2,0,0.0,1,50.0,0,0.0,1,50.0,29031
29,32,1,0,0.0,0,0.0,0,0.0,1,100.0,29032
29,33,2,0,0.0,1,50.0,0,0.0,1,50.0,29033
29,34,22,14,63.64,1,4.55,0,0.0,7,31.82,29034
29,35,0,0,0.0,0,0.0,0,0.0,0,0.0,29035
29,36,0,0,0.0,0,0.0,0,0.0,0,0.0,29036
29,37,2,0,0.0,1,50.0,1,50.0,0,0.0,29037
29,38,2,1,50.0,1,50.0,0,0.0,0,0.0,29038
29,39,6,2,33.33,2,33.33,1,16.67,1,16.67,29039
29,40,1,0,0.0,0,0.0,1,100.0,0,0.0,29040
29,41,2,0,0.0,2,100.0,0,0.0,0,0.0,29041
29,42,0,0,0.0,0,0.0,0,0.0,0,0.0,29042
29,43,1,1,100.0,0,0.0,0,0.0,0,0.0,29043
29,44,3,1,33.33,0,0.0,1,33.33,1,33.33,29044
29,45,1,0,0.0,0,0.0,0,0.0,1,100.0,29045
29,46,0,0,0.0,0,0.0,0,0.0,0,0.0,29046
29,47,4,2,50.0,0,0.0,1,25.0,1,25.0,29047
29,48,0,0,0.0,0,0.0,0,0.0,0,0.0,29048
29,49,0,0,0.0,0,0.0,0,0.0,0,0.0,29049
29,50,2,0,0.0,0,0.0,1,50.0,1,50.0,29050
29,51,5,0,0.0,2,40.0,0,0.0,3,60.0,29051
29,52,9,1,11.11,7,77.78,0,0.0,1,11.11,29052
29,53,12,5,41.67,2,16.67,1,8.33,4,33.33,29053
29,54,6,3,50.0,1,16.67,1,16.67,1,16.67,29054
29,55,0,0,0.0,0,0.0,0,0.0,0,0.0,29055
29,56,2,0,0.0,2,100.0,0,0.0,0,0.0,29056
