ward,precinct,total,"ERMA """"JEAN"""" KOHN","ERMA """"JEAN"""" KOHN Percent",PAUL BLAKE,PAUL BLAKE Percent,ALFRED L. PORTIS,ALFRED L. PORTIS Percent,AARON GOLDEN,AARON GOLDEN Percent,WILLIE POTTS,WILLIE POTTS Percent,precinct_id
37,1,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,37001
37,2,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,37002
37,3,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,37003
37,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37004
37,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37005
37,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37006
37,7,2,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,37007
37,8,3,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,37008
37,9,3,2,66.67,0,0.0,0,0.0,0,0.0,1,33.33,37009
37,10,3,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,37010
37,11,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,37011
37,12,3,0,0.0,2,66.67,0,0.0,1,33.33,0,0.0,37012
37,13,5,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,37013
37,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37014
37,15,3,1,33.33,0,0.0,1,33.33,1,33.33,0,0.0,37015
37,16,6,2,33.33,4,66.67,0,0.0,0,0.0,0,0.0,37016
37,17,3,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,37017
37,18,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,37018
37,19,6,2,33.33,1,16.67,0,0.0,3,50.0,0,0.0,37019
37,20,5,1,20.0,0,0.0,4,80.0,0,0.0,0,0.0,37020
37,21,2,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,37021
37,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37022
37,23,2,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,37023
37,24,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,37024
37,25,2,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,37025
37,26,4,2,50.0,0,0.0,1,25.0,1,25.0,0,0.0,37026
37,27,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,37027
37,28,3,0,0.0,2,66.67,0,0.0,1,33.33,0,0.0,37028
37,29,2,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,37029
37,30,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,37030
37,31,4,2,50.0,1,25.0,0,0.0,1,25.0,0,0.0,37031
37,32,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,37032
37,33,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,37033
37,34,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,37034
37,35,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,37035
37,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37036
37,37,3,0,0.0,2,66.67,0,0.0,0,0.0,1,33.33,37037
37,38,2,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,37038
37,39,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,37039
37,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37040
37,41,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,37041
37,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37042
37,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37043
37,44,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,37044
37,45,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37045
37,46,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,37046
37,47,3,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,37047
37,48,3,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,37048
37,49,4,3,75.0,1,25.0,0,0.0,0,0.0,0,0.0,37049
37,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37050
