ward,precinct,total,JAMES R. THOMPSON (BUSH),JAMES R. THOMPSON (BUSH) Percent,"ANGELO """"SKIP"""" SAVIANO (BUSH)","ANGELO """"SKIP"""" SAVIANO (BUSH) Percent",PETER D. ROGAKOS (UNCOMM),PETER D. ROGAKOS (UNCOMM) Percent,GUS GRAMAS (UNCOMM),GUS GRAMAS (UNCOMM) Percent,JACK J. MCINERNEY (KEYES),JACK J. MCINERNEY (KEYES) Percent,ALAN SPITZ (KEYES),ALAN SPITZ (KEYES) Percent,WILLIAM DAMMEIER (FORBES),WILLIAM DAMMEIER (FORBES) Percent,ERIC WIEMERS (FORBES),ERIC WIEMERS (FORBES) Percent,JOHN G. FOGARTY (McCAIN),JOHN G. FOGARTY (McCAIN) Percent,WESLEY R. FOWLER (McCAIN),WESLEY R. FOWLER (McCAIN) Percent,precinct_id
26,30,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,100.0,26030
29,2,5,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,29002
29,6,34,7,20.59,9,26.47,0,0.0,1,2.94,3,8.82,2,5.88,0,0.0,0,0.0,3,8.82,9,26.47,29006
29,53,16,6,37.5,4,25.0,1,6.25,0,0.0,1,6.25,2,12.5,0,0.0,0,0.0,1,6.25,1,6.25,29053
29,54,11,4,36.36,4,36.36,0,0.0,0,0.0,1,9.09,1,9.09,0,0.0,0,0.0,1,9.09,0,0.0,29054
30,1,37,14,37.84,8,21.62,0,0.0,0,0.0,5,13.51,3,8.11,2,5.41,1,2.7,2,5.41,2,5.41,30001
30,2,35,14,40.0,12,34.29,1,2.86,2,5.71,1,2.86,3,8.57,0,0.0,1,2.86,1,2.86,0,0.0,30002
30,3,31,15,48.39,12,38.71,1,3.23,1,3.23,1,3.23,0,0.0,0,0.0,0,0.0,1,3.23,0,0.0,30003
30,4,23,9,39.13,7,30.43,1,4.35,1,4.35,2,8.7,1,4.35,0,0.0,0,0.0,1,4.35,1,4.35,30004
30,5,17,7,41.18,5,29.41,0,0.0,0,0.0,1,5.88,0,0.0,0,0.0,0,0.0,3,17.65,1,5.88,30005
30,6,12,6,50.0,5,41.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,30006
30,7,22,8,36.36,5,22.73,0,0.0,0,0.0,2,9.09,4,18.18,0,0.0,0,0.0,2,9.09,1,4.55,30007
30,8,31,15,48.39,10,32.26,0,0.0,1,3.23,0,0.0,1,3.23,0,0.0,0,0.0,2,6.45,2,6.45,30008
30,9,33,10,30.3,6,18.18,2,6.06,0,0.0,3,9.09,2,6.06,0,0.0,0,0.0,6,18.18,4,12.12,30009
30,10,17,7,41.18,5,29.41,0,0.0,0,0.0,0,0.0,0,0.0,1,5.88,0,0.0,2,11.76,2,11.76,30010
30,11,13,5,38.46,6,46.15,0,0.0,0,0.0,0,0.0,1,7.69,0,0.0,0,0.0,1,7.69,0,0.0,30011
30,12,46,18,39.13,12,26.09,0,0.0,1,2.17,3,6.52,2,4.35,1,2.17,1,2.17,4,8.7,4,8.7,30012
30,13,13,5,38.46,4,30.77,0,0.0,0,0.0,1,7.69,1,7.69,0,0.0,0,0.0,1,7.69,1,7.69,30013
