ward,precinct,total,ART MAINA,ART MAINA Percent,ROMAN S. TAPKOWSKI,ROMAN S. TAPKOWSKI Percent,precinct_id
45,1,12,6,50.0,6,50.0,45001
45,2,12,3,25.0,9,75.0,45002
45,3,10,2,20.0,8,80.0,45003
45,4,33,13,39.39,20,60.61,45004
45,5,11,2,18.18,9,81.82,45005
45,6,7,3,42.86,4,57.14,45006
45,7,17,8,47.06,9,52.94,45007
45,8,16,5,31.25,11,68.75,45008
45,9,16,3,18.75,13,81.25,45009
45,10,22,5,22.73,17,77.27,45010
45,11,21,9,42.86,12,57.14,45011
45,12,19,11,57.89,8,42.11,45012
45,13,25,9,36.0,16,64.0,45013
45,14,12,6,50.0,6,50.0,45014
45,15,25,9,36.0,16,64.0,45015
45,16,13,7,53.85,6,46.15,45016
45,17,19,4,21.05,15,78.95,45017
45,18,10,4,40.0,6,60.0,45018
45,19,16,4,25.0,12,75.0,45019
45,20,20,5,25.0,15,75.0,45020
45,21,19,6,31.58,13,68.42,45021
45,22,19,7,36.84,12,63.16,45022
45,23,19,1,5.26,18,94.74,45023
45,24,33,15,45.45,18,54.55,45024
45,25,12,6,50.0,6,50.0,45025
45,26,12,6,50.0,6,50.0,45026
45,27,18,5,27.78,13,72.22,45027
45,28,12,4,33.33,8,66.67,45028
45,29,19,7,36.84,12,63.16,45029
45,30,27,11,40.74,16,59.26,45030
45,31,11,2,18.18,9,81.82,45031
45,32,25,8,32.0,17,68.0,45032
45,33,34,14,41.18,20,58.82,45033
45,34,13,2,15.38,11,84.62,45034
45,35,19,5,26.32,14,73.68,45035
45,36,17,6,35.29,11,64.71,45036
45,37,13,4,30.77,9,69.23,45037
45,38,17,6,35.29,11,64.71,45038
45,39,26,14,53.85,12,46.15,45039
45,40,10,6,60.0,4,40.0,45040
45,41,15,2,13.33,13,86.67,45041
45,42,16,4,25.0,12,75.0,45042
45,43,20,12,60.0,8,40.0,45043
45,44,13,2,15.38,11,84.62,45044
45,45,25,10,40.0,15,60.0,45045
45,46,10,2,20.0,8,80.0,45046
45,47,23,8,34.78,15,65.22,45047
45,48,14,6,42.86,8,57.14,45048
45,49,23,5,21.74,18,78.26,45049
45,50,20,10,50.0,10,50.0,45050
45,51,17,7,41.18,10,58.82,45051
45,52,25,6,24.0,19,76.0,45052
45,53,13,2,15.38,11,84.62,45053
45,54,30,6,20.0,24,80.0,45054
45,55,29,9,31.03,20,68.97,45055
45,56,16,8,50.0,8,50.0,45056
45,57,22,8,36.36,14,63.64,45057
45,58,8,1,12.5,7,87.5,45058
