ward,precinct,total,BABETTE PEYTON,BABETTE PEYTON Percent,precinct_id
4,1,1,1,100.0,04001
4,2,1,1,100.0,04002
4,3,2,2,100.0,04003
4,4,0,0,0.0,04004
4,5,0,0,0.0,04005
4,6,0,0,0.0,04006
4,7,1,1,100.0,04007
4,8,2,2,100.0,04008
4,9,1,1,100.0,04009
4,10,1,1,100.0,04010
4,11,4,4,100.0,04011
4,12,1,1,100.0,04012
4,13,2,2,100.0,04013
4,14,0,0,0.0,04014
4,15,2,2,100.0,04015
4,16,2,2,100.0,04016
4,17,12,12,100.0,04017
4,18,6,6,100.0,04018
4,19,1,1,100.0,04019
4,20,0,0,0.0,04020
4,21,2,2,100.0,04021
4,22,3,3,100.0,04022
4,23,0,0,0.0,04023
4,24,0,0,0.0,04024
4,25,0,0,0.0,04025
4,26,0,0,0.0,04026
4,27,2,2,100.0,04027
4,28,3,3,100.0,04028
4,29,4,4,100.0,04029
4,30,2,2,100.0,04030
4,31,1,1,100.0,04031
4,32,4,4,100.0,04032
4,33,1,1,100.0,04033
4,34,2,2,100.0,04034
4,35,0,0,0.0,04035
4,36,0,0,0.0,04036
4,37,1,1,100.0,04037
4,38,2,2,100.0,04038
4,39,1,1,100.0,04039
4,40,1,1,100.0,04040
4,41,0,0,0.0,04041
4,42,0,0,0.0,04042
4,43,1,1,100.0,04043
4,44,0,0,0.0,04044
4,45,4,4,100.0,04045
4,46,1,1,100.0,04046
4,47,8,8,100.0,04047
4,48,9,9,100.0,04048
4,49,0,0,0.0,04049
4,50,3,3,100.0,04050
4,51,3,3,100.0,04051
4,52,1,1,100.0,04052
4,53,0,0,0.0,04053
4,54,1,1,100.0,04054
4,55,3,3,100.0,04055
