ward,precinct,total,CHARLES A. WILSON,CHARLES A. WILSON Percent,BRANDEE A. McMASTERS,BRANDEE A. McMASTERS Percent,precinct_id
16,1,4,3,75.0,1,25.0,16001
16,2,0,0,0.0,0,0.0,16002
16,3,2,1,50.0,1,50.0,16003
16,4,0,0,0.0,0,0.0,16004
16,5,6,0,0.0,6,100.0,16005
16,6,0,0,0.0,0,0.0,16006
16,7,5,0,0.0,5,100.0,16007
16,8,3,2,66.67,1,33.33,16008
16,9,7,6,85.71,1,14.29,16009
16,10,12,11,91.67,1,8.33,16010
16,11,3,1,33.33,2,66.67,16011
16,12,1,0,0.0,1,100.0,16012
16,13,7,2,28.57,5,71.43,16013
16,14,0,0,0.0,0,0.0,16014
16,15,3,2,66.67,1,33.33,16015
16,16,1,1,100.0,0,0.0,16016
16,17,0,0,0.0,0,0.0,16017
16,18,0,0,0.0,0,0.0,16018
16,19,2,1,50.0,1,50.0,16019
16,20,1,0,0.0,1,100.0,16020
16,21,5,2,40.0,3,60.0,16021
16,22,2,1,50.0,1,50.0,16022
16,23,10,5,50.0,5,50.0,16023
16,24,1,0,0.0,1,100.0,16024
16,25,0,0,0.0,0,0.0,16025
16,26,1,1,100.0,0,0.0,16026
16,27,5,5,100.0,0,0.0,16027
16,28,0,0,0.0,0,0.0,16028
16,29,2,0,0.0,2,100.0,16029
16,30,4,0,0.0,4,100.0,16030
16,31,0,0,0.0,0,0.0,16031
16,32,3,1,33.33,2,66.67,16032
16,33,2,2,100.0,0,0.0,16033
16,34,1,0,0.0,1,100.0,16034
16,35,1,1,100.0,0,0.0,16035
16,36,0,0,0.0,0,0.0,16036
16,37,1,1,100.0,0,0.0,16037
16,38,2,2,100.0,0,0.0,16038
16,39,2,0,0.0,2,100.0,16039
16,40,1,0,0.0,1,100.0,16040
16,41,3,3,100.0,0,0.0,16041
16,42,7,4,57.14,3,42.86,16042
