ward,precinct,total,WILLIAM O. STEWART,WILLIAM O. STEWART Percent,DWAYNE A. BRABOY,DWAYNE A. BRABOY Percent,precinct_id
3,1,2,2,100.0,0,0.0,03001
3,2,0,0,0.0,0,0.0,03002
3,3,2,2,100.0,0,0.0,03003
3,4,0,0,0.0,0,0.0,03004
3,5,0,0,0.0,0,0.0,03005
3,6,1,1,100.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,03007
3,8,1,1,100.0,0,0.0,03008
3,9,4,1,25.0,3,75.0,03009
3,10,1,1,100.0,0,0.0,03010
3,11,2,2,100.0,0,0.0,03011
3,12,4,2,50.0,2,50.0,03012
3,13,0,0,0.0,0,0.0,03013
3,14,0,0,0.0,0,0.0,03014
3,15,0,0,0.0,0,0.0,03015
3,16,1,1,100.0,0,0.0,03016
3,17,1,1,100.0,0,0.0,03017
3,18,1,1,100.0,0,0.0,03018
3,19,0,0,0.0,0,0.0,03019
3,20,1,0,0.0,1,100.0,03020
3,21,1,1,100.0,0,0.0,03021
3,22,1,1,100.0,0,0.0,03022
3,23,1,1,100.0,0,0.0,03023
3,24,3,3,100.0,0,0.0,03024
3,25,1,1,100.0,0,0.0,03025
3,26,8,8,100.0,0,0.0,03026
3,27,0,0,0.0,0,0.0,03027
3,28,0,0,0.0,0,0.0,03028
3,29,0,0,0.0,0,0.0,03029
3,30,1,1,100.0,0,0.0,03030
3,31,0,0,0.0,0,0.0,03031
3,32,3,2,66.67,1,33.33,03032
3,33,2,1,50.0,1,50.0,03033
3,34,1,0,0.0,1,100.0,03034
3,35,3,1,33.33,2,66.67,03035
3,36,2,2,100.0,0,0.0,03036
3,37,1,1,100.0,0,0.0,03037
3,38,3,3,100.0,0,0.0,03038
3,39,4,4,100.0,0,0.0,03039
3,40,4,2,50.0,2,50.0,03040
3,41,1,0,0.0,1,100.0,03041
3,42,1,1,100.0,0,0.0,03042
3,43,0,0,0.0,0,0.0,03043
3,44,0,0,0.0,0,0.0,03044
3,45,1,0,0.0,1,100.0,03045
3,46,0,0,0.0,0,0.0,03046
3,47,4,2,50.0,2,50.0,03047
3,48,1,1,100.0,0,0.0,03048
3,49,2,2,100.0,0,0.0,03049
3,50,1,0,0.0,1,100.0,03050
3,51,7,6,85.71,1,14.29,03051
3,52,1,1,100.0,0,0.0,03052
