ward,precinct,total,CHRISTINE RADOGNO,CHRISTINE RADOGNO Percent,precinct_id
23,1,12,12,100.0,23001
23,3,17,17,100.0,23003
23,11,12,12,100.0,23011
23,12,11,11,100.0,23012
23,13,12,12,100.0,23013
23,15,14,14,100.0,23015
23,16,12,12,100.0,23016
23,17,8,8,100.0,23017
23,18,15,15,100.0,23018
23,26,9,9,100.0,23026
23,27,16,16,100.0,23027
23,36,11,11,100.0,23036
23,40,16,16,100.0,23040
23,42,0,0,0.0,23042
23,43,8,8,100.0,23043
23,46,8,8,100.0,23046
23,47,15,15,100.0,23047
23,52,11,11,100.0,23052
23,58,10,10,100.0,23058
23,60,4,4,100.0,23060
