ward,precinct,total,MICHAEL DEROSS,MICHAEL DEROSS Percent,precinct_id
14,1,10,10,100.0,14001
14,2,5,5,100.0,14002
14,3,6,6,100.0,14003
14,4,9,9,100.0,14004
14,5,3,3,100.0,14005
14,6,6,6,100.0,14006
14,7,8,8,100.0,14007
14,8,6,6,100.0,14008
14,9,5,5,100.0,14009
14,10,0,0,0.0,14010
14,11,8,8,100.0,14011
14,12,10,10,100.0,14012
14,13,9,9,100.0,14013
14,14,5,5,100.0,14014
14,15,4,4,100.0,14015
14,16,10,10,100.0,14016
14,17,1,1,100.0,14017
14,18,2,2,100.0,14018
14,19,5,5,100.0,14019
14,20,11,11,100.0,14020
14,21,4,4,100.0,14021
14,22,4,4,100.0,14022
14,23,0,0,0.0,14023
14,24,3,3,100.0,14024
14,25,9,9,100.0,14025
14,26,3,3,100.0,14026
14,27,10,10,100.0,14027
14,28,9,9,100.0,14028
14,29,7,7,100.0,14029
14,30,14,14,100.0,14030
14,31,7,7,100.0,14031
14,32,6,6,100.0,14032
14,33,3,3,100.0,14033
14,34,1,1,100.0,14034
14,35,7,7,100.0,14035
14,36,5,5,100.0,14036
14,37,7,7,100.0,14037
14,38,4,4,100.0,14038
14,39,18,18,100.0,14039
14,40,3,3,100.0,14040
14,41,2,2,100.0,14041
14,42,4,4,100.0,14042
14,43,9,9,100.0,14043
14,44,7,7,100.0,14044
14,45,4,4,100.0,14045
14,46,9,9,100.0,14046
14,47,4,4,100.0,14047
14,48,2,2,100.0,14048
