ward,precinct,total,"GERALD C. """"JERRY"""" WELLER","GERALD C. """"JERRY"""" WELLER Percent",precinct_id
10,2,12,12,100.0,10002
10,3,17,17,100.0,10003
10,5,10,10,100.0,10005
10,8,0,0,0.0,10008
10,9,15,15,100.0,10009
10,11,25,25,100.0,10011
10,12,17,17,100.0,10012
10,13,16,16,100.0,10013
10,15,5,5,100.0,10015
10,16,8,8,100.0,10016
10,17,5,5,100.0,10017
10,19,27,27,100.0,10019
10,20,32,32,100.0,10020
10,21,10,10,100.0,10021
10,22,6,6,100.0,10022
10,23,6,6,100.0,10023
10,24,18,18,100.0,10024
10,26,17,17,100.0,10026
10,27,19,19,100.0,10027
10,30,4,4,100.0,10030
10,31,16,16,100.0,10031
10,32,24,24,100.0,10032
10,33,10,10,100.0,10033
10,34,8,8,100.0,10034
10,35,13,13,100.0,10035
10,38,23,23,100.0,10038
10,39,13,13,100.0,10039
10,41,48,48,100.0,10041
10,42,13,13,100.0,10042
10,44,4,4,100.0,10044
10,45,12,12,100.0,10045
10,46,9,9,100.0,10046
