ward,precinct,total,WALTER DUDYCZ (BUSH),WALTER DUDYCZ (BUSH) Percent,LYNN MARTIN (BUSH),LYNN MARTIN (BUSH) Percent,SUSAN E. STOESSEL (UNCOMM),SUSAN E. STOESSEL (UNCOMM) Percent,JAN ZYLKOWSKI (KEYES),JAN ZYLKOWSKI (KEYES) Percent,APRIL CARTER (KEYES),APRIL CARTER (KEYES) Percent,JOSEPH A. MORRIS (FORBES),JOSEPH A. MORRIS (FORBES) Percent,"ROBERT """"BOB"""" COSTELLO (FORBES)","ROBERT """"BOB"""" COSTELLO (FORBES) Percent",ROBERT S. ATKINS (McCAIN),ROBERT S. ATKINS (McCAIN) Percent,LEONARD R. REINEBACH (McCAIN),LEONARD R. REINEBACH (McCAIN) Percent,precinct_id
39,1,31,11,35.48,9,29.03,2,6.45,0,0.0,0,0.0,1,3.23,0,0.0,3,9.68,5,16.13,39001
39,3,51,22,43.14,17,33.33,0,0.0,3,5.88,1,1.96,1,1.96,2,3.92,3,5.88,2,3.92,39003
39,15,17,5,29.41,5,29.41,0,0.0,3,17.65,3,17.65,0,0.0,0,0.0,1,5.88,0,0.0,39015
39,20,53,15,28.3,14,26.42,1,1.89,4,7.55,5,9.43,0,0.0,0,0.0,8,15.09,6,11.32,39020
39,23,36,14,38.89,11,30.56,2,5.56,2,5.56,1,2.78,0,0.0,0,0.0,3,8.33,3,8.33,39023
39,26,31,10,32.26,12,38.71,2,6.45,0,0.0,2,6.45,0,0.0,1,3.23,2,6.45,2,6.45,39026
39,28,47,20,42.55,17,36.17,0,0.0,3,6.38,3,6.38,1,2.13,1,2.13,2,4.26,0,0.0,39028
39,32,8,2,25.0,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,25.0,2,25.0,39032
39,34,21,6,28.57,7,33.33,0,0.0,3,14.29,2,9.52,1,4.76,0,0.0,1,4.76,1,4.76,39034
39,36,55,17,30.91,14,25.45,3,5.45,5,9.09,5,9.09,2,3.64,2,3.64,3,5.45,4,7.27,39036
39,37,66,19,28.79,16,24.24,2,3.03,11,16.67,8,12.12,0,0.0,0,0.0,7,10.61,3,4.55,39037
39,38,75,27,36.0,26,34.67,2,2.67,5,6.67,6,8.0,0,0.0,0,0.0,6,8.0,3,4.0,39038
39,40,30,4,13.33,8,26.67,0,0.0,2,6.67,1,3.33,2,6.67,1,3.33,5,16.67,7,23.33,39040
39,42,44,16,36.36,17,38.64,0,0.0,4,9.09,3,6.82,2,4.55,0,0.0,1,2.27,1,2.27,39042
39,47,41,13,31.71,13,31.71,2,4.88,5,12.2,2,4.88,2,4.88,2,4.88,2,4.88,0,0.0,39047
40,3,16,1,6.25,1,6.25,0,0.0,2,12.5,1,6.25,0,0.0,0,0.0,5,31.25,6,37.5,40003
40,4,23,6,26.09,10,43.48,2,8.7,1,4.35,0,0.0,1,4.35,1,4.35,1,4.35,1,4.35,40004
40,7,19,7,36.84,7,36.84,1,5.26,1,5.26,0,0.0,0,0.0,1,5.26,1,5.26,1,5.26,40007
40,8,16,2,12.5,3,18.75,1,6.25,1,6.25,2,12.5,2,12.5,1,6.25,2,12.5,2,12.5,40008
40,9,17,5,29.41,6,35.29,0,0.0,3,17.65,3,17.65,0,0.0,0,0.0,0,0.0,0,0.0,40009
40,11,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,40011
40,12,8,2,25.0,2,25.0,0,0.0,1,12.5,1,12.5,0,0.0,0,0.0,1,12.5,1,12.5,40012
