ward,precinct,total,FREDERICK A. RUPLEY,FREDERICK A. RUPLEY Percent,precinct_id
38,1,5,5,100.0,38001
38,2,20,20,100.0,38002
38,3,11,11,100.0,38003
38,4,5,5,100.0,38004
38,5,8,8,100.0,38005
38,6,10,10,100.0,38006
38,7,9,9,100.0,38007
38,8,33,33,100.0,38008
38,9,13,13,100.0,38009
38,10,16,16,100.0,38010
38,11,11,11,100.0,38011
38,12,3,3,100.0,38012
38,13,9,9,100.0,38013
38,14,12,12,100.0,38014
38,15,6,6,100.0,38015
38,16,11,11,100.0,38016
38,17,9,9,100.0,38017
38,18,20,20,100.0,38018
38,19,15,15,100.0,38019
38,20,9,9,100.0,38020
38,21,19,19,100.0,38021
38,22,10,10,100.0,38022
38,23,3,3,100.0,38023
38,24,0,0,0.0,38024
38,25,6,6,100.0,38025
38,26,10,10,100.0,38026
38,27,14,14,100.0,38027
38,28,11,11,100.0,38028
38,29,15,15,100.0,38029
38,30,12,12,100.0,38030
38,31,5,5,100.0,38031
38,32,24,24,100.0,38032
38,33,5,5,100.0,38033
38,34,6,6,100.0,38034
38,35,19,19,100.0,38035
38,36,5,5,100.0,38036
38,37,12,12,100.0,38037
38,38,11,11,100.0,38038
38,39,10,10,100.0,38039
38,40,14,14,100.0,38040
38,41,16,16,100.0,38041
38,42,11,11,100.0,38042
38,43,12,12,100.0,38043
38,44,15,15,100.0,38044
38,45,11,11,100.0,38045
38,46,16,16,100.0,38046
38,47,10,10,100.0,38047
38,48,13,13,100.0,38048
38,49,10,10,100.0,38049
38,50,9,9,100.0,38050
38,51,6,6,100.0,38051
38,52,9,9,100.0,38052
38,53,10,10,100.0,38053
38,54,5,5,100.0,38054
38,55,25,25,100.0,38055
38,56,5,5,100.0,38056
