ward,precinct,total,PAUL THOMAS (BUSH),PAUL THOMAS (BUSH) Percent,PATRICIA M. PAVLICH (BUSH),PATRICIA M. PAVLICH (BUSH) Percent,CONSTANCE R. DAVIES (BUSH),CONSTANCE R. DAVIES (BUSH) Percent,MICHEL THYFAULT (FORBES),MICHEL THYFAULT (FORBES) Percent,THOMAS W. HANNA (McCAIN),THOMAS W. HANNA (McCAIN) Percent,JAMES A. BLAND (McCAIN),JAMES A. BLAND (McCAIN) Percent,precinct_id
13,1,38,10,26.32,9,23.68,10,26.32,1,2.63,2,5.26,4,10.53,13001
13,2,22,5,22.73,7,31.82,6,27.27,0,0.0,1,4.55,2,9.09,13002
13,3,35,10,28.57,13,37.14,7,20.0,0,0.0,4,11.43,1,2.86,13003
13,4,18,6,33.33,6,33.33,6,33.33,0,0.0,0,0.0,0,0.0,13004
13,5,12,3,25.0,4,33.33,2,16.67,1,8.33,1,8.33,1,8.33,13005
13,6,21,4,19.05,4,19.05,6,28.57,0,0.0,1,4.76,4,19.05,13006
13,7,17,5,29.41,4,23.53,4,23.53,1,5.88,1,5.88,1,5.88,13007
13,8,48,13,27.08,13,27.08,13,27.08,3,6.25,3,6.25,1,2.08,13008
13,9,19,7,36.84,4,21.05,3,15.79,0,0.0,2,10.53,1,5.26,13009
13,10,36,10,27.78,9,25.0,9,25.0,3,8.33,1,2.78,3,8.33,13010
13,11,24,8,33.33,7,29.17,6,25.0,0,0.0,0,0.0,2,8.33,13011
13,12,16,6,37.5,7,43.75,3,18.75,0,0.0,0,0.0,0,0.0,13012
13,13,4,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,13013
13,14,10,3,30.0,2,20.0,3,30.0,0,0.0,0,0.0,1,10.0,13014
13,15,28,6,21.43,9,32.14,5,17.86,2,7.14,1,3.57,4,14.29,13015
13,16,32,11,34.38,10,31.25,9,28.13,1,3.13,1,3.13,0,0.0,13016
13,17,9,3,33.33,2,22.22,3,33.33,0,0.0,0,0.0,1,11.11,13017
13,18,9,4,44.44,2,22.22,1,11.11,0,0.0,0,0.0,2,22.22,13018
13,19,29,8,27.59,7,24.14,7,24.14,0,0.0,4,13.79,1,3.45,13019
13,20,21,4,19.05,6,28.57,6,28.57,0,0.0,2,9.52,3,14.29,13020
13,21,15,3,20.0,5,33.33,2,13.33,1,6.67,1,6.67,3,20.0,13021
13,22,22,6,27.27,6,27.27,5,22.73,2,9.09,1,4.55,2,9.09,13022
13,23,21,6,28.57,7,33.33,5,23.81,0,0.0,1,4.76,2,9.52,13023
13,24,31,10,32.26,10,32.26,8,25.81,0,0.0,2,6.45,1,3.23,13024
13,25,21,3,14.29,8,38.1,5,23.81,0,0.0,1,4.76,4,19.05,13025
13,26,12,4,33.33,3,25.0,3,25.0,1,8.33,0,0.0,1,8.33,13026
13,27,35,10,28.57,9,25.71,8,22.86,3,8.57,3,8.57,2,5.71,13027
13,28,21,7,33.33,5,23.81,4,19.05,1,4.76,1,4.76,2,9.52,13028
13,29,27,4,14.81,5,18.52,4,14.81,3,11.11,3,11.11,6,22.22,13029
13,30,9,3,33.33,3,33.33,0,0.0,0,0.0,1,11.11,2,22.22,13030
13,31,25,4,16.0,7,28.0,3,12.0,1,4.0,3,12.0,5,20.0,13031
13,32,24,7,29.17,6,25.0,5,20.83,2,8.33,0,0.0,4,16.67,13032
13,33,18,6,33.33,5,27.78,3,16.67,0,0.0,0,0.0,3,16.67,13033
13,34,13,4,30.77,5,38.46,2,15.38,0,0.0,0,0.0,2,15.38,13034
13,35,24,5,20.83,7,29.17,5,20.83,2,8.33,1,4.17,3,12.5,13035
13,36,19,7,36.84,5,26.32,4,21.05,0,0.0,1,5.26,1,5.26,13036
13,37,9,3,33.33,3,33.33,3,33.33,0,0.0,0,0.0,0,0.0,13037
13,38,13,3,23.08,4,30.77,2,15.38,0,0.0,1,7.69,2,15.38,13038
13,39,23,6,26.09,7,30.43,5,21.74,0,0.0,2,8.7,2,8.7,13039
13,40,16,5,31.25,4,25.0,2,12.5,2,12.5,2,12.5,1,6.25,13040
13,41,7,3,42.86,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,13041
13,42,13,4,30.77,2,15.38,1,7.69,1,7.69,0,0.0,4,30.77,13042
13,43,7,2,28.57,2,28.57,2,28.57,0,0.0,0,0.0,1,14.29,13043
