ward,precinct,total,LOUIS J. KASPER,LOUIS J. KASPER Percent,THOMAS A. SZUBA,THOMAS A. SZUBA Percent,precinct_id
30,1,23,13,56.52,10,43.48,30001
30,2,13,11,84.62,2,15.38,30002
30,3,16,11,68.75,5,31.25,30003
30,4,13,11,84.62,2,15.38,30004
30,5,10,9,90.0,1,10.0,30005
30,6,5,2,40.0,3,60.0,30006
30,7,9,6,66.67,3,33.33,30007
30,8,16,10,62.5,6,37.5,30008
30,9,18,16,88.89,2,11.11,30009
30,10,7,5,71.43,2,28.57,30010
30,11,5,3,60.0,2,40.0,30011
30,12,24,20,83.33,4,16.67,30012
30,13,7,5,71.43,2,28.57,30013
30,14,9,5,55.56,4,44.44,30014
30,15,7,5,71.43,2,28.57,30015
30,16,13,10,76.92,3,23.08,30016
30,17,2,1,50.0,1,50.0,30017
30,18,7,5,71.43,2,28.57,30018
30,19,5,5,100.0,0,0.0,30019
30,20,8,7,87.5,1,12.5,30020
30,21,0,0,0.0,0,0.0,30021
30,22,11,5,45.45,6,54.55,30022
30,23,12,12,100.0,0,0.0,30023
30,24,7,6,85.71,1,14.29,30024
30,25,6,5,83.33,1,16.67,30025
30,26,6,3,50.0,3,50.0,30026
30,27,10,7,70.0,3,30.0,30027
30,28,15,12,80.0,3,20.0,30028
30,29,15,12,80.0,3,20.0,30029
30,30,7,6,85.71,1,14.29,30030
30,31,8,5,62.5,3,37.5,30031
30,32,15,6,40.0,9,60.0,30032
30,33,4,3,75.0,1,25.0,30033
30,34,17,12,70.59,5,29.41,30034
30,35,6,5,83.33,1,16.67,30035
30,36,16,10,62.5,6,37.5,30036
30,37,3,0,0.0,3,100.0,30037
30,38,8,7,87.5,1,12.5,30038
30,39,12,12,100.0,0,0.0,30039
30,40,11,9,81.82,2,18.18,30040
30,41,10,7,70.0,3,30.0,30041
30,42,11,10,90.91,1,9.09,30042
30,43,14,8,57.14,6,42.86,30043
30,44,21,13,61.9,8,38.1,30044
30,45,6,5,83.33,1,16.67,30045
