ward,precinct,total,DOUG NELSON,DOUG NELSON Percent,"WAYLAND C. JOHNSON, JR.","WAYLAND C. JOHNSON, JR. Percent",DUKHAN ARAFAT,DUKHAN ARAFAT Percent,LISA WILLIAMS,LISA WILLIAMS Percent,precinct_id
9,1,1,1,100.0,0,0.0,0,0.0,0,0.0,09001
9,2,1,0,0.0,1,100.0,0,0.0,0,0.0,09002
9,3,7,1,14.29,0,0.0,5,71.43,1,14.29,09003
9,4,0,0,0.0,0,0.0,0,0.0,0,0.0,09004
9,5,1,0,0.0,0,0.0,0,0.0,1,100.0,09005
9,6,1,0,0.0,0,0.0,0,0.0,1,100.0,09006
9,7,2,2,100.0,0,0.0,0,0.0,0,0.0,09007
9,8,1,0,0.0,1,100.0,0,0.0,0,0.0,09008
9,9,0,0,0.0,0,0.0,0,0.0,0,0.0,09009
9,10,1,1,100.0,0,0.0,0,0.0,0,0.0,09010
9,11,2,1,50.0,0,0.0,0,0.0,1,50.0,09011
9,12,0,0,0.0,0,0.0,0,0.0,0,0.0,09012
9,13,3,1,33.33,1,33.33,0,0.0,1,33.33,09013
9,14,1,1,100.0,0,0.0,0,0.0,0,0.0,09014
9,15,2,0,0.0,1,50.0,0,0.0,1,50.0,09015
9,16,0,0,0.0,0,0.0,0,0.0,0,0.0,09016
9,17,0,0,0.0,0,0.0,0,0.0,0,0.0,09017
9,18,4,0,0.0,3,75.0,0,0.0,1,25.0,09018
9,19,1,0,0.0,1,100.0,0,0.0,0,0.0,09019
9,20,3,1,33.33,0,0.0,0,0.0,2,66.67,09020
9,21,1,0,0.0,0,0.0,0,0.0,1,100.0,09021
9,22,0,0,0.0,0,0.0,0,0.0,0,0.0,09022
9,23,7,1,14.29,2,28.57,4,57.14,0,0.0,09023
9,24,7,0,0.0,2,28.57,5,71.43,0,0.0,09024
9,25,7,7,100.0,0,0.0,0,0.0,0,0.0,09025
9,26,0,0,0.0,0,0.0,0,0.0,0,0.0,09026
9,27,3,0,0.0,3,100.0,0,0.0,0,0.0,09027
9,28,9,4,44.44,1,11.11,3,33.33,1,11.11,09028
9,29,2,0,0.0,0,0.0,1,50.0,1,50.0,09029
9,30,2,0,0.0,1,50.0,0,0.0,1,50.0,09030
9,31,17,0,0.0,11,64.71,6,35.29,0,0.0,09031
9,32,0,0,0.0,0,0.0,0,0.0,0,0.0,09032
9,33,0,0,0.0,0,0.0,0,0.0,0,0.0,09033
9,34,1,0,0.0,0,0.0,0,0.0,1,100.0,09034
9,35,0,0,0.0,0,0.0,0,0.0,0,0.0,09035
9,36,3,0,0.0,1,33.33,0,0.0,2,66.67,09036
9,37,96,94,97.92,1,1.04,0,0.0,1,1.04,09037
9,38,1,1,100.0,0,0.0,0,0.0,0,0.0,09038
9,39,0,0,0.0,0,0.0,0,0.0,0,0.0,09039
9,40,0,0,0.0,0,0.0,0,0.0,0,0.0,09040
9,41,2,0,0.0,1,50.0,0,0.0,1,50.0,09041
9,42,13,0,0.0,8,61.54,3,23.08,2,15.38,09042
9,43,9,1,11.11,0,0.0,1,11.11,7,77.78,09043
9,44,0,0,0.0,0,0.0,0,0.0,0,0.0,09044
9,45,1,0,0.0,0,0.0,1,100.0,0,0.0,09045
9,46,2,0,0.0,2,100.0,0,0.0,0,0.0,09046
9,47,1,0,0.0,0,0.0,0,0.0,1,100.0,09047
9,48,2,0,0.0,1,50.0,0,0.0,1,50.0,09048
9,49,1,1,100.0,0,0.0,0,0.0,0,0.0,09049
9,50,1,0,0.0,0,0.0,1,100.0,0,0.0,09050
9,51,2,1,50.0,1,50.0,0,0.0,0,0.0,09051
9,52,5,0,0.0,1,20.0,1,20.0,3,60.0,09052
