ward,precinct,total,CHARLIE SERRANO (BUSH),CHARLIE SERRANO (BUSH) Percent,CYNTHIA GARCIA (BUSH),CYNTHIA GARCIA (BUSH) Percent,JOE FIGUEROA EDGINGTON (FORBES),JOE FIGUEROA EDGINGTON (FORBES) Percent,"ANTHONY A RODRIGUEZ, JR (FORBES)","ANTHONY A RODRIGUEZ, JR (FORBES) Percent",DARLENE RIVERA (McCAIN),DARLENE RIVERA (McCAIN) Percent,JAMES E. ELLWARD (McCAIN),JAMES E. ELLWARD (McCAIN) Percent,precinct_id
1,1,11,3,27.27,5,45.45,0,0.0,2,18.18,0,0.0,1,9.09,01001
1,2,6,3,50.0,2,33.33,0,0.0,0,0.0,0,0.0,1,16.67,01002
1,3,12,4,33.33,4,33.33,1,8.33,0,0.0,2,16.67,1,8.33,01003
1,4,10,1,10.0,3,30.0,0,0.0,0,0.0,2,20.0,4,40.0,01004
1,5,11,2,18.18,3,27.27,0,0.0,0,0.0,2,18.18,4,36.36,01005
1,7,32,11,34.38,10,31.25,1,3.13,3,9.38,2,6.25,5,15.63,01007
1,8,6,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,01008
1,9,18,7,38.89,6,33.33,0,0.0,0,0.0,1,5.56,4,22.22,01009
1,10,24,4,16.67,6,25.0,2,8.33,2,8.33,5,20.83,5,20.83,01010
1,11,17,6,35.29,5,29.41,0,0.0,0,0.0,3,17.65,3,17.65,01011
1,12,12,2,16.67,5,41.67,0,0.0,0,0.0,2,16.67,3,25.0,01012
1,13,3,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,2,66.67,01013
1,14,6,3,50.0,1,16.67,0,0.0,1,16.67,0,0.0,1,16.67,01014
1,15,4,1,25.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,01015
1,16,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,01016
1,17,10,3,30.0,2,20.0,0,0.0,0,0.0,2,20.0,3,30.0,01017
1,18,5,0,0.0,3,60.0,0,0.0,0,0.0,2,40.0,0,0.0,01018
1,19,16,6,37.5,6,37.5,1,6.25,1,6.25,1,6.25,1,6.25,01019
1,20,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,01020
1,21,19,7,36.84,6,31.58,0,0.0,1,5.26,3,15.79,2,10.53,01021
1,22,3,1,33.33,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,01022
1,23,22,9,40.91,9,40.91,1,4.55,2,9.09,1,4.55,0,0.0,01023
1,24,5,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,1,20.0,01024
1,25,13,3,23.08,5,38.46,1,7.69,0,0.0,3,23.08,1,7.69,01025
1,26,23,9,39.13,8,34.78,0,0.0,2,8.7,2,8.7,2,8.7,01026
1,27,10,2,20.0,5,50.0,0,0.0,0,0.0,2,20.0,1,10.0,01027
1,29,12,3,25.0,5,41.67,1,8.33,2,16.67,1,8.33,0,0.0,01029
1,30,5,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,2,40.0,01030
1,31,4,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,1,25.0,01031
1,32,5,0,0.0,0,0.0,0,0.0,2,40.0,2,40.0,1,20.0,01032
1,33,10,3,30.0,7,70.0,0,0.0,0,0.0,0,0.0,0,0.0,01033
1,36,13,4,30.77,6,46.15,1,7.69,1,7.69,1,7.69,0,0.0,01036
2,50,9,2,22.22,2,22.22,0,0.0,0,0.0,3,33.33,2,22.22,02050
3,51,10,4,40.0,4,40.0,0,0.0,1,10.0,0,0.0,1,10.0,03051
11,1,24,7,29.17,6,25.0,1,4.17,4,16.67,2,8.33,4,16.67,11001
11,2,6,1,16.67,3,50.0,1,16.67,1,16.67,0,0.0,0,0.0,11002
11,3,23,10,43.48,6,26.09,1,4.35,1,4.35,2,8.7,3,13.04,11003
11,4,7,1,14.29,4,57.14,0,0.0,0,0.0,1,14.29,1,14.29,11004
11,5,6,2,33.33,3,50.0,0,0.0,1,16.67,0,0.0,0,0.0,11005
11,6,22,3,13.64,5,22.73,2,9.09,1,4.55,6,27.27,5,22.73,11006
11,7,14,7,50.0,3,21.43,1,7.14,0,0.0,1,7.14,2,14.29,11007
11,8,7,3,42.86,4,57.14,0,0.0,0,0.0,0,0.0,0,0.0,11008
11,9,4,2,50.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,11009
11,10,15,6,40.0,6,40.0,1,6.67,0,0.0,1,6.67,1,6.67,11010
11,11,10,3,30.0,5,50.0,1,10.0,1,10.0,0,0.0,0,0.0,11011
11,12,6,2,33.33,3,50.0,0,0.0,0,0.0,1,16.67,0,0.0,11012
11,14,5,2,40.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,11014
11,15,13,2,15.38,5,38.46,0,0.0,0,0.0,4,30.77,2,15.38,11015
11,16,9,3,33.33,3,33.33,0,0.0,0,0.0,1,11.11,2,22.22,11016
11,17,23,10,43.48,8,34.78,0,0.0,1,4.35,2,8.7,2,8.7,11017
11,18,6,1,16.67,1,16.67,0,0.0,1,16.67,2,33.33,1,16.67,11018
11,19,14,4,28.57,4,28.57,1,7.14,0,0.0,4,28.57,1,7.14,11019
11,20,6,0,0.0,1,16.67,1,16.67,0,0.0,1,16.67,3,50.0,11020
11,21,5,1,20.0,1,20.0,0,0.0,0,0.0,2,40.0,1,20.0,11021
11,23,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,11023
11,24,5,1,20.0,2,40.0,0,0.0,0,0.0,2,40.0,0,0.0,11024
11,25,8,2,25.0,3,37.5,0,0.0,0,0.0,2,25.0,1,12.5,11025
11,26,12,4,33.33,3,25.0,0,0.0,1,8.33,3,25.0,1,8.33,11026
11,28,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,11028
11,29,13,5,38.46,6,46.15,0,0.0,1,7.69,1,7.69,0,0.0,11029
11,30,17,6,35.29,9,52.94,0,0.0,0,0.0,2,11.76,0,0.0,11030
11,32,4,0,0.0,1,25.0,1,25.0,0,0.0,1,25.0,1,25.0,11032
11,35,8,2,25.0,2,25.0,1,12.5,1,12.5,1,12.5,1,12.5,11035
11,37,15,4,26.67,4,26.67,1,6.67,0,0.0,4,26.67,2,13.33,11037
11,44,6,2,33.33,3,50.0,0,0.0,0,0.0,1,16.67,0,0.0,11044
11,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11050
11,51,8,3,37.5,3,37.5,1,12.5,0,0.0,0,0.0,1,12.5,11051
12,1,7,3,42.86,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,12001
12,2,11,3,27.27,4,36.36,2,18.18,0,0.0,2,18.18,0,0.0,12002
12,3,11,1,9.09,5,45.45,1,9.09,0,0.0,3,27.27,1,9.09,12003
12,4,3,0,0.0,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33,12004
12,6,9,2,22.22,5,55.56,1,11.11,0,0.0,0,0.0,1,11.11,12006
12,7,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,12007
12,8,14,5,35.71,7,50.0,0,0.0,0,0.0,1,7.14,1,7.14,12008
12,9,8,3,37.5,4,50.0,0,0.0,0,0.0,1,12.5,0,0.0,12009
12,11,7,4,57.14,3,42.86,0,0.0,0,0.0,0,0.0,0,0.0,12011
12,12,9,4,44.44,2,22.22,1,11.11,2,22.22,0,0.0,0,0.0,12012
12,13,7,3,42.86,2,28.57,0,0.0,0,0.0,1,14.29,1,14.29,12013
12,14,9,3,33.33,6,66.67,0,0.0,0,0.0,0,0.0,0,0.0,12014
12,15,10,3,30.0,4,40.0,0,0.0,1,10.0,1,10.0,1,10.0,12015
12,16,3,0,0.0,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,12016
12,18,8,4,50.0,2,25.0,0,0.0,1,12.5,1,12.5,0,0.0,12018
12,19,2,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,12019
12,20,10,4,40.0,4,40.0,0,0.0,0,0.0,2,20.0,0,0.0,12020
12,21,13,6,46.15,5,38.46,0,0.0,0,0.0,1,7.69,1,7.69,12021
12,22,5,1,20.0,3,60.0,0,0.0,0,0.0,1,20.0,0,0.0,12022
