ward,precinct,total,TIMOTHY E. DRAKE,TIMOTHY E. DRAKE Percent,DON BEACHEM JR.,DON BEACHEM JR. Percent,precinct_id
2,1,20,15,75.0,5,25.0,02001
2,2,4,2,50.0,2,50.0,02002
2,3,1,1,100.0,0,0.0,02003
2,4,2,1,50.0,1,50.0,02004
2,5,1,1,100.0,0,0.0,02005
2,6,6,1,16.67,5,83.33,02006
2,7,2,1,50.0,1,50.0,02007
2,8,16,14,87.5,2,12.5,02008
2,9,1,0,0.0,1,100.0,02009
2,10,0,0,0.0,0,0.0,02010
2,11,16,14,87.5,2,12.5,02011
2,12,7,2,28.57,5,71.43,02012
2,13,3,3,100.0,0,0.0,02013
2,14,2,0,0.0,2,100.0,02014
2,15,2,1,50.0,1,50.0,02015
2,16,4,1,25.0,3,75.0,02016
2,17,0,0,0.0,0,0.0,02017
2,18,11,0,0.0,11,100.0,02018
2,19,0,0,0.0,0,0.0,02019
2,20,2,2,100.0,0,0.0,02020
2,21,4,3,75.0,1,25.0,02021
2,22,19,17,89.47,2,10.53,02022
2,23,0,0,0.0,0,0.0,02023
2,24,4,2,50.0,2,50.0,02024
2,25,4,2,50.0,2,50.0,02025
2,26,1,1,100.0,0,0.0,02026
2,27,0,0,0.0,0,0.0,02027
2,28,2,0,0.0,2,100.0,02028
2,29,3,2,66.67,1,33.33,02029
2,30,3,0,0.0,3,100.0,02030
2,31,2,2,100.0,0,0.0,02031
2,32,3,2,66.67,1,33.33,02032
2,33,4,4,100.0,0,0.0,02033
2,34,4,3,75.0,1,25.0,02034
2,35,2,1,50.0,1,50.0,02035
2,36,0,0,0.0,0,0.0,02036
2,37,15,11,73.33,4,26.67,02037
2,38,4,3,75.0,1,25.0,02038
2,39,3,2,66.67,1,33.33,02039
2,40,3,2,66.67,1,33.33,02040
2,41,1,1,100.0,0,0.0,02041
2,42,0,0,0.0,0,0.0,02042
2,43,27,23,85.19,4,14.81,02043
2,44,10,2,20.0,8,80.0,02044
2,45,1,1,100.0,0,0.0,02045
2,46,25,1,4.0,24,96.0,02046
2,47,5,4,80.0,1,20.0,02047
2,48,5,3,60.0,2,40.0,02048
2,49,7,7,100.0,0,0.0,02049
2,50,4,4,100.0,0,0.0,02050
2,51,2,2,100.0,0,0.0,02051
2,52,5,2,40.0,3,60.0,02052
2,53,0,0,0.0,0,0.0,02053
2,54,16,11,68.75,5,31.25,02054
