ward,precinct,total,Mike Quigley,Mike Quigley Percent,Matt Reichel,Matt Reichel Percent,precinct_id
39,5,47,35,74.47,2,4.26,39005
39,6,59,33,55.93,3,5.08,39006
39,7,57,45,78.95,7,12.28,39007
39,8,78,59,75.64,5,6.41,39008
39,9,74,47,63.51,7,9.46,39009
39,10,50,36,72.0,6,12.0,39010
39,11,69,45,65.22,4,5.8,39011
39,12,35,28,80.0,2,5.71,39012
39,13,29,18,62.07,7,24.14,39013
39,14,77,60,77.92,2,2.6,39014
39,15,57,38,66.67,4,7.02,39015
39,16,68,43,63.24,8,11.76,39016
39,17,46,37,80.43,1,2.17,39017
39,18,59,44,74.58,5,8.47,39018
39,19,64,42,65.63,8,12.5,39019
39,20,83,56,67.47,3,3.61,39020
39,21,48,34,70.83,2,4.17,39021
39,22,59,50,84.75,2,3.39,39022
39,23,41,29,70.73,6,14.63,39023
39,24,38,31,81.58,4,10.53,39024
39,25,80,53,66.25,4,5.0,39025
39,26,90,67,74.44,4,4.44,39026
39,27,80,56,70.0,8,10.0,39027
39,28,78,52,66.67,9,11.54,39028
39,29,82,57,69.51,6,7.32,39029
39,30,19,9,47.37,1,5.26,39030
39,31,45,34,75.56,6,13.33,39031
39,32,44,38,86.36,3,6.82,39032
39,33,64,52,81.25,4,6.25,39033
39,34,79,54,68.35,10,12.66,39034
39,35,69,48,69.57,7,10.14,39035
39,36,79,59,74.68,5,6.33,39036
39,37,108,71,65.74,7,6.48,39037
39,38,103,90,87.38,4,3.88,39038
39,39,38,31,81.58,1,2.63,39039
39,40,39,23,58.97,2,5.13,39040
39,41,30,24,80.0,4,13.33,39041
39,42,70,48,68.57,3,4.29,39042
39,43,69,53,76.81,10,14.49,39043
39,44,45,29,64.44,3,6.67,39044
39,45,60,40,66.67,5,8.33,39045
39,46,46,34,73.91,5,10.87,39046
39,47,36,28,77.78,0,0.0,39047
40,1,43,33,76.74,5,11.63,40001
40,2,30,19,63.33,4,13.33,40002
40,5,43,27,62.79,6,13.95,40005
40,6,62,42,67.74,15,24.19,40006
40,10,65,44,67.69,3,4.62,40010
40,14,37,29,78.38,2,5.41,40014
40,15,52,45,86.54,4,7.69,40015
40,17,36,22,61.11,7,19.44,40017
40,19,38,29,76.32,4,10.53,40019
40,20,48,37,77.08,3,6.25,40020
40,21,64,49,76.56,9,14.06,40021
40,23,62,46,74.19,9,14.52,40023
40,24,38,32,84.21,2,5.26,40024
40,25,28,19,67.86,1,3.57,40025
40,29,70,51,72.86,6,8.57,40029
40,30,89,59,66.29,10,11.24,40030
40,31,56,50,89.29,2,3.57,40031
40,32,17,12,70.59,2,11.76,40032
40,34,41,30,73.17,6,14.63,40034
40,36,67,45,67.16,8,11.94,40036
40,38,28,22,78.57,2,7.14,40038
40,40,56,47,83.93,2,3.57,40040
40,41,6,6,100.0,0,0.0,40041
40,44,41,31,75.61,2,4.88,40044
40,45,120,91,75.83,11,9.17,40045
40,48,51,35,68.63,4,7.84,40048
40,49,35,23,65.71,3,8.57,40049
41,3,81,59,72.84,4,4.94,41003
41,6,95,63,66.32,4,4.21,41006
41,9,87,51,58.62,6,6.9,41009
41,10,89,59,66.29,5,5.62,41010
41,12,74,51,68.92,7,9.46,41012
41,14,121,81,66.94,9,7.44,41014
41,16,105,47,44.76,10,9.52,41016
41,19,98,70,71.43,5,5.1,41019
41,21,116,68,58.62,6,5.17,41021
41,22,80,45,56.25,5,6.25,41022
41,23,87,53,60.92,2,2.3,41023
41,24,95,62,65.26,4,4.21,41024
41,30,106,69,65.09,7,6.6,41030
41,35,107,65,60.75,5,4.67,41035
41,38,121,79,65.29,4,3.31,41038
41,39,61,33,54.1,7,11.48,41039
41,44,110,72,65.45,7,6.36,41044
41,46,95,66,69.47,8,8.42,41046
41,47,92,64,69.57,4,4.35,41047
41,50,94,55,58.51,8,8.51,41050
41,51,47,26,55.32,1,2.13,41051
41,53,91,56,61.54,4,4.4,41053
41,54,77,52,67.53,4,5.19,41054
41,57,62,42,67.74,4,6.45,41057
43,2,65,53,81.54,6,9.23,43002
43,6,48,41,85.42,3,6.25,43006
43,7,77,58,75.32,2,2.6,43007
43,8,122,99,81.15,6,4.92,43008
43,12,133,111,83.46,3,2.26,43012
43,14,97,79,81.44,9,9.28,43014
43,17,72,49,68.06,5,6.94,43017
43,20,84,70,83.33,1,1.19,43020
43,21,94,76,80.85,5,5.32,43021
43,22,44,30,68.18,3,6.82,43022
43,27,67,47,70.15,5,7.46,43027
43,29,51,33,64.71,3,5.88,43029
43,31,86,69,80.23,8,9.3,43031
43,32,88,74,84.09,3,3.41,43032
43,33,33,22,66.67,5,15.15,43033
43,34,30,23,76.67,4,13.33,43034
43,38,45,33,73.33,4,8.89,43038
43,43,42,33,78.57,1,2.38,43043
43,44,72,52,72.22,1,1.39,43044
43,45,23,20,86.96,1,4.35,43045
43,48,60,44,73.33,6,10.0,43048
43,50,40,34,85.0,3,7.5,43050
43,53,110,77,70.0,7,6.36,43053
43,56,31,25,80.65,2,6.45,43056
43,57,43,28,65.12,5,11.63,43057
43,58,43,35,81.4,3,6.98,43058
43,59,130,97,74.62,10,7.69,43059
44,1,110,84,76.36,12,10.91,44001
44,2,80,60,75.0,7,8.75,44002
44,5,86,70,81.4,6,6.98,44005
44,6,66,53,80.3,4,6.06,44006
44,8,38,26,68.42,5,13.16,44008
44,9,39,32,82.05,5,12.82,44009
44,10,31,25,80.65,2,6.45,44010
44,11,83,73,87.95,4,4.82,44011
44,12,57,49,85.96,5,8.77,44012
44,13,62,51,82.26,8,12.9,44013
44,14,73,56,76.71,14,19.18,44014
44,15,80,67,83.75,10,12.5,44015
44,16,60,54,90.0,3,5.0,44016
44,17,84,69,82.14,7,8.33,44017
44,18,48,38,79.17,1,2.08,44018
44,19,43,34,79.07,7,16.28,44019
44,20,47,41,87.23,1,2.13,44020
44,21,64,57,89.06,5,7.81,44021
44,22,123,97,78.86,9,7.32,44022
44,23,48,36,75.0,8,16.67,44023
44,24,46,38,82.61,2,4.35,44024
44,25,55,45,81.82,4,7.27,44025
44,26,60,52,86.67,5,8.33,44026
44,27,61,52,85.25,5,8.2,44027
44,28,32,23,71.88,3,9.38,44028
44,29,51,38,74.51,5,9.8,44029
44,30,49,41,83.67,5,10.2,44030
44,31,64,44,68.75,10,15.63,44031
44,32,54,45,83.33,4,7.41,44032
44,33,68,53,77.94,11,16.18,44033
44,34,64,50,78.13,6,9.38,44034
44,36,52,45,86.54,2,3.85,44036
44,37,95,77,81.05,9,9.47,44037
44,38,44,38,86.36,2,4.55,44038
44,39,51,36,70.59,5,9.8,44039
44,40,68,58,85.29,4,5.88,44040
44,41,87,69,79.31,9,10.34,44041
44,42,125,108,86.4,8,6.4,44042
44,43,81,69,85.19,5,6.17,44043
44,44,103,90,87.38,7,6.8,44044
44,45,65,57,87.69,2,3.08,44045
44,46,55,47,85.45,3,5.45,44046
44,47,89,67,75.28,9,10.11,44047
44,50,63,49,77.78,4,6.35,44050
44,51,44,37,84.09,4,9.09,44051
45,1,61,48,78.69,4,6.56,45001
45,2,89,53,59.55,6,6.74,45002
45,3,119,90,75.63,2,1.68,45003
45,4,106,71,66.98,7,6.6,45004
45,5,99,68,68.69,5,5.05,45005
45,6,67,50,74.63,1,1.49,45006
45,7,56,31,55.36,4,7.14,45007
45,8,59,42,71.19,2,3.39,45008
45,9,90,52,57.78,7,7.78,45009
45,10,89,53,59.55,4,4.49,45010
45,11,63,44,69.84,3,4.76,45011
45,12,82,56,68.29,4,4.88,45012
45,13,108,80,74.07,6,5.56,45013
45,14,85,56,65.88,1,1.18,45014
45,15,106,84,79.25,7,6.6,45015
45,16,101,75,74.26,6,5.94,45016
45,17,68,46,67.65,4,5.88,45017
45,18,94,77,81.91,3,3.19,45018
45,19,103,76,73.79,7,6.8,45019
45,20,73,58,79.45,1,1.37,45020
45,21,89,66,74.16,1,1.12,45021
45,22,82,55,67.07,6,7.32,45022
45,23,119,83,69.75,7,5.88,45023
45,24,95,58,61.05,6,6.32,45024
45,25,96,64,66.67,10,10.42,45025
45,26,117,96,82.05,3,2.56,45026
45,27,72,47,65.28,1,1.39,45027
45,28,52,43,82.69,1,1.92,45028
45,29,75,48,64.0,5,6.67,45029
45,30,94,63,67.02,3,3.19,45030
45,31,67,49,73.13,8,11.94,45031
45,32,45,30,66.67,1,2.22,45032
45,33,83,59,71.08,1,1.2,45033
45,34,76,53,69.74,7,9.21,45034
45,35,103,73,70.87,7,6.8,45035
45,36,107,70,65.42,15,14.02,45036
45,37,65,47,72.31,4,6.15,45037
45,38,108,79,73.15,11,10.19,45038
45,39,100,74,74.0,6,6.0,45039
45,40,101,68,67.33,8,7.92,45040
45,41,25,13,52.0,0,0.0,45041
45,42,119,94,78.99,6,5.04,45042
45,43,72,53,73.61,5,6.94,45043
45,44,98,74,75.51,1,1.02,45044
45,45,73,50,68.49,6,8.22,45045
45,46,101,74,73.27,7,6.93,45046
45,47,91,64,70.33,4,4.4,45047
45,48,90,70,77.78,6,6.67,45048
45,49,98,71,72.45,3,3.06,45049
45,50,67,35,52.24,3,4.48,45050
45,51,74,51,68.92,6,8.11,45051
45,52,97,77,79.38,4,4.12,45052
45,53,78,56,71.79,6,7.69,45053
46,3,88,71,80.68,11,12.5,46003
46,5,28,23,82.14,2,7.14,46005
46,13,82,61,74.39,11,13.41,46013
46,17,168,145,86.31,10,5.95,46017
46,18,118,101,85.59,6,5.08,46018
46,24,39,34,87.18,3,7.69,46024
46,29,112,88,78.57,5,4.46,46029
46,31,91,72,79.12,10,10.99,46031
46,36,124,102,82.26,14,11.29,46036
46,37,44,31,70.45,4,9.09,46037
46,43,108,95,87.96,7,6.48,46043
46,44,52,51,98.08,0,0.0,46044
47,1,61,46,75.41,8,13.11,47001
47,2,84,70,83.33,0,0.0,47002
47,3,53,42,79.25,4,7.55,47003
47,4,86,71,82.56,4,4.65,47004
47,5,100,73,73.0,17,17.0,47005
47,6,77,61,79.22,9,11.69,47006
47,7,74,58,78.38,5,6.76,47007
47,8,120,92,76.67,16,13.33,47008
47,9,75,55,73.33,9,12.0,47009
47,10,28,21,75.0,5,17.86,47010
47,11,106,80,75.47,10,9.43,47011
47,12,77,63,81.82,5,6.49,47012
47,13,106,84,79.25,11,10.38,47013
47,14,59,46,77.97,7,11.86,47014
47,15,47,34,72.34,6,12.77,47015
47,16,83,62,74.7,12,14.46,47016
47,17,61,46,75.41,5,8.2,47017
47,18,76,60,78.95,5,6.58,47018
47,19,75,56,74.67,11,14.67,47019
47,20,70,53,75.71,14,20.0,47020
47,21,108,72,66.67,18,16.67,47021
47,22,82,55,67.07,7,8.54,47022
47,23,47,33,70.21,10,21.28,47023
47,24,62,46,74.19,7,11.29,47024
47,25,88,71,80.68,11,12.5,47025
47,26,104,78,75.0,14,13.46,47026
47,27,62,45,72.58,11,17.74,47027
47,28,104,77,74.04,13,12.5,47028
47,29,77,57,74.03,5,6.49,47029
47,30,63,43,68.25,11,17.46,47030
47,31,62,52,83.87,6,9.68,47031
47,32,63,50,79.37,7,11.11,47032
47,33,76,57,75.0,14,18.42,47033
47,34,113,81,71.68,16,14.16,47034
47,35,104,85,81.73,13,12.5,47035
47,36,93,67,72.04,16,17.2,47036
47,37,115,87,75.65,11,9.57,47037
47,38,63,52,82.54,4,6.35,47038
47,39,88,66,75.0,9,10.23,47039
47,40,72,53,73.61,10,13.89,47040
47,41,138,119,86.23,12,8.7,47041
47,42,61,48,78.69,10,16.39,47042
47,43,55,46,83.64,0,0.0,47043
47,44,89,72,80.9,5,5.62,47044
47,45,75,56,74.67,12,16.0,47045
47,46,48,37,77.08,5,10.42,47046
47,47,76,58,76.32,7,9.21,47047
47,48,45,39,86.67,2,4.44,47048
47,49,46,39,84.78,4,8.7,47049
47,50,63,50,79.37,3,4.76,47050
47,51,43,37,86.05,4,9.3,47051
47,52,132,118,89.39,5,3.79,47052
50,44,49,36,73.47,2,4.08,50044
50,45,34,24,70.59,3,8.82,50045
