ward,precinct,total,John H. Ehrlich,John H. Ehrlich Percent,Helaine ''Lainie'' Berger,Helaine ''Lainie'' Berger Percent,James L. Kaplan,James L. Kaplan Percent,Ellis B. Levin,Ellis B. Levin Percent,precinct_id
2,1,114,37,32.46,26,22.81,18,15.79,13,11.4,02001
2,7,148,16,10.81,37,25.0,30,20.27,19,12.84,02007
2,8,115,32,27.83,35,30.43,15,13.04,15,13.04,02008
2,11,153,72,47.06,36,23.53,20,13.07,12,7.84,02011
2,12,1,0,0.0,0,0.0,0,0.0,0,0.0,02012
2,18,87,30,34.48,29,33.33,11,12.64,8,9.2,02018
2,19,107,32,29.91,28,26.17,20,18.69,11,10.28,02019
2,20,61,5,8.2,20,32.79,14,22.95,8,13.11,02020
2,21,139,18,12.95,36,25.9,30,21.58,22,15.83,02021
2,22,154,47,30.52,38,24.68,29,18.83,19,12.34,02022
2,24,52,14,26.92,8,15.38,11,21.15,13,25.0,02024
2,26,87,6,6.9,33,37.93,21,24.14,15,17.24,02026
2,30,72,12,16.67,27,37.5,9,12.5,13,18.06,02030
2,35,78,36,46.15,18,23.08,6,7.69,6,7.69,02035
2,36,139,30,21.58,43,30.94,25,17.99,14,10.07,02036
2,37,73,32,43.84,19,26.03,8,10.96,6,8.22,02037
2,38,147,49,33.33,62,42.18,14,9.52,8,5.44,02038
2,40,144,32,22.22,36,25.0,31,21.53,19,13.19,02040
2,43,121,32,26.45,28,23.14,26,21.49,19,15.7,02043
2,49,73,27,36.99,23,31.51,6,8.22,7,9.59,02049
2,53,54,12,22.22,16,29.63,12,22.22,5,9.26,02053
2,54,37,14,37.84,11,29.73,3,8.11,7,18.92,02054
3,3,80,14,17.5,26,32.5,10,12.5,12,15.0,03003
3,6,5,0,0.0,0,0.0,2,40.0,1,20.0,03006
3,28,105,31,29.52,26,24.76,14,13.33,18,17.14,03028
3,45,128,14,10.94,15,11.72,38,29.69,29,22.66,03045
11,14,49,5,10.2,16,32.65,15,30.61,4,8.16,11014
11,27,10,3,30.0,2,20.0,2,20.0,1,10.0,11027
11,36,19,0,0.0,7,36.84,4,21.05,3,15.79,11036
25,14,41,7,17.07,7,17.07,15,36.59,7,17.07,25014
25,16,29,8,27.59,3,10.34,4,13.79,3,10.34,25016
25,18,66,10,15.15,18,27.27,14,21.21,12,18.18,25018
27,5,19,5,26.32,3,15.79,8,42.11,2,10.53,27005
27,6,30,1,3.33,3,10.0,22,73.33,2,6.67,27006
27,9,118,8,6.78,35,29.66,34,28.81,16,13.56,27009
27,11,18,5,27.78,1,5.56,8,44.44,1,5.56,27011
27,12,56,8,14.29,15,26.79,20,35.71,3,5.36,27012
27,20,93,8,8.6,15,16.13,47,50.54,10,10.75,27020
27,21,92,5,5.43,18,19.57,42,45.65,11,11.96,27021
27,28,78,14,17.95,13,16.67,26,33.33,11,14.1,27028
27,35,56,24,42.86,14,25.0,11,19.64,3,5.36,27035
27,37,124,6,4.84,11,8.87,76,61.29,6,4.84,27037
27,42,27,10,37.04,7,25.93,4,14.81,4,14.81,27042
32,7,38,22,57.89,7,18.42,5,13.16,0,0.0,32007
32,8,71,36,50.7,12,16.9,10,14.08,4,5.63,32008
32,10,57,22,38.6,13,22.81,8,14.04,4,7.02,32010
32,13,18,11,61.11,1,5.56,3,16.67,1,5.56,32013
32,18,36,19,52.78,3,8.33,6,16.67,3,8.33,32018
32,20,9,0,0.0,5,55.56,4,44.44,0,0.0,32020
32,23,56,16,28.57,16,28.57,8,14.29,9,16.07,32023
32,27,42,16,38.1,9,21.43,6,14.29,8,19.05,32027
32,32,46,27,58.7,7,15.22,5,10.87,3,6.52,32032
32,37,45,12,26.67,7,15.56,20,44.44,4,8.89,32037
32,38,43,12,27.91,11,25.58,6,13.95,7,16.28,32038
32,39,63,19,30.16,11,17.46,13,20.63,8,12.7,32039
