ward,precinct,total,Adolfo Mondragon,Adolfo Mondragon Percent,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,precinct_id
11,1,127,25,19.69,102,80.31,11001
11,2,108,26,24.07,82,75.93,11002
11,3,78,12,15.38,66,84.62,11003
11,4,91,29,31.87,62,68.13,11004
11,5,64,21,32.81,43,67.19,11005
11,6,132,50,37.88,82,62.12,11006
11,7,115,29,25.22,86,74.78,11007
11,8,111,38,34.23,73,65.77,11008
11,9,85,25,29.41,60,70.59,11009
11,10,61,13,21.31,48,78.69,11010
11,11,116,35,30.17,81,69.83,11011
11,13,97,16,16.49,81,83.51,11013
11,14,74,18,24.32,56,75.68,11014
11,16,124,34,27.42,90,72.58,11016
11,17,157,47,29.94,110,70.06,11017
11,18,79,29,36.71,50,63.29,11018
11,19,66,29,43.94,37,56.06,11019
11,23,82,15,18.29,67,81.71,11023
11,25,83,22,26.51,61,73.49,11025
11,26,127,44,34.65,83,65.35,11026
11,27,92,15,16.3,77,83.7,11027
11,29,119,29,24.37,90,75.63,11029
11,30,95,27,28.42,68,71.58,11030
11,33,68,16,23.53,52,76.47,11033
11,36,25,7,28.0,18,72.0,11036
11,38,151,31,20.53,120,79.47,11038
11,39,164,27,16.46,137,83.54,11039
11,40,71,18,25.35,53,74.65,11040
11,41,70,13,18.57,57,81.43,11041
11,42,74,21,28.38,53,71.62,11042
11,43,88,24,27.27,64,72.73,11043
11,44,91,38,41.76,53,58.24,11044
11,45,42,12,28.57,30,71.43,11045
11,47,86,27,31.4,59,68.6,11047
11,50,63,13,20.63,50,79.37,11050
12,3,10,4,40.0,6,60.0,12003
12,4,9,4,44.44,5,55.56,12004
12,5,16,1,6.25,15,93.75,12005
12,8,129,35,27.13,94,72.87,12008
12,9,50,6,12.0,44,88.0,12009
12,10,11,5,45.45,6,54.55,12010
12,13,13,2,15.38,11,84.62,12013
12,14,64,15,23.44,49,76.56,12014
12,16,31,11,35.48,20,64.52,12016
12,17,92,19,20.65,73,79.35,12017
12,19,54,12,22.22,42,77.78,12019
12,20,48,15,31.25,33,68.75,12020
12,21,13,3,23.08,10,76.92,12021
12,23,65,22,33.85,43,66.15,12023
12,24,56,14,25.0,42,75.0,12024
14,2,151,30,19.87,121,80.13,14002
14,5,100,16,16.0,84,84.0,14005
14,6,53,8,15.09,45,84.91,14006
14,10,86,24,27.91,62,72.09,14010
14,13,86,19,22.09,67,77.91,14013
14,14,111,15,13.51,96,86.49,14014
14,16,85,19,22.35,66,77.65,14016
14,17,124,17,13.71,107,86.29,14017
14,18,47,16,34.04,31,65.96,14018
14,19,91,20,21.98,71,78.02,14019
14,20,58,16,27.59,42,72.41,14020
14,21,100,10,10.0,90,90.0,14021
14,23,78,23,29.49,55,70.51,14023
14,24,66,7,10.61,59,89.39,14024
14,25,62,12,19.35,50,80.65,14025
14,26,55,11,20.0,44,80.0,14026
14,27,101,21,20.79,80,79.21,14027
14,28,65,20,30.77,45,69.23,14028
14,29,140,18,12.86,122,87.14,14029
14,30,102,13,12.75,89,87.25,14030
14,31,58,13,22.41,45,77.59,14031
14,32,56,8,14.29,48,85.71,14032
15,1,118,36,30.51,82,69.49,15001
15,6,40,8,20.0,32,80.0,15006
15,13,59,9,15.25,50,84.75,15013
15,14,57,11,19.3,46,80.7,15014
15,15,29,6,20.69,23,79.31,15015
15,16,35,10,28.57,25,71.43,15016
15,25,44,12,27.27,32,72.73,15025
15,28,69,14,20.29,55,79.71,15028
15,32,43,14,32.56,29,67.44,15032
15,39,33,11,33.33,22,66.67,15039
16,2,33,9,27.27,24,72.73,16002
16,6,19,11,57.89,8,42.11,16006
16,7,45,11,24.44,34,75.56,16007
16,11,52,12,23.08,40,76.92,16011
16,13,44,10,22.73,34,77.27,16013
16,21,29,4,13.79,25,86.21,16021
16,22,35,10,28.57,25,71.43,16022
16,23,31,6,19.35,25,80.65,16023
16,30,43,12,27.91,31,72.09,16030
16,32,38,7,18.42,31,81.58,16032
16,35,29,8,27.59,21,72.41,16035
16,39,8,2,25.0,6,75.0,16039
18,43,57,19,33.33,38,66.67,18043
20,4,36,14,38.89,22,61.11,20004
20,21,27,10,37.04,17,62.96,20021
23,2,70,25,35.71,45,64.29,23002
23,3,177,42,23.73,135,76.27,23003
23,5,45,11,24.44,34,75.56,23005
23,6,40,10,25.0,30,75.0,23006
23,10,60,12,20.0,48,80.0,23010
23,11,33,7,21.21,26,78.79,23011
23,12,0,0,0.0,0,0.0,23012
23,14,78,22,28.21,56,71.79,23014
23,16,24,3,12.5,21,87.5,23016
23,17,46,14,30.43,32,69.57,23017
23,21,117,22,18.8,95,81.2,23021
23,24,44,10,22.73,34,77.27,23024
23,25,50,15,30.0,35,70.0,23025
23,30,105,22,20.95,83,79.05,23030
23,31,90,16,17.78,74,82.22,23031
23,32,102,21,20.59,81,79.41,23032
23,33,165,35,21.21,130,78.79,23033
23,35,89,20,22.47,69,77.53,23035
23,37,84,19,22.62,65,77.38,23037
23,41,53,12,22.64,41,77.36,23041
23,42,89,15,16.85,74,83.15,23042
23,44,131,21,16.03,110,83.97,23044
23,45,106,17,16.04,89,83.96,23045
23,47,0,0,0.0,0,0.0,23047
23,48,48,13,27.08,35,72.92,23048
25,1,100,28,28.0,72,72.0,25001
25,2,111,39,35.14,72,64.86,25002
25,5,106,15,14.15,91,85.85,25005
25,6,78,19,24.36,59,75.64,25006
25,7,58,20,34.48,38,65.52,25007
25,8,73,26,35.62,47,64.38,25008
25,9,119,30,25.21,89,74.79,25009
25,11,92,34,36.96,58,63.04,25011
25,12,78,26,33.33,52,66.67,25012
25,13,97,31,31.96,66,68.04,25013
25,14,69,12,17.39,57,82.61,25014
25,15,103,29,28.16,74,71.84,25015
25,16,96,12,12.5,84,87.5,25016
25,17,147,48,32.65,99,67.35,25017
25,18,203,21,10.34,182,89.66,25018
25,19,82,25,30.49,57,69.51,25019
25,20,122,32,26.23,90,73.77,25020
25,22,59,17,28.81,42,71.19,25022
25,23,126,35,27.78,91,72.22,25023
25,24,117,35,29.91,82,70.09,25024
25,26,40,11,27.5,29,72.5,25026
25,30,87,21,24.14,66,75.86,25030
