ward,precinct,total,Lisa Ann Marino,Lisa Ann Marino Percent,Pamela McLean Meyerson,Pamela McLean Meyerson Percent,Deborah J. Fortier,Deborah J. Fortier Percent,Jennifer A. Blanc,Jennifer A. Blanc Percent,precinct_id
29,2,44,28,63.64,4,9.09,7,15.91,5,11.36,29002
29,6,78,38,48.72,18,23.08,5,6.41,17,21.79,29006
29,7,33,22,66.67,2,6.06,5,15.15,4,12.12,29007
29,9,44,27,61.36,9,20.45,5,11.36,3,6.82,29009
29,10,47,25,53.19,11,23.4,7,14.89,4,8.51,29010
29,12,122,48,39.34,40,32.79,21,17.21,13,10.66,29012
29,15,145,57,39.31,35,24.14,40,27.59,13,8.97,29015
29,17,99,40,40.4,21,21.21,21,21.21,17,17.17,29017
29,24,118,30,25.42,29,24.58,37,31.36,22,18.64,29024
29,25,108,84,77.78,5,4.63,14,12.96,5,4.63,29025
29,30,43,21,48.84,5,11.63,9,20.93,8,18.6,29030
29,32,37,21,56.76,7,18.92,3,8.11,6,16.22,29032
29,36,173,78,45.09,37,21.39,31,17.92,27,15.61,29036
29,39,50,34,68.0,5,10.0,7,14.0,4,8.0,29039
30,2,62,38,61.29,12,19.35,6,9.68,6,9.68,30002
30,6,86,53,61.63,17,19.77,6,6.98,10,11.63,30006
30,7,47,22,46.81,10,21.28,9,19.15,6,12.77,30007
30,8,81,38,46.91,30,37.04,1,1.23,12,14.81,30008
30,9,149,110,73.83,13,8.72,11,7.38,15,10.07,30009
30,10,46,30,65.22,5,10.87,3,6.52,8,17.39,30010
30,12,59,34,57.63,9,15.25,4,6.78,12,20.34,30012
30,13,109,62,56.88,25,22.94,9,8.26,13,11.93,30013
30,14,48,35,72.92,4,8.33,5,10.42,4,8.33,30014
30,17,29,20,68.97,3,10.34,1,3.45,5,17.24,30017
30,18,78,38,48.72,23,29.49,10,12.82,7,8.97,30018
30,25,22,8,36.36,7,31.82,3,13.64,4,18.18,30025
30,28,69,40,57.97,13,18.84,3,4.35,13,18.84,30028
30,30,68,40,58.82,6,8.82,9,13.24,13,19.12,30030
31,3,46,34,73.91,5,10.87,2,4.35,5,10.87,31003
31,8,50,30,60.0,7,14.0,6,12.0,7,14.0,31008
31,9,55,41,74.55,10,18.18,2,3.64,2,3.64,31009
31,15,23,20,86.96,2,8.7,1,4.35,0,0.0,31015
31,16,29,16,55.17,3,10.34,5,17.24,5,17.24,31016
31,18,2,1,50.0,0,0.0,1,50.0,0,0.0,31018
31,26,36,25,69.44,5,13.89,1,2.78,5,13.89,31026
31,29,34,25,73.53,4,11.76,3,8.82,2,5.88,31029
31,38,38,22,57.89,8,21.05,3,7.89,5,13.16,31038
31,43,36,20,55.56,9,25.0,1,2.78,6,16.67,31043
31,45,32,23,71.88,3,9.38,2,6.25,4,12.5,31045
35,11,1,1,100.0,0,0.0,0,0.0,0,0.0,35011
35,13,11,5,45.45,3,27.27,2,18.18,1,9.09,35013
35,33,24,14,58.33,6,25.0,3,12.5,1,4.17,35033
36,1,73,57,78.08,10,13.7,3,4.11,3,4.11,36001
36,2,90,61,67.78,12,13.33,13,14.44,4,4.44,36002
36,3,203,122,60.1,33,16.26,31,15.27,17,8.37,36003
36,4,36,25,69.44,4,11.11,1,2.78,6,16.67,36004
36,5,173,140,80.92,16,9.25,7,4.05,10,5.78,36005
36,6,74,50,67.57,14,18.92,2,2.7,8,10.81,36006
36,7,74,50,67.57,12,16.22,2,2.7,10,13.51,36007
36,8,89,66,74.16,12,13.48,7,7.87,4,4.49,36008
36,9,142,109,76.76,16,11.27,7,4.93,10,7.04,36009
36,10,79,51,64.56,12,15.19,9,11.39,7,8.86,36010
36,11,110,89,80.91,9,8.18,5,4.55,7,6.36,36011
36,12,78,58,74.36,10,12.82,6,7.69,4,5.13,36012
36,13,162,121,74.69,15,9.26,12,7.41,14,8.64,36013
36,14,115,85,73.91,14,12.17,7,6.09,9,7.83,36014
36,15,88,62,70.45,11,12.5,6,6.82,9,10.23,36015
36,16,191,140,73.3,26,13.61,15,7.85,10,5.24,36016
36,17,52,32,61.54,7,13.46,8,15.38,5,9.62,36017
36,18,108,85,78.7,11,10.19,3,2.78,9,8.33,36018
36,19,94,77,81.91,6,6.38,7,7.45,4,4.26,36019
36,20,143,117,81.82,10,6.99,7,4.9,9,6.29,36020
36,21,144,103,71.53,28,19.44,3,2.08,10,6.94,36021
36,22,158,111,70.25,22,13.92,17,10.76,8,5.06,36022
36,23,220,134,60.91,42,19.09,25,11.36,19,8.64,36023
36,24,106,65,61.32,20,18.87,14,13.21,7,6.6,36024
36,25,153,92,60.13,34,22.22,10,6.54,17,11.11,36025
36,26,76,53,69.74,11,14.47,5,6.58,7,9.21,36026
36,27,61,40,65.57,9,14.75,2,3.28,10,16.39,36027
36,28,61,49,80.33,4,6.56,5,8.2,3,4.92,36028
36,29,84,72,85.71,7,8.33,3,3.57,2,2.38,36029
36,30,101,67,66.34,22,21.78,4,3.96,8,7.92,36030
36,31,99,81,81.82,5,5.05,5,5.05,8,8.08,36031
36,32,73,54,73.97,12,16.44,0,0.0,7,9.59,36032
36,33,102,59,57.84,22,21.57,8,7.84,13,12.75,36033
36,34,43,27,62.79,8,18.6,4,9.3,4,9.3,36034
36,35,103,76,73.79,12,11.65,2,1.94,13,12.62,36035
36,36,67,40,59.7,14,20.9,10,14.93,3,4.48,36036
36,37,89,67,75.28,11,12.36,3,3.37,8,8.99,36037
36,38,43,26,60.47,8,18.6,4,9.3,5,11.63,36038
36,39,68,45,66.18,10,14.71,8,11.76,5,7.35,36039
36,40,96,65,67.71,13,13.54,8,8.33,10,10.42,36040
36,41,61,45,73.77,9,14.75,1,1.64,6,9.84,36041
36,42,60,45,75.0,4,6.67,5,8.33,6,10.0,36042
36,43,79,53,67.09,14,17.72,6,7.59,6,7.59,36043
36,44,138,86,62.32,35,25.36,10,7.25,7,5.07,36044
36,45,140,98,70.0,20,14.29,15,10.71,7,5.0,36045
36,46,79,52,65.82,19,24.05,1,1.27,7,8.86,36046
36,47,213,149,69.95,36,16.9,14,6.57,14,6.57,36047
36,48,65,49,75.38,10,15.38,1,1.54,5,7.69,36048
36,49,125,92,73.6,17,13.6,9,7.2,7,5.6,36049
36,50,95,72,75.79,13,13.68,5,5.26,5,5.26,36050
36,51,100,78,78.0,10,10.0,7,7.0,5,5.0,36051
37,11,19,13,68.42,2,10.53,2,10.53,2,10.53,37011
37,16,90,32,35.56,20,22.22,23,25.56,15,16.67,37016
37,24,65,30,46.15,14,21.54,16,24.62,5,7.69,37024
37,26,106,29,27.36,28,26.42,34,32.08,15,14.15,37026
37,39,45,29,64.44,9,20.0,5,11.11,2,4.44,37039
38,2,91,61,67.03,16,17.58,7,7.69,7,7.69,38002
38,3,39,27,69.23,4,10.26,5,12.82,3,7.69,38003
38,4,68,50,73.53,6,8.82,5,7.35,7,10.29,38004
38,6,85,49,57.65,13,15.29,7,8.24,16,18.82,38006
38,8,30,18,60.0,5,16.67,4,13.33,3,10.0,38008
38,9,65,21,32.31,33,50.77,4,6.15,7,10.77,38009
38,10,46,14,30.43,22,47.83,5,10.87,5,10.87,38010
38,11,110,68,61.82,25,22.73,6,5.45,11,10.0,38011
38,12,54,30,55.56,10,18.52,8,14.81,6,11.11,38012
38,13,115,70,60.87,24,20.87,10,8.7,11,9.57,38013
38,14,62,38,61.29,9,14.52,8,12.9,7,11.29,38014
38,15,73,45,61.64,14,19.18,7,9.59,7,9.59,38015
38,16,90,52,57.78,16,17.78,10,11.11,12,13.33,38016
38,17,72,40,55.56,16,22.22,7,9.72,9,12.5,38017
38,18,74,44,59.46,20,27.03,6,8.11,4,5.41,38018
38,19,84,51,60.71,19,22.62,5,5.95,9,10.71,38019
38,20,91,40,43.96,32,35.16,6,6.59,13,14.29,38020
38,21,46,27,58.7,11,23.91,4,8.7,4,8.7,38021
38,22,68,42,61.76,12,17.65,5,7.35,9,13.24,38022
38,23,137,74,54.01,41,29.93,11,8.03,11,8.03,38023
38,24,118,67,56.78,17,14.41,14,11.86,20,16.95,38024
38,25,50,34,68.0,8,16.0,3,6.0,5,10.0,38025
38,26,55,30,54.55,13,23.64,3,5.45,9,16.36,38026
38,27,73,37,50.68,20,27.4,7,9.59,9,12.33,38027
38,28,88,56,63.64,21,23.86,6,6.82,5,5.68,38028
