ward,precinct,total,Joseph Berrios,Joseph Berrios Percent,Alonso Zaragoza,Alonso Zaragoza Percent,precinct_id
31,1,66,48,72.73,18,27.27,31001
31,2,80,45,56.25,35,43.75,31002
31,3,52,39,75.0,13,25.0,31003
31,4,52,30,57.69,22,42.31,31004
31,5,92,58,63.04,34,36.96,31005
31,6,60,31,51.67,29,48.33,31006
31,7,55,33,60.0,22,40.0,31007
31,8,61,28,45.9,33,54.1,31008
31,9,60,37,61.67,23,38.33,31009
31,10,50,26,52.0,24,48.0,31010
31,11,93,63,67.74,30,32.26,31011
31,12,35,27,77.14,8,22.86,31012
31,13,55,38,69.09,17,30.91,31013
31,14,61,45,73.77,16,26.23,31014
31,15,25,15,60.0,10,40.0,31015
31,16,37,19,51.35,18,48.65,31016
31,17,49,32,65.31,17,34.69,31017
31,18,56,46,82.14,10,17.86,31018
31,19,73,56,76.71,17,23.29,31019
31,20,44,23,52.27,21,47.73,31020
31,21,53,29,54.72,24,45.28,31021
31,22,39,21,53.85,18,46.15,31022
31,23,48,24,50.0,24,50.0,31023
31,24,80,62,77.5,18,22.5,31024
31,25,32,22,68.75,10,31.25,31025
31,26,40,23,57.5,17,42.5,31026
31,27,45,25,55.56,20,44.44,31027
31,28,57,39,68.42,18,31.58,31028
31,29,40,24,60.0,16,40.0,31029
31,30,86,64,74.42,22,25.58,31030
31,31,101,60,59.41,41,40.59,31031
31,32,91,68,74.73,23,25.27,31032
31,33,83,57,68.67,26,31.33,31033
31,34,26,12,46.15,14,53.85,31034
31,35,46,32,69.57,14,30.43,31035
31,36,62,40,64.52,22,35.48,31036
31,37,23,9,39.13,14,60.87,31037
31,38,48,30,62.5,18,37.5,31038
31,39,27,23,85.19,4,14.81,31039
31,40,66,37,56.06,29,43.94,31040
31,41,72,44,61.11,28,38.89,31041
31,42,60,36,60.0,24,40.0,31042
31,43,42,24,57.14,18,42.86,31043
31,44,29,20,68.97,9,31.03,31044
31,45,35,21,60.0,14,40.0,31045
31,46,67,53,79.1,14,20.9,31046
31,47,63,31,49.21,32,50.79,31047
