ward,precinct,total,Kenneth ''Ken'' Dunkin,Kenneth ''Ken'' Dunkin Percent,Dori Collins,Dori Collins Percent,precinct_id
2,7,180,143,79.44,37,20.56,02007
2,8,133,96,72.18,37,27.82,02008
2,14,176,154,87.5,22,12.5,02014
2,19,101,74,73.27,27,26.73,02019
2,20,214,176,82.24,38,17.76,02020
2,21,171,131,76.61,40,23.39,02021
2,24,58,44,75.86,14,24.14,02024
2,26,115,90,78.26,25,21.74,02026
2,30,83,49,59.04,34,40.96,02030
2,31,126,98,77.78,28,22.22,02031
2,36,146,106,72.6,40,27.4,02036
2,37,78,51,65.38,27,34.62,02037
2,38,153,107,69.93,46,30.07,02038
2,40,177,137,77.4,40,22.6,02040
2,44,94,66,70.21,28,29.79,02044
2,46,189,155,82.01,34,17.99,02046
2,53,58,47,81.03,11,18.97,02053
2,54,40,28,70.0,12,30.0,02054
3,1,117,97,82.91,20,17.09,03001
3,2,112,89,79.46,23,20.54,03002
3,5,126,102,80.95,24,19.05,03005
3,7,213,184,86.38,29,13.62,03007
3,8,88,68,77.27,20,22.73,03008
3,9,120,101,84.17,19,15.83,03009
3,11,105,89,84.76,16,15.24,03011
3,14,114,101,88.6,13,11.4,03014
3,15,141,104,73.76,37,26.24,03015
3,20,82,61,74.39,21,25.61,03020
3,21,25,15,60.0,10,40.0,03021
3,23,106,88,83.02,18,16.98,03023
3,24,150,129,86.0,21,14.0,03024
3,25,69,53,76.81,16,23.19,03025
3,27,109,93,85.32,16,14.68,03027
3,28,82,60,73.17,22,26.83,03028
3,29,127,113,88.98,14,11.02,03029
3,32,48,40,83.33,8,16.67,03032
3,33,140,116,82.86,24,17.14,03033
3,35,107,79,73.83,28,26.17,03035
3,36,26,22,84.62,4,15.38,03036
3,37,43,34,79.07,9,20.93,03037
3,38,228,200,87.72,28,12.28,03038
3,39,242,218,90.08,24,9.92,03039
3,40,131,117,89.31,14,10.69,03040
3,42,95,77,81.05,18,18.95,03042
3,44,8,5,62.5,3,37.5,03044
3,45,103,80,77.67,23,22.33,03045
3,47,61,48,78.69,13,21.31,03047
4,19,41,28,68.29,13,31.71,04019
4,42,17,12,70.59,5,29.41,04042
5,2,177,140,79.1,37,20.9,05002
5,4,2,2,100.0,0,0.0,05004
5,12,74,57,77.03,17,22.97,05012
5,19,15,11,73.33,4,26.67,05019
5,20,44,33,75.0,11,25.0,05020
5,23,84,60,71.43,24,28.57,05023
5,38,74,48,64.86,26,35.14,05038
5,42,64,51,79.69,13,20.31,05042
6,7,37,26,70.27,11,29.73,06007
6,20,85,68,80.0,17,20.0,06020
8,13,91,65,71.43,26,28.57,08013
8,17,162,141,87.04,21,12.96,08017
8,20,236,204,86.44,32,13.56,08020
8,21,119,97,81.51,22,18.49,08021
8,22,116,91,78.45,25,21.55,08022
8,23,110,81,73.64,29,26.36,08023
8,26,78,60,76.92,18,23.08,08026
8,28,253,189,74.7,64,25.3,08028
8,43,59,45,76.27,14,23.73,08043
8,59,77,59,76.62,18,23.38,08059
20,1,108,90,83.33,18,16.67,20001
20,2,81,68,83.95,13,16.05,20002
20,3,77,67,87.01,10,12.99,20003
20,6,104,89,85.58,15,14.42,20006
20,7,62,48,77.42,14,22.58,20007
20,10,134,103,76.87,31,23.13,20010
20,11,84,70,83.33,14,16.67,20011
20,12,50,42,84.0,8,16.0,20012
20,14,108,81,75.0,27,25.0,20014
20,17,130,108,83.08,22,16.92,20017
20,18,75,54,72.0,21,28.0,20018
20,19,53,31,58.49,22,41.51,20019
20,23,124,94,75.81,30,24.19,20023
20,27,76,63,82.89,13,17.11,20027
20,31,104,81,77.88,23,22.12,20031
20,33,95,78,82.11,17,17.89,20033
20,35,36,25,69.44,11,30.56,20035
20,36,80,62,77.5,18,22.5,20036
20,37,98,87,88.78,11,11.22,20037
20,39,22,14,63.64,8,36.36,20039
20,42,45,37,82.22,8,17.78,20042
42,3,68,53,77.94,15,22.06,42003
42,9,81,47,58.02,34,41.98,42009
42,14,15,9,60.0,6,40.0,42014
42,15,11,5,45.45,6,54.55,42015
42,17,178,127,71.35,51,28.65,42017
42,19,17,15,88.24,2,11.76,42019
42,20,37,26,70.27,11,29.73,42020
42,22,35,21,60.0,14,40.0,42022
42,26,120,85,70.83,35,29.17,42026
42,27,86,64,74.42,22,25.58,42027
42,30,46,30,65.22,16,34.78,42030
42,32,66,44,66.67,22,33.33,42032
42,36,39,30,76.92,9,23.08,42036
42,39,51,39,76.47,12,23.53,42039
42,44,54,34,62.96,20,37.04,42044
42,45,66,51,77.27,15,22.73,42045
42,46,49,33,67.35,16,32.65,42046
42,48,38,17,44.74,21,55.26,42048
42,49,22,15,68.18,7,31.82,42049
42,55,67,53,79.1,14,20.9,42055
42,56,58,41,70.69,17,29.31,42056
42,57,58,42,72.41,16,27.59,42057
42,58,26,18,69.23,8,30.77,42058
42,59,8,6,75.0,2,25.0,42059
