ward,precinct,total,Robert R. Reyes,Robert R. Reyes Percent,Neftalie Gonzalez,Neftalie Gonzalez Percent,Elizabeth ''Lisa'' Hernandez,Elizabeth ''Lisa'' Hernandez Percent,precinct_id
22,2,42,7,16.67,8,19.05,27,64.29,22002
22,3,74,47,63.51,6,8.11,21,28.38,22003
22,4,63,24,38.1,8,12.7,31,49.21,22004
22,5,87,45,51.72,14,16.09,28,32.18,22005
22,6,93,35,37.63,15,16.13,43,46.24,22006
22,8,12,6,50.0,2,16.67,4,33.33,22008
22,9,76,49,64.47,9,11.84,18,23.68,22009
22,10,3,0,0.0,0,0.0,3,100.0,22010
22,11,86,56,65.12,19,22.09,11,12.79,22011
22,13,47,15,31.91,4,8.51,28,59.57,22013
22,15,35,30,85.71,3,8.57,2,5.71,22015
22,16,10,2,20.0,3,30.0,5,50.0,22016
22,17,85,38,44.71,11,12.94,36,42.35,22017
22,18,20,14,70.0,2,10.0,4,20.0,22018
22,20,72,33,45.83,7,9.72,32,44.44,22020
22,22,15,5,33.33,3,20.0,7,46.67,22022
22,23,78,49,62.82,8,10.26,21,26.92,22023
22,25,122,61,50.0,28,22.95,33,27.05,22025
22,26,73,39,53.42,11,15.07,23,31.51,22026
22,27,87,33,37.93,13,14.94,41,47.13,22027
