ward,precinct,total,Kelly M. Burke,Kelly M. Burke Percent,precinct_id
18,9,112,112,100.0,18009
18,24,134,134,100.0,18024
18,25,214,214,100.0,18025
18,26,43,43,100.0,18026
18,30,72,72,100.0,18030
18,32,142,142,100.0,18032
18,34,175,175,100.0,18034
18,46,81,81,100.0,18046
18,52,1,1,100.0,18052
19,3,112,112,100.0,19003
19,5,113,113,100.0,19005
19,9,106,106,100.0,19009
19,12,134,134,100.0,19012
19,16,30,30,100.0,19016
19,18,105,105,100.0,19018
19,24,133,133,100.0,19024
19,30,9,9,100.0,19030
19,33,46,46,100.0,19033
19,56,137,137,100.0,19056
19,58,120,120,100.0,19058
21,35,5,5,100.0,21035
