ward,precinct,total,Raymond A. Lopez,Raymond A. Lopez Percent,precinct_id
15,1,104,104,100.0,15001
15,2,38,38,100.0,15002
15,3,36,36,100.0,15003
15,4,90,90,100.0,15004
15,5,30,30,100.0,15005
15,6,36,36,100.0,15006
15,7,62,62,100.0,15007
15,8,61,61,100.0,15008
15,9,89,89,100.0,15009
15,10,31,31,100.0,15010
15,11,49,49,100.0,15011
15,12,33,33,100.0,15012
15,13,60,60,100.0,15013
15,14,48,48,100.0,15014
15,15,28,28,100.0,15015
15,16,31,31,100.0,15016
15,17,51,51,100.0,15017
15,18,92,92,100.0,15018
15,19,54,54,100.0,15019
15,20,36,36,100.0,15020
15,21,57,57,100.0,15021
15,22,63,63,100.0,15022
15,23,87,87,100.0,15023
15,24,43,43,100.0,15024
15,25,39,39,100.0,15025
15,26,90,90,100.0,15026
15,27,45,45,100.0,15027
15,28,68,68,100.0,15028
15,29,10,10,100.0,15029
15,30,35,35,100.0,15030
15,31,83,83,100.0,15031
15,32,45,45,100.0,15032
15,33,38,38,100.0,15033
15,34,42,42,100.0,15034
15,35,52,52,100.0,15035
15,36,69,69,100.0,15036
15,37,39,39,100.0,15037
15,38,66,66,100.0,15038
15,39,27,27,100.0,15039
15,40,27,27,100.0,15040
15,41,80,80,100.0,15041
15,42,96,96,100.0,15042
