ward,precinct,total,Brendan Reilly,Brendan Reilly Percent,precinct_id
42,1,87,87,100.0,42001
42,2,52,52,100.0,42002
42,3,57,57,100.0,42003
42,4,81,81,100.0,42004
42,5,67,67,100.0,42005
42,6,181,181,100.0,42006
42,7,64,64,100.0,42007
42,8,83,83,100.0,42008
42,9,142,142,100.0,42009
42,10,130,130,100.0,42010
42,11,96,96,100.0,42011
42,12,56,56,100.0,42012
42,13,161,161,100.0,42013
42,14,54,54,100.0,42014
42,15,59,59,100.0,42015
42,16,42,42,100.0,42016
42,17,143,143,100.0,42017
42,18,106,106,100.0,42018
42,19,18,18,100.0,42019
42,20,34,34,100.0,42020
42,21,29,29,100.0,42021
42,22,35,35,100.0,42022
42,23,95,95,100.0,42023
42,24,72,72,100.0,42024
42,25,65,65,100.0,42025
42,26,106,106,100.0,42026
42,27,78,78,100.0,42027
42,28,86,86,100.0,42028
42,29,81,81,100.0,42029
42,30,46,46,100.0,42030
42,31,53,53,100.0,42031
42,32,63,63,100.0,42032
42,33,122,122,100.0,42033
42,34,52,52,100.0,42034
42,35,68,68,100.0,42035
42,36,38,38,100.0,42036
42,37,55,55,100.0,42037
42,38,42,42,100.0,42038
42,39,43,43,100.0,42039
42,40,68,68,100.0,42040
42,41,73,73,100.0,42041
42,42,90,90,100.0,42042
42,43,78,78,100.0,42043
42,44,55,55,100.0,42044
42,45,62,62,100.0,42045
42,46,35,35,100.0,42046
42,47,50,50,100.0,42047
42,48,50,50,100.0,42048
42,49,16,16,100.0,42049
42,50,114,114,100.0,42050
42,51,150,150,100.0,42051
42,52,54,54,100.0,42052
42,53,112,112,100.0,42053
42,54,47,47,100.0,42054
42,55,63,63,100.0,42055
42,56,62,62,100.0,42056
42,57,47,47,100.0,42057
42,58,23,23,100.0,42058
42,59,49,49,100.0,42059
42,60,32,32,100.0,42060
42,61,31,31,100.0,42061
42,62,44,44,100.0,42062
42,63,90,90,100.0,42063
42,64,22,22,100.0,42064
42,65,85,85,100.0,42065
42,66,50,50,100.0,42066
42,67,79,79,100.0,42067
