ward,precinct,total,Christian L. Mitchell,Christian L. Mitchell Percent,Kenny Johnson,Kenny Johnson Percent,precinct_id
2,18,104,68,65.38,36,34.62,02018
2,19,18,8,44.44,10,55.56,02019
2,20,6,1,16.67,5,83.33,02020
2,26,1,0,0.0,1,100.0,02026
2,30,5,2,40.0,3,60.0,02030
3,2,84,34,40.48,50,59.52,03002
3,4,93,35,37.63,58,62.37,03004
3,16,102,42,41.18,60,58.82,03016
3,20,7,1,14.29,6,85.71,03020
3,30,95,40,42.11,55,57.89,03030
3,31,204,87,42.65,117,57.35,03031
3,32,35,15,42.86,20,57.14,03032
3,34,109,42,38.53,67,61.47,03034
3,49,54,27,50.0,27,50.0,03049
4,2,207,102,49.28,105,50.72,04002
4,3,167,60,35.93,107,64.07,04003
4,4,169,96,56.8,73,43.2,04004
4,5,16,10,62.5,6,37.5,04005
4,6,81,41,50.62,40,49.38,04006
4,7,197,111,56.35,86,43.65,04007
4,8,190,96,50.53,94,49.47,04008
4,11,110,56,50.91,54,49.09,04011
4,12,100,47,47.0,53,53.0,04012
4,13,141,77,54.61,64,45.39,04013
4,14,79,45,56.96,34,43.04,04014
4,16,48,21,43.75,27,56.25,04016
4,18,120,58,48.33,62,51.67,04018
4,19,110,58,52.73,52,47.27,04019
4,20,140,75,53.57,65,46.43,04020
4,23,115,63,54.78,52,45.22,04023
4,24,139,79,56.83,60,43.17,04024
4,25,203,105,51.72,98,48.28,04025
4,26,152,78,51.32,74,48.68,04026
4,27,143,72,50.35,71,49.65,04027
4,30,126,65,51.59,61,48.41,04030
4,33,147,64,43.54,83,56.46,04033
4,35,95,43,45.26,52,54.74,04035
4,37,1,0,0.0,1,100.0,04037
4,39,93,37,39.78,56,60.22,04039
4,40,161,97,60.25,64,39.75,04040
4,42,169,101,59.76,68,40.24,04042
4,46,112,48,42.86,64,57.14,04046
4,49,138,66,47.83,72,52.17,04049
4,50,147,83,56.46,64,43.54,04050
4,51,188,108,57.45,80,42.55,04051
4,52,170,109,64.12,61,35.88,04052
5,4,99,50,50.51,49,49.49,05004
5,5,113,57,50.44,56,49.56,05005
5,6,166,87,52.41,79,47.59,05006
5,7,173,73,42.2,100,57.8,05007
5,9,120,52,43.33,68,56.67,05009
5,10,101,57,56.44,44,43.56,05010
5,13,150,73,48.67,77,51.33,05013
5,14,178,67,37.64,111,62.36,05014
5,15,104,51,49.04,53,50.96,05015
5,16,89,35,39.33,54,60.67,05016
5,17,141,70,49.65,71,50.35,05017
5,18,129,69,53.49,60,46.51,05018
5,19,54,21,38.89,33,61.11,05019
5,21,185,94,50.81,91,49.19,05021
5,22,141,69,48.94,72,51.06,05022
5,28,64,33,51.56,31,48.44,05028
5,36,222,91,40.99,131,59.01,05036
5,42,0,0,0.0,0,0.0,05042
7,1,56,24,42.86,32,57.14,07001
7,5,73,39,53.42,34,46.58,07005
7,6,96,39,40.63,57,59.38,07006
7,7,78,35,44.87,43,55.13,07007
7,8,26,12,46.15,14,53.85,07008
