ward,precinct,total,Mary O'Connor,Mary O'Connor Percent,precinct_id
41,1,72,72,100.0,41001
41,2,118,118,100.0,41002
41,3,63,63,100.0,41003
41,4,88,88,100.0,41004
41,5,99,99,100.0,41005
41,6,82,82,100.0,41006
41,7,82,82,100.0,41007
41,8,63,63,100.0,41008
41,9,64,64,100.0,41009
41,10,64,64,100.0,41010
41,11,77,77,100.0,41011
41,12,78,78,100.0,41012
41,13,45,45,100.0,41013
41,14,119,119,100.0,41014
41,15,79,79,100.0,41015
41,16,76,76,100.0,41016
41,17,88,88,100.0,41017
41,18,83,83,100.0,41018
41,19,95,95,100.0,41019
41,20,100,100,100.0,41020
41,21,87,87,100.0,41021
41,22,61,61,100.0,41022
41,23,73,73,100.0,41023
41,24,78,78,100.0,41024
41,25,21,21,100.0,41025
41,26,26,26,100.0,41026
41,27,17,17,100.0,41027
41,28,54,54,100.0,41028
41,29,20,20,100.0,41029
41,30,72,72,100.0,41030
41,31,85,85,100.0,41031
41,32,36,36,100.0,41032
41,33,48,48,100.0,41033
41,34,68,68,100.0,41034
41,35,76,76,100.0,41035
41,36,82,82,100.0,41036
41,37,83,83,100.0,41037
41,38,87,87,100.0,41038
41,39,45,45,100.0,41039
41,40,77,77,100.0,41040
41,41,66,66,100.0,41041
41,42,110,110,100.0,41042
41,43,65,65,100.0,41043
41,44,75,75,100.0,41044
41,45,55,55,100.0,41045
41,46,66,66,100.0,41046
41,47,61,61,100.0,41047
41,48,41,41,100.0,41048
41,49,102,102,100.0,41049
41,50,74,74,100.0,41050
41,51,54,54,100.0,41051
41,52,139,139,100.0,41052
41,53,68,68,100.0,41053
41,54,65,65,100.0,41054
41,55,34,34,100.0,41055
41,56,101,101,100.0,41056
41,57,65,65,100.0,41057
