ward,precinct,total,"Howard B. Brookins, Jr.","Howard B. Brookins, Jr. Percent",precinct_id
21,1,156,156,100.0,21001
21,2,87,87,100.0,21002
21,3,190,190,100.0,21003
21,4,41,41,100.0,21004
21,5,130,130,100.0,21005
21,6,106,106,100.0,21006
21,7,245,245,100.0,21007
21,8,130,130,100.0,21008
21,9,115,115,100.0,21009
21,10,186,186,100.0,21010
21,11,103,103,100.0,21011
21,12,123,123,100.0,21012
21,13,60,60,100.0,21013
21,14,226,226,100.0,21014
21,15,71,71,100.0,21015
21,16,108,108,100.0,21016
21,17,83,83,100.0,21017
21,18,116,116,100.0,21018
21,19,115,115,100.0,21019
21,20,56,56,100.0,21020
21,21,120,120,100.0,21021
21,22,106,106,100.0,21022
21,23,80,80,100.0,21023
21,24,124,124,100.0,21024
21,25,201,201,100.0,21025
21,26,89,89,100.0,21026
21,27,134,134,100.0,21027
21,28,83,83,100.0,21028
21,29,51,51,100.0,21029
21,30,75,75,100.0,21030
21,31,157,157,100.0,21031
21,32,93,93,100.0,21032
21,33,105,105,100.0,21033
21,34,122,122,100.0,21034
21,35,104,104,100.0,21035
21,36,70,70,100.0,21036
21,37,98,98,100.0,21037
21,38,125,125,100.0,21038
21,39,82,82,100.0,21039
21,40,139,139,100.0,21040
21,41,98,98,100.0,21041
21,42,121,121,100.0,21042
21,43,80,80,100.0,21043
21,44,103,103,100.0,21044
21,45,95,95,100.0,21045
21,46,63,63,100.0,21046
21,47,156,156,100.0,21047
21,48,121,121,100.0,21048
21,49,144,144,100.0,21049
21,50,130,130,100.0,21050
21,51,114,114,100.0,21051
21,52,100,100,100.0,21052
21,53,176,176,100.0,21053
21,54,130,130,100.0,21054
21,55,94,94,100.0,21055
21,56,81,81,100.0,21056
21,57,97,97,100.0,21057
21,58,92,92,100.0,21058
21,59,131,131,100.0,21059
21,60,122,122,100.0,21060
21,61,105,105,100.0,21061
21,62,100,100,100.0,21062
21,63,145,145,100.0,21063
21,64,54,54,100.0,21064
21,65,189,189,100.0,21065
21,66,100,100,100.0,21066
21,67,95,95,100.0,21067
