ward,precinct,total,Carrie M. Austin,Carrie M. Austin Percent,Toni D. Meekey-Stith,Toni D. Meekey-Stith Percent,precinct_id
34,1,266,220,82.71,46,17.29,34001
34,2,146,114,78.08,32,21.92,34002
34,3,137,102,74.45,35,25.55,34003
34,4,162,122,75.31,40,24.69,34004
34,5,108,84,77.78,24,22.22,34005
34,6,300,236,78.67,64,21.33,34006
34,7,190,147,77.37,43,22.63,34007
34,8,234,181,77.35,53,22.65,34008
34,9,75,64,85.33,11,14.67,34009
34,10,145,122,84.14,23,15.86,34010
34,11,80,55,68.75,25,31.25,34011
34,12,164,129,78.66,35,21.34,34012
34,13,170,133,78.24,37,21.76,34013
34,14,86,64,74.42,22,25.58,34014
34,15,95,63,66.32,32,33.68,34015
34,16,79,57,72.15,22,27.85,34016
34,17,113,76,67.26,37,32.74,34017
34,18,151,112,74.17,39,25.83,34018
34,19,155,116,74.84,39,25.16,34019
34,20,226,172,76.11,54,23.89,34020
34,21,143,111,77.62,32,22.38,34021
34,22,182,136,74.73,46,25.27,34022
34,23,125,95,76.0,30,24.0,34023
34,24,144,107,74.31,37,25.69,34024
34,25,165,128,77.58,37,22.42,34025
34,26,159,127,79.87,32,20.13,34026
34,27,113,84,74.34,29,25.66,34027
34,28,87,73,83.91,14,16.09,34028
34,29,144,118,81.94,26,18.06,34029
34,30,208,160,76.92,48,23.08,34030
34,31,71,58,81.69,13,18.31,34031
34,32,325,263,80.92,62,19.08,34032
34,33,151,119,78.81,32,21.19,34033
34,34,190,158,83.16,32,16.84,34034
34,35,116,82,70.69,34,29.31,34035
34,36,173,131,75.72,42,24.28,34036
34,37,134,96,71.64,38,28.36,34037
34,38,87,67,77.01,20,22.99,34038
34,39,84,65,77.38,19,22.62,34039
34,40,146,106,72.6,40,27.4,34040
34,41,73,55,75.34,18,24.66,34041
34,42,184,142,77.17,42,22.83,34042
34,43,224,163,72.77,61,27.23,34043
34,44,152,120,78.95,32,21.05,34044
34,45,130,79,60.77,51,39.23,34045
34,46,132,102,77.27,30,22.73,34046
34,47,110,75,68.18,35,31.82,34047
34,48,191,150,78.53,41,21.47,34048
34,49,228,195,85.53,33,14.47,34049
34,50,146,117,80.14,29,19.86,34050
34,51,205,165,80.49,40,19.51,34051
34,52,92,74,80.43,18,19.57,34052
34,53,74,48,64.86,26,35.14,34053
34,54,87,60,68.97,27,31.03,34054
34,55,137,104,75.91,33,24.09,34055
