ward,precinct,total,Ann M. Williams,Ann M. Williams Percent,precinct_id
1,7,27,27,100.0,01007
1,16,59,59,100.0,01016
1,24,7,7,100.0,01024
1,28,24,24,100.0,01028
1,35,29,29,100.0,01035
1,39,37,37,100.0,01039
1,42,37,37,100.0,01042
32,7,43,43,100.0,32007
32,8,72,72,100.0,32008
32,9,88,88,100.0,32009
32,10,64,64,100.0,32010
32,13,18,18,100.0,32013
32,14,9,9,100.0,32014
32,15,28,28,100.0,32015
32,16,54,54,100.0,32016
32,18,36,36,100.0,32018
32,19,54,54,100.0,32019
32,20,31,31,100.0,32020
32,21,39,39,100.0,32021
32,22,58,58,100.0,32022
32,23,60,60,100.0,32023
32,24,44,44,100.0,32024
32,25,39,39,100.0,32025
32,27,42,42,100.0,32027
32,28,3,3,100.0,32028
32,29,13,13,100.0,32029
32,30,36,36,100.0,32030
32,31,19,19,100.0,32031
32,32,43,43,100.0,32032
32,33,21,21,100.0,32033
32,34,5,5,100.0,32034
32,35,0,0,0.0,32035
32,37,44,44,100.0,32037
32,38,46,46,100.0,32038
32,39,60,60,100.0,32039
32,40,57,57,100.0,32040
32,41,56,56,100.0,32041
32,42,69,69,100.0,32042
32,43,47,47,100.0,32043
32,44,57,57,100.0,32044
32,45,30,30,100.0,32045
32,47,70,70,100.0,32047
32,48,110,110,100.0,32048
32,49,30,30,100.0,32049
32,50,63,63,100.0,32050
33,7,139,139,100.0,33007
33,8,59,59,100.0,33008
33,10,99,99,100.0,33010
33,23,74,74,100.0,33023
33,24,128,128,100.0,33024
43,2,51,51,100.0,43002
43,6,96,96,100.0,43006
43,7,58,58,100.0,43007
43,8,27,27,100.0,43008
43,17,102,102,100.0,43017
43,20,96,96,100.0,43020
43,21,74,74,100.0,43021
43,22,42,42,100.0,43022
43,29,52,52,100.0,43029
43,31,39,39,100.0,43031
43,32,0,0,0.0,43032
43,33,17,17,100.0,43033
43,34,26,26,100.0,43034
43,38,29,29,100.0,43038
43,41,30,30,100.0,43041
43,43,5,5,100.0,43043
43,47,99,99,100.0,43047
43,48,47,47,100.0,43048
44,9,28,28,100.0,44009
44,11,35,35,100.0,44011
44,13,18,18,100.0,44013
44,16,56,56,100.0,44016
44,25,6,6,100.0,44025
44,43,50,50,100.0,44043
44,47,80,80,100.0,44047
47,2,68,68,100.0,47002
47,3,123,123,100.0,47003
47,4,77,77,100.0,47004
47,6,78,78,100.0,47006
47,7,76,76,100.0,47007
47,8,72,72,100.0,47008
47,9,52,52,100.0,47009
47,12,58,58,100.0,47012
47,13,111,111,100.0,47013
47,14,52,52,100.0,47014
47,16,81,81,100.0,47016
47,17,54,54,100.0,47017
47,18,74,74,100.0,47018
47,21,72,72,100.0,47021
47,24,59,59,100.0,47024
47,25,71,71,100.0,47025
47,27,45,45,100.0,47027
47,28,3,3,100.0,47028
47,29,72,72,100.0,47029
47,35,74,74,100.0,47035
47,37,0,0,0.0,47037
47,39,71,71,100.0,47039
47,42,8,8,100.0,47042
47,43,84,84,100.0,47043
47,44,74,74,100.0,47044
47,46,43,43,100.0,47046
47,47,48,48,100.0,47047
47,48,24,24,100.0,47048
47,49,44,44,100.0,47049
47,50,53,53,100.0,47050
